"contract_id","path","bytes","sha256","role","outcome_label_state","biological_outcomes_computed"
"mv06f_stage2_source_inventory_v1","R/toy_baseline.R",8698,"7231cd35bd371db4a742bc61c8160ef1ca7ae186bb08c37cd91e06987268ab22","accepted_scientific_dependency","closed",FALSE
"mv06f_stage2_source_inventory_v1","R/dual_view_topology.R",36339,"ea6238c3923e6c5d8e622e8b03eeaf67d50779bb9bd774da69e972ce7de5a0d5","accepted_scientific_dependency","closed",FALSE
"mv06f_stage2_source_inventory_v1","R/mv03_pilot.R",7875,"a6606255359bf9bcd9ea769272624d55f0a3729fa970a75b2cc0caab29e8dc12","accepted_scientific_dependency","closed",FALSE
"mv06f_stage2_source_inventory_v1","R/mv05_resource_safe_execution.R",56421,"43f23ed58cd0fbc9c82d17f66e6feb2f78e1e4debc387ede3a567597a109947d","accepted_scientific_dependency","closed",FALSE
"mv06f_stage2_source_inventory_v1","R/mv06d_matched_profile.R",23800,"a8ef47fdc4d32386f79fd2411369d23b159f7c75782f00d869099c329def7f84","accepted_scientific_dependency","closed",FALSE
"mv06f_stage2_source_inventory_v1","R/mv06f_production.R",17876,"1b02dc4962eb12e5211e906472a875e9feaefe9a6746b9a91846b5c739ba63ea","accepted_scientific_dependency","closed",FALSE
"mv06f_stage2_source_inventory_v1","R/mv06f_stage2_execution.R",8023,"81e17a6a689640b57ed2a613a2113577f6cdc934ece64f664ea269700ff7a52d","stage2_contract","closed",FALSE
"mv06f_stage2_source_inventory_v1","R/landscape_rust_prototype.R",5137,"4771ec396759dacaf36e860819b49978b37d8cc8d4224e54cc72b0077f8a5eb1","accepted_rust_shim","closed",FALSE
"mv06f_stage2_source_inventory_v1","scripts/run_mv06d_source_entry.R",6319,"e7f388efc35b47a845ff312a655176cf3d0ec127bc0e7e5b6e22039d0545ee64","accepted_reference_runner","closed",FALSE
"mv06f_stage2_source_inventory_v1","scripts/run_mv06d_ph_entry.R",1725,"83f2c2060f82cc637add01b10b4102995939ec5c01a27c40c8c5822129fc9017","accepted_reference_runner","closed",FALSE
"mv06f_stage2_source_inventory_v1","scripts/run_mv06e_rust_candidate.R",7968,"3a7e5331bf4063a1fed342a8c3dfeacc82783bfd2f93d22361598e2c32bd2ca6","accepted_reference_runner","closed",FALSE
"mv06f_stage2_source_inventory_v1","scripts/run_mv06f_group.R",13867,"1128523f948f5adf29f1165300cd71f53cf93eb1335d0778cdf5160e9b404ca3","atomic_group_runner","closed",FALSE
"mv06f_stage2_source_inventory_v1","scripts/run_mv06f_stage1_monitor.R",6544,"9bcd7a3cd4462683a151e224e1f994c088bc411b04cc8ff2f04100c5fb36f8a0","stage1_monitor","closed",FALSE
"mv06f_stage2_source_inventory_v1","scripts/validate_mv06f_stage1_r_oracles.R",8877,"821e3076a8919bea315536e0a712a84bbea1e9c21bb5a31185e83f6e895e9d86","canonical_r_oracle","closed",FALSE
"mv06f_stage2_source_inventory_v1","scripts/validate_mv06f_stage1_persim.py",4134,"1eb8d5b50147b9e166925ba4f96438cafb95bc5d103f4d3dc1800956b361983f","portable_persim_oracle","closed",FALSE
"mv06f_stage2_source_inventory_v1","scripts/run_mv06f_stage1_resume_check.R",3077,"af4b0f3682381e45cb072e9d6a20b2f041e3afd3d85ff4549936d4a22add4120","immutable_resume_checker","closed",FALSE
"mv06f_stage2_source_inventory_v1","scripts/build_mv06f_stage2_rebind_prefreeze.R",6635,"749c771d53999662cddcc5c75ea73a031abf7aa1d83ca108f1c5557c6d980294","stage2_prefreeze_builder","closed",FALSE
"mv06f_stage2_source_inventory_v1","scripts/validate_mv06f_stage2_prefreeze.R",2853,"8a19db1c6ef2e9215ad1de02fe4cc58a219e4829037465f04dbae6197720c980","independent_stage2_prefreeze_validator","closed",FALSE
"mv06f_stage2_source_inventory_v1","scripts/validate_mv06f_stage2_rebind.R",5323,"37033d244933221e13137e535bea9b9734061bd326465cae9f9cfb0337fe153a","rebind_validator","closed",FALSE
"mv06f_stage2_source_inventory_v1","scripts/run_mv06f_stage2_monitor.R",8979,"b5a33681fdc59ba9472dea8d24b05604dace6f56471b53c5be8d5c547929fb11","stage2_monitor","closed",FALSE
"mv06f_stage2_source_inventory_v1","scripts/validate_mv06f_stage2_complete.R",4586,"e18dfe8feb3d08376b5ef90c56ed14555cb1d5711b3f01af23873e327993d62e","complete_production_validator","closed",FALSE
"mv06f_stage2_source_inventory_v1","tests/testthat/test-mv06f-production.R",8048,"5cd8db4debd19d960a82629dd8eff651a1650a5e61ebb132fb9446c3d664b68e","production_contract_tests","closed",FALSE
"mv06f_stage2_source_inventory_v1","tests/testthat/test-mv06f-stage2-execution.R",2205,"971a754c475d68f5375cc4e8be6cbf500e3bb6603edfee92ad4fd7d60f2d311a","stage2_contract_tests","closed",FALSE
