"contract_id","group_order","group_id","stage","seed","view_id","homology_dimension","samples","unordered_pairs","component_rows","sentinel_interval_sum","output_directory","elapsed_cap_seconds","rss_cap_bytes","workers","retries","outcome_label_state","biological_outcomes_computed","clustering_jobs","label_jobs","outcome_jobs"
"mv07h_landscape_queue_v1",1,"mv07h_landscape_group_v1:eb7602ef5b12f26de930bf1af58d988e216d373f2881b593c68e3ce3e44e94aa","stage_1_stress",20260807,"gene_topology_v1","H1",124,7626,7626,10435,"landscape/mv07h_landscape_group_v1_eb7602ef5b12f26de930bf1af58d988e216d373f2881b593c68e3ce3e44e94aa",3600,12884901888,1,0,"closed",FALSE,0,0,0
"mv07h_landscape_queue_v1",2,"mv07h_landscape_group_v1:a2306ca6cb0189a97a60562c521d3f322d92ed9dd81f7dd755676dbde6694dd6","stage_2",20260806,"gene_topology_v1","H1",124,7626,7626,10415,"landscape/mv07h_landscape_group_v1_a2306ca6cb0189a97a60562c521d3f322d92ed9dd81f7dd755676dbde6694dd6",3600,12884901888,1,0,"closed",FALSE,0,0,0
"mv07h_landscape_queue_v1",3,"mv07h_landscape_group_v1:39092305d66dc22a752741094b92dc4531f3b8a41c02a80f1358adaab9bb497b","stage_2",20260808,"gene_topology_v1","H1",124,7626,7626,10361,"landscape/mv07h_landscape_group_v1_39092305d66dc22a752741094b92dc4531f3b8a41c02a80f1358adaab9bb497b",3600,12884901888,1,0,"closed",FALSE,0,0,0
"mv07h_landscape_queue_v1",4,"mv07h_landscape_group_v1:ad5a7bf6538d14452e4daa833e200549e053ed595fe904a76ec57d2f03842413","stage_2",20260809,"gene_topology_v1","H1",124,7626,7626,10333,"landscape/mv07h_landscape_group_v1_ad5a7bf6538d14452e4daa833e200549e053ed595fe904a76ec57d2f03842413",3600,12884901888,1,0,"closed",FALSE,0,0,0
"mv07h_landscape_queue_v1",5,"mv07h_landscape_group_v1:16e491af8c362f41ade01bfa8bd2091a232c3edfe1eb0c57997454b74e31405f","stage_2",20260805,"gene_topology_v1","H1",124,7626,7626,10309,"landscape/mv07h_landscape_group_v1_16e491af8c362f41ade01bfa8bd2091a232c3edfe1eb0c57997454b74e31405f",3600,12884901888,1,0,"closed",FALSE,0,0,0
"mv07h_landscape_queue_v1",6,"mv07h_landscape_group_v1:8449cfab9938e66c38e10003592d12523adb82659812f66442f36abd187a3304","stage_2",20260805,"gene_topology_v1","H0",124,7626,7626,2994,"landscape/mv07h_landscape_group_v1_8449cfab9938e66c38e10003592d12523adb82659812f66442f36abd187a3304",3600,12884901888,1,0,"closed",FALSE,0,0,0
"mv07h_landscape_queue_v1",7,"mv07h_landscape_group_v1:68ac77b1977714fd0115477ef0a0bb89cdba0b6be7d34a871e4f78799a12a55d","stage_2",20260806,"gene_topology_v1","H0",124,7626,7626,2994,"landscape/mv07h_landscape_group_v1_68ac77b1977714fd0115477ef0a0bb89cdba0b6be7d34a871e4f78799a12a55d",3600,12884901888,1,0,"closed",FALSE,0,0,0
"mv07h_landscape_queue_v1",8,"mv07h_landscape_group_v1:5b8f11e17d2af36b80760b8cf389eac13bc82718b109226887d6cfeb06cfa264","stage_2",20260807,"gene_topology_v1","H0",124,7626,7626,2994,"landscape/mv07h_landscape_group_v1_5b8f11e17d2af36b80760b8cf389eac13bc82718b109226887d6cfeb06cfa264",3600,12884901888,1,0,"closed",FALSE,0,0,0
"mv07h_landscape_queue_v1",9,"mv07h_landscape_group_v1:5a1334a1565cce9551232ca0c4ac9516b81440c0363b9ca8b318d72636b832a8","stage_2",20260808,"gene_topology_v1","H0",124,7626,7626,2994,"landscape/mv07h_landscape_group_v1_5a1334a1565cce9551232ca0c4ac9516b81440c0363b9ca8b318d72636b832a8",3600,12884901888,1,0,"closed",FALSE,0,0,0
"mv07h_landscape_queue_v1",10,"mv07h_landscape_group_v1:d3f8b488bb4137befaab0746a03d8544c84e2e9af3ba8485ec6750269801d197","stage_2",20260809,"gene_topology_v1","H0",124,7626,7626,2994,"landscape/mv07h_landscape_group_v1_d3f8b488bb4137befaab0746a03d8544c84e2e9af3ba8485ec6750269801d197",3600,12884901888,1,0,"closed",FALSE,0,0,0
"mv07h_landscape_queue_v1",11,"mv07h_landscape_group_v1:47735c50873688499b9fe2a3f0983d13f5f08cd8db7ca9ee36a87049f388bbbf","stage_2",20260808,"cell_topology_v1","H1",124,7626,7626,2372,"landscape/mv07h_landscape_group_v1_47735c50873688499b9fe2a3f0983d13f5f08cd8db7ca9ee36a87049f388bbbf",3600,12884901888,1,0,"closed",FALSE,0,0,0
"mv07h_landscape_queue_v1",12,"mv07h_landscape_group_v1:8bec91ac08651b29ce80236cd0f60c5003cd1fe705f3440547e5bca7c01271b0","stage_2",20260806,"cell_topology_v1","H1",124,7626,7626,2312,"landscape/mv07h_landscape_group_v1_8bec91ac08651b29ce80236cd0f60c5003cd1fe705f3440547e5bca7c01271b0",3600,12884901888,1,0,"closed",FALSE,0,0,0
"mv07h_landscape_queue_v1",13,"mv07h_landscape_group_v1:33121568096a33617c7679f06bb4fb574786687c7f952b3686cce71b630d0f19","stage_2",20260805,"cell_topology_v1","H0",124,7626,7626,2298,"landscape/mv07h_landscape_group_v1_33121568096a33617c7679f06bb4fb574786687c7f952b3686cce71b630d0f19",3600,12884901888,1,0,"closed",FALSE,0,0,0
"mv07h_landscape_queue_v1",14,"mv07h_landscape_group_v1:164627e0414599343f8e7fa6bdce9e6d2191c42f858f61433c60e77b0b7f96ec","stage_2",20260806,"cell_topology_v1","H0",124,7626,7626,2298,"landscape/mv07h_landscape_group_v1_164627e0414599343f8e7fa6bdce9e6d2191c42f858f61433c60e77b0b7f96ec",3600,12884901888,1,0,"closed",FALSE,0,0,0
