"contract_id","oracle_order","oracle_id","pair_identity_sha256","dataset_scope","representation_id","panel_id","view_kind","seed","homology_dimension","group_units","group_unordered_pairs","reference_route","reference_exact","reference_squared_distance","reference_error_estimate","candidate_squared_distance","absolute_error","acceptance_threshold","first_finite_intervals","second_finite_intervals","active_levels","event_segments","expected_first_active_levels","expected_second_active_levels","expected_active_levels","status","engine_version","engine_valid","reference_within_threshold","reverse_bit_identical","reverse_counts_swap","reverse_diagnostics_match","first_self_exact_zero","second_self_exact_zero","all_active_levels","passed","outcome_label_state","biological_outcomes_computed"
"mv08y_oracle_summary_v1",1,"mv08x_oracle_01_07598e2cc21c","07598e2cc21c5aae1bed825d231b77e0acefb199e9510840ad767ac7195d10ef","internal124","sct_data_all_qc_fit_selected384","exact500","gene_topology_v1",20260805,"H0",124,7626,"r_exact_breakpoint",TRUE,4.45712035730588,0,4.45712035730588,0,5.45712035730588e-10,499,499,499,1996,499,499,499,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"closed",FALSE
"mv08y_oracle_summary_v1",2,"mv08x_oracle_02_3556ed5a5307","3556ed5a53077e288e512fdee942d7d0a9736661717835d3507ae62b9f9924a7","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500","gene_topology_v1",20260805,"H0",124,7626,"r_exact_breakpoint",TRUE,12.6761711604566,0,12.6761711604565,3.90798504668055e-14,1.36761711604566e-09,499,499,499,1996,499,499,499,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"closed",FALSE
"mv08y_oracle_summary_v1",3,"mv08x_oracle_03_4c5f291c46bf","4c5f291c46bf1b8627bdb8664194e7c48be6d27f332edfb145bde522d22d2136","internal124","sct_data_all_qc_fit_selected384","exact500","gene_topology_v1",20260806,"H0",124,7626,"r_exact_breakpoint",TRUE,0.972134731980831,0,0.97213473198083,1.33226762955019e-15,1.97213473198083e-10,499,499,499,1996,499,499,499,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"closed",FALSE
"mv08y_oracle_summary_v1",4,"mv08x_oracle_04_15f4b71f042e","15f4b71f042ecb41f449242e46bcd000a3509c904d2dbbdafeb4c770e6a05cd9","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500","gene_topology_v1",20260806,"H0",124,7626,"r_exact_breakpoint",TRUE,0.460434837226913,0,0.460434837226913,3.33066907387547e-16,1.46043483722691e-10,499,499,499,1996,499,499,499,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"closed",FALSE
"mv08y_oracle_summary_v1",5,"mv08x_oracle_05_09a35fcea56a","09a35fcea56ae87bb530df672f8561470713086c316c3c6cabec09ca25c88138","internal124","sct_data_all_qc_fit_selected384","exact500","gene_topology_v1",20260807,"H0",124,7626,"r_exact_breakpoint",TRUE,10.5210962284037,0,10.5210962284037,1.4210854715202e-14,1.15210962284037e-09,499,499,499,1996,499,499,499,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"closed",FALSE
"mv08y_oracle_summary_v1",6,"mv08x_oracle_06_ad7a54e3552f","ad7a54e3552f167bc01f3cd33d89a017acc91ea8102e71b709563a90b5d4a9da","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500","gene_topology_v1",20260807,"H0",124,7626,"r_exact_breakpoint",TRUE,0.161722206025251,0,0.161722206025251,1.38777878078145e-16,1.16172220602525e-10,499,499,499,1996,499,499,499,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"closed",FALSE
"mv08y_oracle_summary_v1",7,"mv08x_oracle_07_98dd01f8cc77","98dd01f8cc77baf76232c35908cb4e414eab809ebdc5cd87998ad28667184932","internal124","sct_data_all_qc_fit_selected384","exact500","gene_topology_v1",20260808,"H0",124,7626,"r_exact_breakpoint",TRUE,8.52661304470735,0,8.52661304470738,2.48689957516035e-14,9.52661304470735e-10,499,499,499,1996,499,499,499,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"closed",FALSE
"mv08y_oracle_summary_v1",8,"mv08x_oracle_08_8f50bfd060fe","8f50bfd060fe9cbbb7fbe156793c9b432b5f668677aec859bfc800dc3b6f0afb","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500","gene_topology_v1",20260808,"H0",124,7626,"r_exact_breakpoint",TRUE,0.0588546129206026,0,0.0588546129206027,7.63278329429795e-17,1.0588546129206e-10,499,499,499,1996,499,499,499,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"closed",FALSE
"mv08y_oracle_summary_v1",9,"mv08x_oracle_09_691bbff37d2e","691bbff37d2e48833ae812a270c2363a2099a49dcb1908f44bef4c405780afb3","internal124","sct_data_all_qc_fit_selected384","exact500","gene_topology_v1",20260809,"H0",124,7626,"r_exact_breakpoint",TRUE,0.220385084142374,0,0.220385084142374,1.38777878078145e-16,1.22038508414237e-10,499,499,499,1996,499,499,499,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"closed",FALSE
"mv08y_oracle_summary_v1",10,"mv08x_oracle_10_ec45bd337b9d","ec45bd337b9d9b88fd63f6e0062586b47ab85caead02607fe01f07618d1ba068","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500","gene_topology_v1",20260809,"H0",124,7626,"r_exact_breakpoint",TRUE,9.0769387982836,0,9.07693879828358,1.95399252334028e-14,1.00769387982836e-09,499,499,499,1996,499,499,499,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"closed",FALSE
"mv08y_oracle_summary_v1",11,"mv08x_oracle_11_3a79f7886213","3a79f7886213f185fcf3deaa4c0f5fe3c910953e4004c57573c01ba0e4f50768","internal124","sct_data_all_qc_fit_selected384","exact500","gene_topology_v1",20260805,"H1",124,7626,"r_adaptive_certified",FALSE,0.00407768795997141,1.30007807356929e-12,0.00407768796000587,3.44602818502793e-14,1.3222825340618e-12,107,3251,1923,2802244,15,1923,1923,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"closed",FALSE
"mv08y_oracle_summary_v1",12,"mv08x_oracle_12_cf1df8f346ee","cf1df8f346eeb5edaf0ac734a2e3660894552fa911089ad3ce3af921fed73408","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500","gene_topology_v1",20260805,"H1",124,7626,"r_adaptive_certified",FALSE,0.00526430887914513,7.05480729907223e-12,0.00526430887937594,2.30804958478714e-13,7.07701175956473e-12,140,3210,1947,2984209,16,1947,1947,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"closed",FALSE
"mv08y_oracle_summary_v1",13,"mv08x_oracle_13_8c2c66f03faf","8c2c66f03fafec2284fdb4a8d0176422d33b00e8a82e0986c8bca6213768e204","internal124","sct_data_all_qc_fit_selected384","exact500","gene_topology_v1",20260806,"H1",124,7626,"r_adaptive_certified",FALSE,0.00420099310328565,4.04782294965641e-12,0.00420099310330571,2.00646790848857e-14,4.07002741014892e-12,100,3157,1865,2721352,13,1865,1865,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"closed",FALSE
