"contract_id","artifact","canonical_sha256","repeat_sha256","sha256_unchanged","canonical_bytes","repeat_bytes","bytes_unchanged","outcome_label_state","biological_outcomes_computed"
"mv06g_prefreeze_byte_repeat_v1","mv06g-contract.csv","f72326c0411c6c954ffb570fbf3e019adb7b09f82b74cd96984409e762077f8b","f72326c0411c6c954ffb570fbf3e019adb7b09f82b74cd96984409e762077f8b",TRUE,1224,1224,TRUE,"closed",FALSE
"mv06g_prefreeze_byte_repeat_v1","mv06g-source-groups.csv","16e5b1ce763224b52ee37c7c85c5502c87752ba26e2b0f5a7600b74aeb6fd16b","16e5b1ce763224b52ee37c7c85c5502c87752ba26e2b0f5a7600b74aeb6fd16b",TRUE,24046,24046,TRUE,"closed",FALSE
"mv06g_prefreeze_byte_repeat_v1","mv06g-training-workload.csv","566ea7add5b9304d9054f2ed2211c6538c96fe75c53e26a2658287f87d380669","566ea7add5b9304d9054f2ed2211c6538c96fe75c53e26a2658287f87d380669",TRUE,16823,16823,TRUE,"closed",FALSE
"mv06g_prefreeze_byte_repeat_v1","mv06g-method-panel.csv","07dd142449e3ef1c615f1ce17d0a765034be44710256cf458aa8d789b85c678f","07dd142449e3ef1c615f1ce17d0a765034be44710256cf458aa8d789b85c678f",TRUE,784,784,TRUE,"closed",FALSE
"mv06g_prefreeze_byte_repeat_v1","mv06g-endpoint-plan.csv","3b1440b06dffd4d817f8a9c5b53160dcd2005036bf81152c6f4b01483795661b","3b1440b06dffd4d817f8a9c5b53160dcd2005036bf81152c6f4b01483795661b",TRUE,406,406,TRUE,"closed",FALSE
"mv06g_prefreeze_byte_repeat_v1","mv06g-contrast-plan.csv","21b29bead04c9f301254f98537a5ef25674e224ba85aac3920fe3c4d6059de42","21b29bead04c9f301254f98537a5ef25674e224ba85aac3920fe3c4d6059de42",TRUE,648,648,TRUE,"closed",FALSE
"mv06g_prefreeze_byte_repeat_v1","mv06g-inference-plan.csv","f85a2cc3739c59a02795ec5a8fd6b3b577cf089c35d2b5859bc2140360958554","f85a2cc3739c59a02795ec5a8fd6b3b577cf089c35d2b5859bc2140360958554",TRUE,410,410,TRUE,"closed",FALSE
"mv06g_prefreeze_byte_repeat_v1","mv06g-label-firewall.csv","f70ab4f45369c484eef4db7941f5fa76c414f96d8333a71e8c83d6c1f2fa9eb0","f70ab4f45369c484eef4db7941f5fa76c414f96d8333a71e8c83d6c1f2fa9eb0",TRUE,709,709,TRUE,"closed",FALSE
"mv06g_prefreeze_byte_repeat_v1","mv06g-resource-plan.csv","13c2756060e22a6da09261dc6f3f3d4f8d1b4a72bf35d5f9cef642075953c4c3","13c2756060e22a6da09261dc6f3f3d4f8d1b4a72bf35d5f9cef642075953c4c3",TRUE,409,409,TRUE,"closed",FALSE
"mv06g_prefreeze_byte_repeat_v1","mv06g-implementation-sources.csv","4f34cec68049fb6d501e2695da7939fbbb1a1c57823fec2a05460694300ed763","4f34cec68049fb6d501e2695da7939fbbb1a1c57823fec2a05460694300ed763",TRUE,563,563,TRUE,"closed",FALSE
