"contract_id","metric_order","metric","minimum","median","maximum","finite","interpretation"
"mv09a_metric_range_v1",1,"pearson",0.471546553180781,0.96771953372095,0.999693999374131,TRUE,"descriptive_source_inventory_only"
"mv09a_metric_range_v1",2,"spearman",0.509578544061303,0.946578955881539,0.999481012592489,TRUE,"descriptive_source_inventory_only"
"mv09a_metric_range_v1",3,"nonnegative_scale",0.770600227809169,1.00529018182786,1.18542682486121,TRUE,"descriptive_source_inventory_only"
"mv09a_metric_range_v1",4,"relative_stress",0.0144987236211457,0.145179778463648,0.19023600148359,TRUE,"descriptive_source_inventory_only"
"mv09a_metric_range_v1",5,"left_median_distance",0.0163643429959806,0.277346426916297,1.04237609404409,TRUE,"descriptive_source_inventory_only"
"mv09a_metric_range_v1",6,"right_median_distance",0.0157066970171895,0.276874146272482,1.14517234904415,TRUE,"descriptive_source_inventory_only"
"mv09a_metric_range_v1",7,"median_abs_median_scaled_change",0.0127298380153049,0.113838642107452,0.164034396228959,TRUE,"descriptive_source_inventory_only"
"mv09a_metric_range_v1",8,"p95_abs_median_scaled_change",0.0474089541315475,0.354622253367386,0.50873864429342,TRUE,"descriptive_source_inventory_only"
"mv09a_metric_range_v1",9,"mean_neighbor_jaccard",0.283751727150309,0.581479735476415,1,TRUE,"descriptive_source_inventory_only"
"mv09a_metric_range_v1",10,"median_neighbor_jaccard",0.25,0.585497835497836,1,TRUE,"descriptive_source_inventory_only"
"mv09a_metric_range_v1",11,"p10_neighbor_jaccard",0.111111111111111,0.368495475113122,1,TRUE,"descriptive_source_inventory_only"
