"contract_id","category","passed","detail"
"mv08g_prefreeze_acceptance_v1","recovery",TRUE,"90 raw and 450 SCT exact"
"mv08g_prefreeze_acceptance_v1","panel",TRUE,"ordered exact common475_v1"
"mv08g_prefreeze_acceptance_v1","cache_axis",TRUE,"124 biological samples by five seeds"
"mv08g_prefreeze_acceptance_v1","source_queue",TRUE,"five global refits"
"mv08g_prefreeze_acceptance_v1","ph_queue",TRUE,"620 cell plus 620 gene PH"
"mv08g_prefreeze_acceptance_v1","landscape_queue",TRUE,"20 groups and 152,520 rows"
"mv08g_prefreeze_acceptance_v1","matched_shift_queue",TRUE,"20 groups and 2,480 matched rows"
"mv08g_prefreeze_acceptance_v1","accepted_500",TRUE,"immutable comparator complete"
"mv08g_prefreeze_acceptance_v1","definition",TRUE,"dissertation-aligned exact landscape"
"mv08g_prefreeze_acceptance_v1","comparison",TRUE,"eight frozen comparison families"
"mv08g_prefreeze_acceptance_v1","resources",TRUE,"conservative projection at most 12 worker-hours"
"mv08g_prefreeze_acceptance_v1","rust",TRUE,"accepted Rust hash"
"mv08g_prefreeze_acceptance_v1","label_firewall",TRUE,"HCA and biological labels closed"
"mv08g_prefreeze_acceptance_v1","stop_boundary",TRUE,"prefreeze authorizes source only"
