"contract_id","group_id","fold_id","seed","execution_order","biological_pairs","landscape_component_rows","disposition","exit_status","elapsed_seconds","charged_worker_seconds","peak_process_tree_rss_bytes","cumulative_private_bytes","queue_root_sha256","implementation_root_sha256","rust_library_sha256","group_directory_complete","diagrams_sha256","diagram_manifest_sha256","distances_sha256","outcome_label_state","biological_outcomes_computed","fusion_jobs","clustering_jobs","outcome_jobs"
"mv06f_stage2_resource_metric_v1","mv06f_group_v1:1fdd87ee5e65ad31c7f286b5b15dc9e13314d98d6ca81e353781a52bde5bbac7","large_loso_v1:SRA779509",20260805,2,1625,6500,"reused_validated",0,5.20602011680603,418.586,74248192,624229521,"f5471633e21d229eeabecadf12989dece2a3a7ab5b5d09f4584b0c3b6410bb5d","5a1258e87eb30c367648daa4bb02d1aec1f4b40dd3799a91fbb7067e9558d292","51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d",TRUE,"21feae3c4670e6827a670ceea06df04aac0b46f7daa221e6e9abdb32b1ab97fc","cc98877226bfc8d290efba66d5aff7324c2a0109643eb0f66e5f340d1adf51dc","80e5b0c694ca9028779dbce1bfc6f501077dbc839a90cdc5a4351d4165688b17","closed",FALSE,0,0,0
"mv06f_stage2_resource_metric_v1","mv06f_group_v1:dd313858dc9ffd6ea3fc525acd499918846e034806bcae3cf04bca1a95132065","large_loso_v1:SRA779509",20260806,3,1625,6500,"reused_validated",0,5.36220645904541,361.24,74412032,624229631,"f5471633e21d229eeabecadf12989dece2a3a7ab5b5d09f4584b0c3b6410bb5d","5a1258e87eb30c367648daa4bb02d1aec1f4b40dd3799a91fbb7067e9558d292","51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d",TRUE,"b3d1195d1b7e87b3ce96ddedc257f0535bbde0d1fede770e55ac74eeb408a67f","e199e16c1ebfb673aa11723a5a033b9013ddc98ade10b9e80b140f94c871de8c","08a257609f67ad8078c574b08de810c972d049c772e9ea2b9b0b15250fb54a0b","closed",FALSE,0,0,0
"mv06f_stage2_resource_metric_v1","mv06f_group_v1:9b2d1f39b561e50dc627020719820107f43f2cdc3fead74850072e711dbdb665","large_loso_v1:SRA779509",20260808,4,1625,6500,"reused_validated",0,5.28579425811768,307.967,74285056,624229741,"f5471633e21d229eeabecadf12989dece2a3a7ab5b5d09f4584b0c3b6410bb5d","5a1258e87eb30c367648daa4bb02d1aec1f4b40dd3799a91fbb7067e9558d292","51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d",TRUE,"433793f8281a50201d16a85d29576c6bb5a3395f0a79e38ea215682e4f1faff3","bd118ab52aaa34a1b77b2467943c85c30cf40ecbbde550c6600f7fff94a97efb","0bf74d5c229bdfa2bc24e998f588aecb4c3f8a459e96dc094bb237df96770f27","closed",FALSE,0,0,0
"mv06f_stage2_resource_metric_v1","mv06f_group_v1:93330cf105cfdf4e425ea228174eeb758ac21ca417d1e649f537e74682c1de67","large_loso_v1:SRA779509",20260809,5,1625,6500,"reused_validated",0,5.29333186149597,328.692,74174464,624229851,"f5471633e21d229eeabecadf12989dece2a3a7ab5b5d09f4584b0c3b6410bb5d","5a1258e87eb30c367648daa4bb02d1aec1f4b40dd3799a91fbb7067e9558d292","51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d",TRUE,"aa4614e40ab81b9c5a9a6a1c1b8ebb5ef2964e6696dfcf31bbacc76c01284f68","ed154b368ab04aedad22adf0b7def97eb19c4e6dc39fe7903a12fb58eaddb469","e0a00402a9a5e6e3e72a4a8ee06abc7fd89cae1da49a79fab2a4276d85d9e805","closed",FALSE,0,0,0
"mv06f_stage2_resource_metric_v1","mv06f_group_v1:2519b46581f7f2c91691fbe8e7b5d3dee98d00bdf38dace46a96d025dd694b26","large_loso_v1:SRA645804",20260805,6,800,3200,"reused_validated",0,5.38821625709534,348.696,78569472,624229961,"f5471633e21d229eeabecadf12989dece2a3a7ab5b5d09f4584b0c3b6410bb5d","5a1258e87eb30c367648daa4bb02d1aec1f4b40dd3799a91fbb7067e9558d292","51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d",TRUE,"54514ded6065eefb9afa28668b9af37a7097c587ce827c092b8b92ae0e44a30d","921136a636dfec97c87e7401bfc5f672544d3f0c767f6e0174c5f9f5f5ac29dd","d913278f4cfbed8164d33142e4805b6e367925f24adda1ea9b107b9e6583cd05","closed",FALSE,0,0,0
"mv06f_stage2_resource_metric_v1","mv06f_group_v1:46fb2e2ee24ce2b14b9bc31f5f076ac7240b86ef871227f8e2593e9eb8444f66","large_loso_v1:SRA645804",20260806,7,800,3200,"reused_validated",0,5.25970983505249,285,74735616,624230071,"f5471633e21d229eeabecadf12989dece2a3a7ab5b5d09f4584b0c3b6410bb5d","5a1258e87eb30c367648daa4bb02d1aec1f4b40dd3799a91fbb7067e9558d292","51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d",TRUE,"06064957624b4838fd36b0eeaad104892a6c8be919d71df66d727eaab852038b","2a55ec0b6505dcba0e80fe00ecaa4d90bac14ec53deee3655b025200668e98a2","0734d25f972748d60181252dc0b6cdc228a18f2990ddf88ea66304ea3c5aaef0","closed",FALSE,0,0,0
"mv06f_stage2_resource_metric_v1","mv06f_group_v1:92c24466932dbbdc2c20c1f18664eb2ed4b07f5c013dfdeee20ed9381a6fcdd3","large_loso_v1:SRA645804",20260807,8,800,3200,"reused_validated",0,5.32153630256653,252.199,75558912,624230181,"f5471633e21d229eeabecadf12989dece2a3a7ab5b5d09f4584b0c3b6410bb5d","5a1258e87eb30c367648daa4bb02d1aec1f4b40dd3799a91fbb7067e9558d292","51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d",TRUE,"0b3be4786dce166d6fbf9b0bbe14f07935b9629c43e65dec92228eabbbbae582","bb418d30db0e856a262d4d35cc28ad6170bbce97a4d9da6fc8b6ea1207c1a496","2c8f1c0a8f33ffaac6acd7bef3e79091e383b72e064128f57145017d69955a91","closed",FALSE,0,0,0
"mv06f_stage2_resource_metric_v1","mv06f_group_v1:394be69720fe1c8d1f1079746d7f8b512262c954632e11fbbc488f93697ebc15","large_loso_v1:SRA645804",20260808,9,800,3200,"reused_validated",0,5.36056470870972,235.574,81797120,624230291,"f5471633e21d229eeabecadf12989dece2a3a7ab5b5d09f4584b0c3b6410bb5d","5a1258e87eb30c367648daa4bb02d1aec1f4b40dd3799a91fbb7067e9558d292","51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d",TRUE,"84b8b64a7e3de46777ba70743b34eccfbe333d396dd33aace1f4171d31c944db","cf02cb70be8a92f963cf242b1e06636a26924aca11a42ec8b40acceb012756e6","bb8ffa11776b035d3cb5247ea5525212752769135e755c5703834cc46c5bb1ab","closed",FALSE,0,0,0
"mv06f_stage2_resource_metric_v1","mv06f_group_v1:028dc0fb6bf19467f7d7f98b72c2b356b558ae4647763fd9f96ad1022346d34d","large_loso_v1:SRA645804",20260809,10,800,3200,"reused_validated",0,5.42867374420166,254.485,77148160,624230401,"f5471633e21d229eeabecadf12989dece2a3a7ab5b5d09f4584b0c3b6410bb5d","5a1258e87eb30c367648daa4bb02d1aec1f4b40dd3799a91fbb7067e9558d292","51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d",TRUE,"a1c81b642221a7247a54a04deb47ade49f2665de460a065036b30fee9699cf71","2b62886a4c00213abfabd90e370109c4c30b7c3027b1e08e05515e9ea2ec99e7","c2b156280db20f8a53bb89b780c4b7305e5e3a41f3234eaa232fb172414b7ad1","closed",FALSE,0,0,0
"mv06f_stage2_resource_metric_v1","mv06f_group_v1:202da4b3725f8981b02bd1b53a07055ab079a4f3995ae4e5cb4fb7f60dacc4b0","large_loso_v1:SRA728025",20260805,11,729,2916,"reused_validated",0,5.38852691650391,357.9,75083776,624230511,"f5471633e21d229eeabecadf12989dece2a3a7ab5b5d09f4584b0c3b6410bb5d","5a1258e87eb30c367648daa4bb02d1aec1f4b40dd3799a91fbb7067e9558d292","51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d",TRUE,"91cde4f03a68d413826ded3d365266d86a0ebeea776e08c9a9541bfd9abd09ef","1c29b51acab764b49449f610dc07542515980e20d8048c58b0bdb66519d0dd47","da1c9a7e21e5310e3200cfc7b3b14c7b1556c491d4583dbdd8d3a7590f30a482","closed",FALSE,0,0,0
