"contract_id","job_order","job_id","dataset_scope","unit_id","seed","representation_id","panel_id","panel_genes","homology_dimensions","filtration","field","engine_policy","elapsed_cap_seconds","rss_cap_bytes","workers","retries","authorization_state","outcome_label_state","biological_outcomes_computed"
"mv08n_ph_queue_v1",1,"mv08n_ph:internal124:SRA550660_SRS2089635:20260805:sct_data_all_qc_fit_selected384:exact500","internal124","SRA550660_SRS2089635",20260805,"sct_data_all_qc_fit_selected384","exact500",500,"H0;H1_separate","complete_vietoris_rips",2,"Ripserr_primary;GUDHI_exact_resource_fallback",1800,12884901888,1,0,"closed","closed",FALSE
"mv08n_ph_queue_v1",2,"mv08n_ph:internal124:SRA550660_SRS2089635:20260805:sct_pearson_residual_all_qc_fit_selected384:exact500","internal124","SRA550660_SRS2089635",20260805,"sct_pearson_residual_all_qc_fit_selected384","exact500",500,"H0;H1_separate","complete_vietoris_rips",2,"Ripserr_primary;GUDHI_exact_resource_fallback",1800,12884901888,1,0,"closed","closed",FALSE
"mv08n_ph_queue_v1",3,"mv08n_ph:internal124:SRA550660_SRS2089636:20260805:sct_data_all_qc_fit_selected384:exact500","internal124","SRA550660_SRS2089636",20260805,"sct_data_all_qc_fit_selected384","exact500",500,"H0;H1_separate","complete_vietoris_rips",2,"Ripserr_primary;GUDHI_exact_resource_fallback",1800,12884901888,1,0,"closed","closed",FALSE
"mv08n_ph_queue_v1",4,"mv08n_ph:internal124:SRA550660_SRS2089636:20260805:sct_pearson_residual_all_qc_fit_selected384:exact500","internal124","SRA550660_SRS2089636",20260805,"sct_pearson_residual_all_qc_fit_selected384","exact500",500,"H0;H1_separate","complete_vietoris_rips",2,"Ripserr_primary;GUDHI_exact_resource_fallback",1800,12884901888,1,0,"closed","closed",FALSE
"mv08n_ph_queue_v1",5,"mv08n_ph:internal124:SRA550660_SRS2089637:20260805:sct_data_all_qc_fit_selected384:exact500","internal124","SRA550660_SRS2089637",20260805,"sct_data_all_qc_fit_selected384","exact500",500,"H0;H1_separate","complete_vietoris_rips",2,"Ripserr_primary;GUDHI_exact_resource_fallback",1800,12884901888,1,0,"closed","closed",FALSE
"mv08n_ph_queue_v1",6,"mv08n_ph:internal124:SRA550660_SRS2089637:20260805:sct_pearson_residual_all_qc_fit_selected384:exact500","internal124","SRA550660_SRS2089637",20260805,"sct_pearson_residual_all_qc_fit_selected384","exact500",500,"H0;H1_separate","complete_vietoris_rips",2,"Ripserr_primary;GUDHI_exact_resource_fallback",1800,12884901888,1,0,"closed","closed",FALSE
"mv08n_ph_queue_v1",7,"mv08n_ph:internal124:SRA550660_SRS2089638:20260805:sct_data_all_qc_fit_selected384:exact500","internal124","SRA550660_SRS2089638",20260805,"sct_data_all_qc_fit_selected384","exact500",500,"H0;H1_separate","complete_vietoris_rips",2,"Ripserr_primary;GUDHI_exact_resource_fallback",1800,12884901888,1,0,"closed","closed",FALSE
"mv08n_ph_queue_v1",8,"mv08n_ph:internal124:SRA550660_SRS2089638:20260805:sct_pearson_residual_all_qc_fit_selected384:exact500","internal124","SRA550660_SRS2089638",20260805,"sct_pearson_residual_all_qc_fit_selected384","exact500",500,"H0;H1_separate","complete_vietoris_rips",2,"Ripserr_primary;GUDHI_exact_resource_fallback",1800,12884901888,1,0,"closed","closed",FALSE
"mv08n_ph_queue_v1",9,"mv08n_ph:internal124:SRA550660_SRS2089639:20260805:sct_data_all_qc_fit_selected384:exact500","internal124","SRA550660_SRS2089639",20260805,"sct_data_all_qc_fit_selected384","exact500",500,"H0;H1_separate","complete_vietoris_rips",2,"Ripserr_primary;GUDHI_exact_resource_fallback",1800,12884901888,1,0,"closed","closed",FALSE
"mv08n_ph_queue_v1",10,"mv08n_ph:internal124:SRA550660_SRS2089639:20260805:sct_pearson_residual_all_qc_fit_selected384:exact500","internal124","SRA550660_SRS2089639",20260805,"sct_pearson_residual_all_qc_fit_selected384","exact500",500,"H0;H1_separate","complete_vietoris_rips",2,"Ripserr_primary;GUDHI_exact_resource_fallback",1800,12884901888,1,0,"closed","closed",FALSE
