contract_id,pair_id,view_id,homology_dimension,selection_stratum,persim_squared_distance,rust_squared_distance,r_squared_distance,absolute_error_vs_rust,absolute_error_vs_r,acceptance_tolerance,active_levels,event_segments,critical_points,exact,all_active_levels,level_cap_applied,passed,outcome_label_state,biological_outcomes_computed
mv06f_stage1_persim_oracle_v1,mv06f_pair_v1:000ce23b2f4a5b84e3dba326f17c05d521a3342a17b77f4e8ed14a0d58ab5402,cell_topology_v1,H0,minimum_depth,3877.4652490927583,3877.46524909275,3877.46524909276,8.1854523159563541e-12,1.8189894035458565e-12,3.8784652490927601e-07,383,1532,1915,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06f_stage1_persim_oracle_v1,mv06f_pair_v1:7df9583d8400a234e1fc6669e7ebd18365f83150eadee3fd0f37ad8a379d305d,cell_topology_v1,H0,median_depth,733.29288483926894,733.292884839268,733.292884839268,9.0949470177292824e-13,9.0949470177292824e-13,7.3429288483926891e-08,383,1532,1915,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06f_stage1_persim_oracle_v1,mv06f_pair_v1:fff3e6bb3eddc656e3a42682b51e92a4f5278cfac5532491bcf9c3fa4652416e,cell_topology_v1,H0,maximum_depth,770.20475711218114,770.204757112179,770.204757112178,2.1600499167107046e-12,3.1832314562052488e-12,7.7120475711218117e-08,383,1532,1915,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06f_stage1_persim_oracle_v1,mv06f_pair_v1:0953af0f8b7fa2cdb76cbaf283e1ac981fbd8ddd335f4c28041d36aa0c377aae,cell_topology_v1,H1,minimum_depth,2.347005706186859,2.34700570618689,2.34700570618689,3.1086244689504383e-14,3.1086244689504383e-14,3.3470057061869e-10,27,5597,5624,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06f_stage1_persim_oracle_v1,mv06f_pair_v1:c81ba5d7fa5c2fc9c5f45e41edfcf79e3d68b19b06a3b1c9688d602aa5cd200d,cell_topology_v1,H1,median_depth,4.1338805311057163,4.13388053110561,4.13388053110561,1.0658141036401503e-13,1.0658141036401503e-13,5.1338805311057167e-10,82,27421,27503,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06f_stage1_persim_oracle_v1,mv06f_pair_v1:40be9ab1f2f9ba4671f343a492383eecf7860aa99eca112e46250e647c5eca7e,cell_topology_v1,H1,maximum_depth,0.91973910108256318,0.919739101082595,0.919739101082594,3.1863400806741993e-14,3.0864200084579352e-14,1.91973910108259e-10,109,58234,58343,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06f_stage1_persim_oracle_v1,mv06f_pair_v1:00149dad601d9ab6bbdb3ea91789aab807c573ae39233c92af6ba3d0d30361ea,gene_topology_v1,H0,minimum_depth,14.932822401588933,14.9328224015889,14.9328224015889,3.1974423109204508e-14,3.1974423109204508e-14,1.5932822401588933e-09,499,1996,2495,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06f_stage1_persim_oracle_v1,mv06f_pair_v1:838a344da983b855851f612c9d0122b1f2464dbec03bac1658823bce2a3ba04c,gene_topology_v1,H0,median_depth,11.79804212705946,11.7980421270595,11.7980421270595,3.907985046680551e-14,3.907985046680551e-14,1.2798042127059499e-09,499,1996,2495,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06f_stage1_persim_oracle_v1,mv06f_pair_v1:ffd3efe18bfde1b2a6d99210e11fdc8d9ed6f9fb3292b42e0310c1700249d96a,gene_topology_v1,H0,maximum_depth,3.7068416711677452,3.70684167116774,3.70684167116774,5.3290705182007514e-15,5.3290705182007514e-15,4.7068416711677454e-10,499,1996,2495,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06f_stage1_persim_oracle_v1,mv06f_pair_v1:695997ad971eebe49080a81bd0881108ee3c2f89dad63a2e6125129ea122cb20,gene_topology_v1,H1,minimum_depth,0.00026953611827151657,0.000269536118271504,0.000269536118271504,1.2576745200831851e-17,1.2576745200831851e-17,1.0002695361182716e-10,25,3956,3981,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06f_stage1_persim_oracle_v1,mv06f_pair_v1:5040c90db3b8594d1202161f18aaa666ae519c5151baa33cc51144c870d8a154,gene_topology_v1,H1,median_depth,0.0012069296613587946,0.00120692966135883,0.0012069296605226,3.5344990823027445e-17,8.3619461181683175e-13,1.0012069296613588e-10,487,435678,436165,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06f_stage1_persim_oracle_v1,mv06f_pair_v1:5b3c1072b1f134742b5602d6ffd89a3779f2c43ef571cae8c6e7e4fa5c20dcea,gene_topology_v1,H1,maximum_depth,0.0018899242002206611,0.0018899242002207,0.00188992420020801,3.8814437774981059e-17,1.2651121469864357e-14,1.0018899242002207e-10,1856,3416159,3418015,TRUE,TRUE,FALSE,TRUE,closed,FALSE
