"contract_id","group_order","group_id","seed","view_id","homology_dimension","component_rows","distances_sha256","metrics_sha256","status_sha256","group_bytes","row_contract_passed","outcome_label_state","biological_outcomes_computed"
"mv07h_landscape_complete_inventory_v1",1,"mv07h_landscape_group_v1:eb7602ef5b12f26de930bf1af58d988e216d373f2881b593c68e3ce3e44e94aa",20260807,"gene_topology_v1","H1",7626,"77eee28eb99cadd58559ab2dcb13c5df1ecef8ea246f837ea5355ea4056b372b","c60b43746c46e1defd311a96958f5d68185ff9f8b6bf7ac189012aba21c87857","a6bad676dafffb14e63b88aaacb354b37d5154f6dc78eff149f41b2f36892393",4558091,TRUE,"closed",FALSE
"mv07h_landscape_complete_inventory_v1",2,"mv07h_landscape_group_v1:a2306ca6cb0189a97a60562c521d3f322d92ed9dd81f7dd755676dbde6694dd6",20260806,"gene_topology_v1","H1",7626,"51dc9986bc915e5d95613862fa0815695798bd988a09951b97faae546a971dba","f5598b0e5ae4f992cc9259bdc117282de1c3e840b46fc201e3e3d00ffd2ae8c6","6696b8ebb5ab0347f638ecf7558727aa4eb9e2ec72e1eb1eb307a12ce3c45b79",4557748,TRUE,"closed",FALSE
"mv07h_landscape_complete_inventory_v1",3,"mv07h_landscape_group_v1:39092305d66dc22a752741094b92dc4531f3b8a41c02a80f1358adaab9bb497b",20260808,"gene_topology_v1","H1",7626,"5d2d532af508ad45843ff319b8b2800b26e08d626b77438c252a14a3635569ed","dba6175b6fbe281a972a7c2a4beeac3a3a95f4005c8d5addb1544cbe1f524ae0","9907d81dfce5aff3b1f1ce69d27d756f1f0dd29f03c2aff95d8a059b5498427c",4557806,TRUE,"closed",FALSE
"mv07h_landscape_complete_inventory_v1",4,"mv07h_landscape_group_v1:ad5a7bf6538d14452e4daa833e200549e053ed595fe904a76ec57d2f03842413",20260809,"gene_topology_v1","H1",7626,"ccaeb631fc063d5f57c556bba5ce7fdcfa52a79664f99becec4ef53f74a07aeb","6fa176e66ecc95bf7df555c1110c624c57c7ab5fe49698ae212a66de6b75e1b9","326a2196b2d2f0f82c6aff247801548ce606d212f288f78bc4ec26ff43adf415",4558415,TRUE,"closed",FALSE
"mv07h_landscape_complete_inventory_v1",5,"mv07h_landscape_group_v1:16e491af8c362f41ade01bfa8bd2091a232c3edfe1eb0c57997454b74e31405f",20260805,"gene_topology_v1","H1",7626,"eebe181354adf96b1b50f870f9873b58fc4b5b692b4a8b8a56b9be9bd012b1a2","586e9dd0e003edf915358ec5d3e2882d8861139e97c5e8676a8cd9a1a1ff9fa5","a25798418ccfc6a0d045031c07976d82c18cc9d049c1ca46ea6d786be4e5766c",4558053,TRUE,"closed",FALSE
"mv07h_landscape_complete_inventory_v1",6,"mv07h_landscape_group_v1:8449cfab9938e66c38e10003592d12523adb82659812f66442f36abd187a3304",20260805,"gene_topology_v1","H0",7626,"508ad368f463ef6ada6b94a07f93a5f2d95de815a56f8dcfd05b3cba3eaa96f5","376538c43a9f12f45daff6bfd6054d118fef244ad04f92d2b02db4fa7de91a87","dec873f05200b91b249925e06c647e82f405a2da5ca2f7461c8e4ed778d9f942",4498561,TRUE,"closed",FALSE
"mv07h_landscape_complete_inventory_v1",7,"mv07h_landscape_group_v1:68ac77b1977714fd0115477ef0a0bb89cdba0b6be7d34a871e4f78799a12a55d",20260806,"gene_topology_v1","H0",7626,"b07c5e06512ebb329bb440dfa3aca63a4b6774122eab19a46b5d893852c2c1d3","d7940d01a898ce9b6d955200f4f866796c1ce75b6dafddcf52c6aae4af20be57","f795d34578eb7f112323b7e0ebfc639bfece9c2a0c2eaf3c3da0f6e867ae2354",4498643,TRUE,"closed",FALSE
"mv07h_landscape_complete_inventory_v1",8,"mv07h_landscape_group_v1:5b8f11e17d2af36b80760b8cf389eac13bc82718b109226887d6cfeb06cfa264",20260807,"gene_topology_v1","H0",7626,"a4a80e59d2a692994583f7e92952b2c520b05eb9f2ca5c75d9882b84f5679c64","b06607baccbdcddecfe3cfdd95827f27bd5a6c46e53401d541b44f31cd760a65","95df01c697b6d4746338aec00869fdfee620abf8f4030955e995148a527fcba9",4498421,TRUE,"closed",FALSE
"mv07h_landscape_complete_inventory_v1",9,"mv07h_landscape_group_v1:5a1334a1565cce9551232ca0c4ac9516b81440c0363b9ca8b318d72636b832a8",20260808,"gene_topology_v1","H0",7626,"94c8612b484e314e778e72253ef13acce579d48633a73b9fdae6c588b9308ebb","9254b20a51b1ed78e6106da824feecb2f6ad840d87f14f1208662815f4a0c3ad","05111de1fbbc8a29e2372345dcc1e522e31ae75f251e7d23669d510fe9c147ab",4498451,TRUE,"closed",FALSE
"mv07h_landscape_complete_inventory_v1",10,"mv07h_landscape_group_v1:d3f8b488bb4137befaab0746a03d8544c84e2e9af3ba8485ec6750269801d197",20260809,"gene_topology_v1","H0",7626,"b373e9404b379e841b604289f0eb6afa1890a80a7e7a6bf43eb3098356d54e21","e137dda26573bc4692f395bab14d76c89896310dcfed864aeb078bc37455317d","7bf6a13c2feeeb420bdba1588e2b59b89536d75e50845bed65515c2ecb951781",4498663,TRUE,"closed",FALSE
"mv07h_landscape_complete_inventory_v1",11,"mv07h_landscape_group_v1:47735c50873688499b9fe2a3f0983d13f5f08cd8db7ca9ee36a87049f388bbbf",20260808,"cell_topology_v1","H1",7626,"c3b257c883edd9850b11f4600073b1e073fee836b6b0936f4fc815395d9f25db","8bf543171a94dfe7b6110d40d9471d3681cec2e0712654fd08d9eccf0118dee4","eef2ad570e55823ba6d856d0d9a496aa692231aac687a14cb537fcfc2b498175",4492928,TRUE,"closed",FALSE
"mv07h_landscape_complete_inventory_v1",12,"mv07h_landscape_group_v1:8bec91ac08651b29ce80236cd0f60c5003cd1fe705f3440547e5bca7c01271b0",20260806,"cell_topology_v1","H1",7626,"981d5f3958db308ec844f7633cee4743338912a6426209b331a00976087a471e","f0029b5eea0c8d51d1db99a9a5ada9ffb94885c63eca32f0b9403d0b2bedeacc","4004dd1e54a94192ab58c1c5ea248093c2ae388155ca7f49290a08ce77cc7d12",4493293,TRUE,"closed",FALSE
"mv07h_landscape_complete_inventory_v1",13,"mv07h_landscape_group_v1:33121568096a33617c7679f06bb4fb574786687c7f952b3686cce71b630d0f19",20260805,"cell_topology_v1","H0",7626,"04b1a6e0e61843a70708e08c8100483dc6582cb5f46dba9cdd452500643ab2fe","b617fed19f5d25a57655e346b4cd604b07311a0c4ba39999021195f4f8e930c0","75e4a416df810d80798f1b5b1017b492f2e75b75e300bd3d94eec70dac940f53",4490537,TRUE,"closed",FALSE
"mv07h_landscape_complete_inventory_v1",14,"mv07h_landscape_group_v1:164627e0414599343f8e7fa6bdce9e6d2191c42f858f61433c60e77b0b7f96ec",20260806,"cell_topology_v1","H0",7626,"1e1494319cf91f04926d156dd4c7111be77ef99208d13a134976595472f9c776","04a74ac191083adffa554b45c43419c72431affd92aa9e700f48d7d02da43cd8","49f3a7f8dd7ce487b5f78ec850b5b3d11fc84894c53d5c74d197c13e36be0081",4490425,TRUE,"closed",FALSE
"mv07h_landscape_complete_inventory_v1",15,"mv07h_landscape_group_v1:10ce5d29e39f80034292530eb38abad81c63f3042c43af1543c3bca463f466d9",20260807,"cell_topology_v1","H0",7626,"90ad8bfb7d49fb06a95b0195cb3dea5cadd9d52c920ab8d6d580b4507372b621","a0197587648ef5366813802e597762b04d3d162a17a7eeb80c009cbd592d5041","f011dda886babfa942321bf3bfddcde4f92bd8cf38ecdcec8395d1ecd3722b64",4490464,TRUE,"closed",FALSE
