"contract_id","unit_id","source_cache_root_role","bytes","sha256","independently_rehashed","outcome_label_state","biological_outcomes_computed"
"mv08w_source_cache_rehash_v1","HCA_BM_001","mv08p_original_v1",3151274,"ded83f566bcf7ac262473e832026e92750757b5479af92e22ee598fe5e2f6f2e",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","HCA_BM_003","mv08p_original_v1",3151274,"aa94a475c15c4e1d4fd617dad46bf951e5224a548a4a8d502be30090d043b091",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","HCA_BM_004","mv08p_original_v1",3151274,"7e83b0d6417632e0a1f36e7791003d8ec90ac8d0e2dab32cf1d86624d5eb0311",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","HCA_BM_005","mv08p_original_v1",3151274,"b2fe5145d84e9e7880323788fa307c3b09e09b0467148c9e672e6cb589ef5ca4",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","HCA_BM_006","mv08p_original_v1",3151274,"f43aa72456ce315a3d555f3e658ea957b34cca9376743cdb50ee456ae07dc214",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","HCA_BM_007","mv08p_original_v1",3151274,"1b0f96dbf1f59594dd34cfb76b05c4a7661d3735d699e55bb71e2a3d28d2c214",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","HCA_BM_008","mv08p_original_v1",3151274,"7ef6d22953508b9e47385cf564192ec9722504f06dd8f9d3151d302dab72440d",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","SRA550660_SRS2089635","mv08p_original_v1",15633706,"4e6a23dbd48ad455928212d6d75b8d038ba4a825098e857f18600e63aae947a0",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","SRA550660_SRS2089636","mv08p_original_v1",15633706,"e37a051a86ac589f445a7bd9f97b5b97c8f83576ba977c14c5363cc74b649d45",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","SRA550660_SRS2089637","mv08ps_overlay_v1",15633759,"53d2b6df871e90f0bbc38c9d97befb61be26debf51f5d16f845c3d2428b884ec",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","SRA550660_SRS2089638","mv08p_original_v1",15633706,"80ebcb4db28f2bb0499e8acba429a3719cb4dc74fd9374b363e8c0a2458915c2",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","SRA550660_SRS2089639","mv08ps_overlay_v1",15633759,"5bd4914ab42f20be7e0dda26f7b2c22b5279c340a06637879477610d87049840",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","SRA621638_SRS2610283","mv08p_original_v1",15641386,"682abb721161e61f225eb203f9a4d698dbaff7a4b2aff3c9412396268cd4f00d",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","SRA621638_SRS2610285","mv08p_original_v1",15641386,"34b1ccecd53cde69a16a9a0f762ce81911a600e7f5e7ceb29b6b49396a6f3165",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","SRA628554_SRS2664364","mv08p_original_v1",15641386,"29916a33c59ac77d5ac5bb5c3f1dd2b507c80392e46d53f6895a72b3ae42d72e",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","SRA628554_SRS2664365","mv08p_original_v1",15641386,"f76c2c049f9460d33ae953b837ba032f829f86a286dbb50c805c057295e99e3d",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","SRA645804_SRS2823404","mv08p_original_v1",15641386,"d99d63cfb7bf593eff72c7a58a331478ae742bf14acacc718c665ac8df4b822c",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","SRA645804_SRS2823405","mv08p_original_v1",15641386,"298c6f09d65608f6de939bf9366d2859ee40d28a46942ef30b8ff52081496936",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","SRA645804_SRS2823406","mv08p_original_v1",15641386,"14f9f28be3ce7deeec47fdc2c9f142d5a61a7a7dd0d215d92b0478bb17474f52",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","SRA645804_SRS2823407","mv08p_original_v1",15641386,"07a278356db7e59da6ab09c52e0c8d34b174b82bbe766b876a15a9b17ad308c7",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","SRA645804_SRS2823408","mv08p_original_v1",15641386,"8a1fd7aa3581ecef72133fbdef769c5726a15dd2301b8440ec8ceff176ca8656",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","SRA645804_SRS2823409","mv08p_original_v1",15641386,"4986d81214d04e17df72e9663227f80c36c85e2d2b97af1c266bb8c6bb756e07",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","SRA645804_SRS2823410","mv08p_original_v1",15641386,"647eb2d214b1fca0aa96f8593d25c6356b2a196e74de28f0bf61851212e466b5",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","SRA645804_SRS2823411","mv08p_original_v1",15641386,"6268a0a455fa9abd15ffdfdf29b0f93345c1380dec9da8ddfe0efdcc7f81f898",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","SRA645804_SRS2823412","mv08p_original_v1",15641386,"93596ecd19635a2164dbf0eed9a208d1398dc69568ac7430ab7870d22ce471d0",TRUE,"closed",FALSE
"mv08w_source_cache_rehash_v1","SRA645804_SRS3572594","mv08p_original_v1",15641386,"25a0e0e146c1f95e3d0cfbbe4a9c54101f685cd0e158b1c8650607a548fe5133",TRUE,"closed",FALSE
