contract_id,engine_id,row_type,pair_id,view_id,homology_dimension,first_diagram_id,second_diagram_id,first_finite_intervals,second_finite_intervals,squared_distance,distance,active_levels,event_segments,critical_points,exact,all_active_levels,level_cap_applied,outcome_label_state,biological_outcomes_computed,execution_identity_sha256
mv06e_grouped_persim_result_v1,persim_0.3.8_mv05d4_exact_critical_pairs_v1,primary,mv06e_pair_v1:0905252a9f0dcc217b546b7a910c0a09c863dec355a720bb6c54fe908f60aa59,cell_topology_v1,H0,mv06e_diagram_v1:7bcb13b339fc4f309194c9f5904fcafe4c50d2ba553a6dfff0b4b4143078666f,mv06e_diagram_v1:9622964daf402aa589ac37f7f7f904d474b9cd81a5337a734b6de07f7bcdcd22,383,383,695.9080095264585,26.380068413983661,383,1532,1915,TRUE,TRUE,FALSE,closed,FALSE,ebad83014d2e47f061dc9cb0adb5b9ae3b0251d5daa52b4635a61aea893d6629
mv06e_grouped_persim_result_v1,persim_0.3.8_mv05d4_exact_critical_pairs_v1,primary,mv06e_pair_v1:0cbcabee5d1271c8f89975b0520497c7924821bb881e9164b9278cf88d38d36c,cell_topology_v1,H0,mv06e_diagram_v1:9622964daf402aa589ac37f7f7f904d474b9cd81a5337a734b6de07f7bcdcd22,mv06e_diagram_v1:e69267c6d2508bd1d78278cb7e22433ae939e6e16e2f5424125987cefa4180d3,383,383,709.07949505165232,26.628546619213981,383,1532,1915,TRUE,TRUE,FALSE,closed,FALSE,ebad83014d2e47f061dc9cb0adb5b9ae3b0251d5daa52b4635a61aea893d6629
mv06e_grouped_persim_result_v1,persim_0.3.8_mv05d4_exact_critical_pairs_v1,primary,mv06e_pair_v1:19fe9a985608ef62c2ae5bab6941b6580240f4bcdab999d19bf121aa2d27913e,cell_topology_v1,H0,mv06e_diagram_v1:e827a724e1bd3447756fe6ac4e80aa37ab59537f64ddb480133ddc48978213f0,mv06e_diagram_v1:ffa4ec0f53edc50bbf7fd03bd782575b90dcc09c32f4a8ea6019161062e73de0,383,383,763.48934586370274,27.631310968966034,383,1532,1915,TRUE,TRUE,FALSE,closed,FALSE,ebad83014d2e47f061dc9cb0adb5b9ae3b0251d5daa52b4635a61aea893d6629
mv06e_grouped_persim_result_v1,persim_0.3.8_mv05d4_exact_critical_pairs_v1,primary,mv06e_pair_v1:1c510f05c794eb035b3426228d98ae1142d80a9dc265d8802fa5d6697b1add9d,cell_topology_v1,H0,mv06e_diagram_v1:5f2f73c392463f65e025587dfea68bbc83d3a7ce7626943157da713a28f06f26,mv06e_diagram_v1:7bcb13b339fc4f309194c9f5904fcafe4c50d2ba553a6dfff0b4b4143078666f,383,383,226.02761459520747,15.034214798093297,383,1532,1915,TRUE,TRUE,FALSE,closed,FALSE,ebad83014d2e47f061dc9cb0adb5b9ae3b0251d5daa52b4635a61aea893d6629
mv06e_grouped_persim_result_v1,persim_0.3.8_mv05d4_exact_critical_pairs_v1,primary,mv06e_pair_v1:1cbdcfc2de0b59d02bd5753d4687cb4dbf191a6ffbff9e675d9c49f0c06a0ef4,cell_topology_v1,H0,mv06e_diagram_v1:26c3d94b43154cf3df4ab8415f43868a40ec8799f2d0ac9cdfe922773873ed72,mv06e_diagram_v1:ffa4ec0f53edc50bbf7fd03bd782575b90dcc09c32f4a8ea6019161062e73de0,383,383,3988.721547553112,63.156326267074085,383,1532,1915,TRUE,TRUE,FALSE,closed,FALSE,ebad83014d2e47f061dc9cb0adb5b9ae3b0251d5daa52b4635a61aea893d6629
mv06e_grouped_persim_result_v1,persim_0.3.8_mv05d4_exact_critical_pairs_v1,primary,mv06e_pair_v1:1d23d0f05729c2ae3d227706021480825def8ca47afba36d86170d2cb443fadd,cell_topology_v1,H0,mv06e_diagram_v1:63568c6593147e5d9c53ff968f56fe0a0d5fd5ea87e0a6c7b10f1975291d6f58,mv06e_diagram_v1:7bcb13b339fc4f309194c9f5904fcafe4c50d2ba553a6dfff0b4b4143078666f,383,383,431.25707081623989,20.766729901846364,383,1532,1915,TRUE,TRUE,FALSE,closed,FALSE,ebad83014d2e47f061dc9cb0adb5b9ae3b0251d5daa52b4635a61aea893d6629
mv06e_grouped_persim_result_v1,persim_0.3.8_mv05d4_exact_critical_pairs_v1,primary,mv06e_pair_v1:3a4ce84b1150091cf600fd9800c9b93e4f011de61bf76407c0eca67087e302fe,cell_topology_v1,H0,mv06e_diagram_v1:63568c6593147e5d9c53ff968f56fe0a0d5fd5ea87e0a6c7b10f1975291d6f58,mv06e_diagram_v1:d64340b00ac5fac495d2504e7bf9d67a88adce7c8eb019a754f583e2d03e083e,383,383,967.7861046882399,31.109260754448023,383,1532,1915,TRUE,TRUE,FALSE,closed,FALSE,ebad83014d2e47f061dc9cb0adb5b9ae3b0251d5daa52b4635a61aea893d6629
mv06e_grouped_persim_result_v1,persim_0.3.8_mv05d4_exact_critical_pairs_v1,primary,mv06e_pair_v1:42cc6016f29804a8923fc8c8798937d322dfe86454d051b754f1b1d3b8d63d1d,cell_topology_v1,H0,mv06e_diagram_v1:d64340b00ac5fac495d2504e7bf9d67a88adce7c8eb019a754f583e2d03e083e,mv06e_diagram_v1:ffa4ec0f53edc50bbf7fd03bd782575b90dcc09c32f4a8ea6019161062e73de0,383,383,777.2801050330454,27.879743632842921,383,1532,1915,TRUE,TRUE,FALSE,closed,FALSE,ebad83014d2e47f061dc9cb0adb5b9ae3b0251d5daa52b4635a61aea893d6629
mv06e_grouped_persim_result_v1,persim_0.3.8_mv05d4_exact_critical_pairs_v1,primary,mv06e_pair_v1:4a5f42bbbc5e9c6daf3974d8ce73cd0552b5cf4711a998000931409a5b6b30e6,cell_topology_v1,H0,mv06e_diagram_v1:26c3d94b43154cf3df4ab8415f43868a40ec8799f2d0ac9cdfe922773873ed72,mv06e_diagram_v1:e827a724e1bd3447756fe6ac4e80aa37ab59537f64ddb480133ddc48978213f0,383,383,2588.9587538353849,50.881811621004466,383,1532,1915,TRUE,TRUE,FALSE,closed,FALSE,ebad83014d2e47f061dc9cb0adb5b9ae3b0251d5daa52b4635a61aea893d6629
mv06e_grouped_persim_result_v1,persim_0.3.8_mv05d4_exact_critical_pairs_v1,primary,mv06e_pair_v1:5383ba996415613798cb00c562ca1fdccf95f63ddcde1e130c7c672907c1b954,cell_topology_v1,H0,mv06e_diagram_v1:5f2f73c392463f65e025587dfea68bbc83d3a7ce7626943157da713a28f06f26,mv06e_diagram_v1:e827a724e1bd3447756fe6ac4e80aa37ab59537f64ddb480133ddc48978213f0,383,383,130.34044869640357,11.416674152151474,383,1532,1915,TRUE,TRUE,FALSE,closed,FALSE,ebad83014d2e47f061dc9cb0adb5b9ae3b0251d5daa52b4635a61aea893d6629
