"contract_id","diagram_id","ph_cache_key","diagram_sha256","view_id","sample_id","seed","role","finite_h0_intervals","finite_h1_intervals","essential_h0_excluded","outcome_label_state","biological_outcomes_computed"
"mv06e_diagram_manifest_v1","mv06e_diagram_v1:09b294422e6802a723e1798817f0c2e4f05a584f9df20d588b2ad5e536ca5212","mv06d_matched_ph_record_v1:9204103fbc1320d540caf5412ea7a7796789543d683937359329773e58352564","27965126cc390b8372efadba4e4e3efc92f0cc27050eef21e0d46a5c31f27f6e","cell_topology_v1","SRA826293_SRS4181128",20260808,"held_out",383,297,1,"closed",FALSE
"mv06e_diagram_manifest_v1","mv06e_diagram_v1:26c3d94b43154cf3df4ab8415f43868a40ec8799f2d0ac9cdfe922773873ed72","mv06d_matched_ph_record_v1:d859bafd783c8fbdb2ad2e3f2c0a114cdcce63c076aa00e81d2ce91a00e34cb4","f744d381c39016d1e6ffdfbd6e4bdbcef8f2c8b95910cefd114d2d1981bfde69","cell_topology_v1","SRA628554_SRS2664365",20260806,"held_out",383,486,1,"closed",FALSE
"mv06e_diagram_manifest_v1","mv06e_diagram_v1:5f2f73c392463f65e025587dfea68bbc83d3a7ce7626943157da713a28f06f26","mv06d_matched_ph_record_v1:7da56d5f274597fc523332c98de045182a37f7a4717a3a5fa20b272c6c0a5ead","b3d55799be19f226bffd2d792975d59a0f022d214f67364702487756ee32372c","cell_topology_v1","SRA645804_SRS2823410",20260806,"training",383,203,1,"closed",FALSE
"mv06e_diagram_manifest_v1","mv06e_diagram_v1:63568c6593147e5d9c53ff968f56fe0a0d5fd5ea87e0a6c7b10f1975291d6f58","mv06d_matched_ph_record_v1:bb8179cc2df4f405b2ae5ae62971defc6af23f55bd0899cac0942451f8550ce6","2afed20d51f0ac8d68c982c706a54fc0133a1b3e9bbddbccae81a442a873a090","cell_topology_v1","SRA784242_SRS3822680",20260807,"held_out",383,345,1,"closed",FALSE
"mv06e_diagram_manifest_v1","mv06e_diagram_v1:7bcb13b339fc4f309194c9f5904fcafe4c50d2ba553a6dfff0b4b4143078666f","mv06d_matched_ph_record_v1:a3970b0a7c02cc95fa0877b930e039c5a1e708653f01421c20452782e814c760","f7ec2946d075a4b6ed875fb7eb8e282cab09ac3c0bd568de444b156f3206dc8c","cell_topology_v1","SRA779509_SRS3805262",20260809,"held_out",383,264,1,"closed",FALSE
"mv06e_diagram_manifest_v1","mv06e_diagram_v1:9622964daf402aa589ac37f7f7f904d474b9cd81a5337a734b6de07f7bcdcd22","mv06d_matched_ph_record_v1:5e543538ce4af48adc3b74b3acd51359b339f3bd381442ea9e84861aca2f1711","65c26b538a041b8eb6874b3fa35fa4dcdbe1a8c31985fd30ce72f7e2daca9f34","cell_topology_v1","SRA713577_SRS3363004",20260805,"held_out",383,365,1,"closed",FALSE
"mv06e_diagram_manifest_v1","mv06e_diagram_v1:d64340b00ac5fac495d2504e7bf9d67a88adce7c8eb019a754f583e2d03e083e","mv06d_matched_ph_record_v1:82adf54e6f7762b37eaccc743a8c68049bf1397ac422643e558a76d37a98340f","3ffdbf990016b53695b55855108c8931ce366facf29d755d67249a2dbb8342c1","cell_topology_v1","SRA645804_SRS2823410",20260808,"training",383,196,1,"closed",FALSE
"mv06e_diagram_manifest_v1","mv06e_diagram_v1:e69267c6d2508bd1d78278cb7e22433ae939e6e16e2f5424125987cefa4180d3","mv06d_matched_ph_record_v1:ca4e4d7812f329ee18c81e3169c35be51c9128e3efb938ce1001ef6c758e2b1e","8a468f98f8991151dc06aa97dd457f8a252962c2564f59054491540cf5bf4ddb","cell_topology_v1","SRA645804_SRS2823406",20260805,"training",383,291,1,"closed",FALSE
"mv06e_diagram_manifest_v1","mv06e_diagram_v1:e827a724e1bd3447756fe6ac4e80aa37ab59537f64ddb480133ddc48978213f0","mv06d_matched_ph_record_v1:f0a050bf5facb06dbf2b19f723a8a2fa23948686b8d3a96ebd6f5b56c9807238","0b264e76b8b48f3c72f132ba9a117f6f9e591abc8f71a24c33c49db796785657","cell_topology_v1","SRA645804_SRS2823410",20260809,"training",383,231,1,"closed",FALSE
"mv06e_diagram_manifest_v1","mv06e_diagram_v1:ffa4ec0f53edc50bbf7fd03bd782575b90dcc09c32f4a8ea6019161062e73de0","mv06d_matched_ph_record_v1:fc8c4d905c04949eba84d4ebab37cb2e29b1f26bc386b250ea84859b87faeaae","7a17bdc8fbfc448becfefd1427f75fdbeba9d0f02c9b3714671945ab96bc08fd","cell_topology_v1","SRA645804_SRS2823410",20260807,"training",383,207,1,"closed",FALSE
