"contract_id","unit_id","seed","representation_id","panel_id","matrix_sha256_primary","distance_sha256_primary","matrix_sha256_repeat","distance_sha256_repeat","passed"
"mv08o_source_sentinel_determinism_v1","HCA_BM_002",20260805,"sct_data_all_qc_fit_selected384","common475","f4e2f97fc0d3ab1e7bb5308651225b2355436f8b5c91aaa217dc85186b6f4a5f","e78bf3ff3c579d718c3e5ab768af72b855e473a77aa5d55d9c561adf0a67a281","f4e2f97fc0d3ab1e7bb5308651225b2355436f8b5c91aaa217dc85186b6f4a5f","e78bf3ff3c579d718c3e5ab768af72b855e473a77aa5d55d9c561adf0a67a281",TRUE
"mv08o_source_sentinel_determinism_v1","HCA_BM_002",20260805,"sct_data_all_qc_fit_selected384","exact500","ed92760d1cb92de7425a4e2c225b2e06a0170d61bed2636cc31f0e3bd442bd79","","ed92760d1cb92de7425a4e2c225b2e06a0170d61bed2636cc31f0e3bd442bd79","",TRUE
"mv08o_source_sentinel_determinism_v1","HCA_BM_002",20260805,"sct_pearson_residual_all_qc_fit_selected384","common475","c2ab94713e01f5a77847c86222c0abd8333cece0117c6897c95f94e27d3194a6","0ad9093e53e264edbc9e0f0b5dfa3d52c3b6f79447d29335dd2508bfedcdcfba","c2ab94713e01f5a77847c86222c0abd8333cece0117c6897c95f94e27d3194a6","0ad9093e53e264edbc9e0f0b5dfa3d52c3b6f79447d29335dd2508bfedcdcfba",TRUE
"mv08o_source_sentinel_determinism_v1","HCA_BM_002",20260805,"sct_pearson_residual_all_qc_fit_selected384","exact500","4915fe30032f5ed10eb74aefed387042431219cfae7471660ed5c0eec440c8b8","318ef2fc46ee1ebf2691ce42650708b87d8bec9d3afab714676108b62b33f6e9","4915fe30032f5ed10eb74aefed387042431219cfae7471660ed5c0eec440c8b8","318ef2fc46ee1ebf2691ce42650708b87d8bec9d3afab714676108b62b33f6e9",TRUE
"mv08o_source_sentinel_determinism_v1","SRA742961_SRS3565197",20260805,"sct_data_all_qc_fit_selected384","exact500","de9b78616ab8c808d1bb3a8864c94095e5e3cf3ed7c1b13ccdd0781d6be05765","e133925b6b0913d4f0ca51568e68d8fdcebece99a55c584f9b76c373b5f93b96","de9b78616ab8c808d1bb3a8864c94095e5e3cf3ed7c1b13ccdd0781d6be05765","e133925b6b0913d4f0ca51568e68d8fdcebece99a55c584f9b76c373b5f93b96",TRUE
"mv08o_source_sentinel_determinism_v1","SRA742961_SRS3565197",20260805,"sct_pearson_residual_all_qc_fit_selected384","exact500","d668a981e030e14b89348f48737c0b57e900c9daa2b8fba1381a841432fce416","e7e719014990049a0a7258a22d43a61d756cd6e578d3e5931a9912fea26e5cb9","d668a981e030e14b89348f48737c0b57e900c9daa2b8fba1381a841432fce416","e7e719014990049a0a7258a22d43a61d756cd6e578d3e5931a9912fea26e5cb9",TRUE
"mv08o_source_sentinel_determinism_v1","SRA742961_SRS3565197",20260806,"sct_data_all_qc_fit_selected384","exact500","e9f273bf776513a530230bf63dc054a3e83d6867e11b6e25f2e378e17d51106f","dcc0b91e7fb93f04d53d258ae085704d578eed1ef9046b1f3b08566a9dbd5a90","e9f273bf776513a530230bf63dc054a3e83d6867e11b6e25f2e378e17d51106f","dcc0b91e7fb93f04d53d258ae085704d578eed1ef9046b1f3b08566a9dbd5a90",TRUE
"mv08o_source_sentinel_determinism_v1","SRA742961_SRS3565197",20260806,"sct_pearson_residual_all_qc_fit_selected384","exact500","24458271a836a5e81ccb3d82df759140b7f42cd983bb4500636bda71bafc75f1","7a1296f8babf93319d3840a3789b949d85637b12329cc6b880278569c322960f","24458271a836a5e81ccb3d82df759140b7f42cd983bb4500636bda71bafc75f1","7a1296f8babf93319d3840a3789b949d85637b12329cc6b880278569c322960f",TRUE
"mv08o_source_sentinel_determinism_v1","SRA742961_SRS3565197",20260807,"sct_data_all_qc_fit_selected384","exact500","b3b980ccbac28862f0c961f453313d0959a0697139326b063bbf7e29ab6cc381","6edf3479b19b99307a9d549fe63dceb01d47b308f1852e3b856cc7d322836ee2","b3b980ccbac28862f0c961f453313d0959a0697139326b063bbf7e29ab6cc381","6edf3479b19b99307a9d549fe63dceb01d47b308f1852e3b856cc7d322836ee2",TRUE
"mv08o_source_sentinel_determinism_v1","SRA742961_SRS3565197",20260807,"sct_pearson_residual_all_qc_fit_selected384","exact500","e5b8ca8ca724699ec596a4039e85f4b1a8ac2183697d603a1de3d1bcae36c6f5","1f0429008599e83d62f9294d17b148182e1a08178528ac105c952e1211a0b799","e5b8ca8ca724699ec596a4039e85f4b1a8ac2183697d603a1de3d1bcae36c6f5","1f0429008599e83d62f9294d17b148182e1a08178528ac105c952e1211a0b799",TRUE
"mv08o_source_sentinel_determinism_v1","SRA742961_SRS3565197",20260808,"sct_data_all_qc_fit_selected384","exact500","a9f9ea058cf75adda8f04c56b64042c05fac12f1367b07b9b821a9da9a6519f0","d70b6932a2296147eee136d4fa7aca9cdc06a8d7961952bb96fa8844fd16653a","a9f9ea058cf75adda8f04c56b64042c05fac12f1367b07b9b821a9da9a6519f0","d70b6932a2296147eee136d4fa7aca9cdc06a8d7961952bb96fa8844fd16653a",TRUE
"mv08o_source_sentinel_determinism_v1","SRA742961_SRS3565197",20260808,"sct_pearson_residual_all_qc_fit_selected384","exact500","f60d0c7a02e195ac90de2f293c285336462f3ea69fb747d9d738c2c254f9e7b5","9bbe7f897d6c107a8a09e16d3af2c6f423b96d5f15f41c07fd74207010ef933b","f60d0c7a02e195ac90de2f293c285336462f3ea69fb747d9d738c2c254f9e7b5","9bbe7f897d6c107a8a09e16d3af2c6f423b96d5f15f41c07fd74207010ef933b",TRUE
