"contract_id","source_order","source_id","locator","sha256","bytes","access_class","raw_input_published","contains_expression_values","accepted_head"
"mv08c_hca_source_manifest_v1",1,"project_json","https://service.azul.data.humancellatlas.org/index/projects","9ead8522a8c9f938d4d09ebd909742c73808a14fb9d335a5ae815d97302279ec",221981,"official_public_metadata",FALSE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_source_manifest_v1",2,"whole_marrow_sample_json","https://service.azul.data.humancellatlas.org/index/samples","32fd25883c0890b544cf685118d28b6b5c825d4a574018df493aacc906ddb0dd",68746,"official_public_metadata",FALSE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_source_manifest_v1",3,"selected_marrow_sample_json","https://service.azul.data.humancellatlas.org/index/samples","bab71ae939560a12266f02d8dc74ce02496575ca82cbfa8420d1910f9e30c770",193287,"official_public_metadata",FALSE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_source_manifest_v1",4,"primary_h5_compact_manifest","official compact manifest generated from frozen MV8-C query","6abd02aa166f7d99f712892c7611641cc16baeef2d8d2e307174ec1ea01bb1a3",13597,"official_public_metadata",FALSE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_source_manifest_v1",5,"openapi_schema","https://service.azul.data.humancellatlas.org/openapi.json","0739655da5b6749b1f1cf37f665c0d47d672156619fbd97ad7be176607a55715",219629,"official_public_metadata",FALSE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_source_manifest_v1",6,"query_contract","docs/specifications/mv08c-hca-query-contract-v1.csv","12f8ad4e53056cc30ad04ebefb16b89b2d5db9867374c8cb8d39d80758763d33",1574,"public_repository",TRUE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_source_manifest_v1",7,"frozen_main_metadata","private_local_metadata_not_published","e2b6f1e7d7dc05ba8e80627aad4ea1677c3b718a844397acd06596d7e22a18d0",33255,"private_hash_only",FALSE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_source_manifest_v1",8,"frozen_500_gene_panel","docs/audits/mv07fp-panel-evidence/mv07fp-panel.csv","fe22220dc89deafd3c84714434a73ce8243c4d3e15d1eeb43cd51f5e6170b69b",97166,"public_repository",TRUE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_source_manifest_v1",9,"mv07h_ph_metrics","docs/audits/mv07h-full-ph-evidence/mv07h-ph-metrics.csv","171263978a27f99d3ad158905703c4424259f1147f22803d2199c54e991d2bcf",578397,"public_repository",TRUE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_source_manifest_v1",10,"mv07h_source_metrics","docs/audits/mv07h-full-ph-evidence/mv07h-source-metrics.csv","0c2862e9601d95191ad065aacb2a0551bb20729743f5f986c40ed50ebaf7bfd4",2806,"public_repository",TRUE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
