"contract_id","artifact_order","filename","sha256","bytes","contains_expression_values","contains_protected_donor_attributes","contains_expiring_signed_urls","contains_private_paths","contains_confidential_review_text","accepted_head"
"mv08c_hca_artifact_manifest_v1",1,"mv08c-source-manifest.csv","9744b0b7d3b0dd34a70eeece7b443faade513d37c849a4bbf15b9d772ad682e1",2791,FALSE,FALSE,FALSE,FALSE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_artifact_manifest_v1",2,"mv08c-project-summary.csv","02ebfb611e35bf07c245b1ef6339765773fb5f87d4aa7e821d7d390ee05e2dd0",684,FALSE,FALSE,FALSE,FALSE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_artifact_manifest_v1",3,"mv08c-component-accountability.csv","8fc5dd3c26080a1f69e2a85314357a5bc56d019a0259a29582366461fb0a64a4",900,FALSE,FALSE,FALSE,FALSE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_artifact_manifest_v1",4,"mv08c-primary-file-manifest.csv","e3b11f57d23d2a6ca5e1b71bb10402d7675081c87254facb8930e5390e1cfcc1",5290,FALSE,FALSE,FALSE,FALSE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_artifact_manifest_v1",5,"mv08c-primary-unit-ledger.csv","aa346cc6f71ad01cc8079fd5dc41fc376acc8470fea982d32ade531565f2e2da",3681,FALSE,FALSE,FALSE,FALSE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_artifact_manifest_v1",6,"mv08c-independence-audit.csv","a1c90679aa83c52a27d7062bade18a3ea9f94d18b7e99b8a2f2896044270313e",1790,FALSE,FALSE,FALSE,FALSE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_artifact_manifest_v1",7,"mv08c-access-terms.csv","930b46af8f8888b0724fd973fb9c2f67bcb97f8a4db07ac5d26382182b796f9a",1105,FALSE,FALSE,FALSE,FALSE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_artifact_manifest_v1",8,"mv08c-view-gates.csv","03cbe84c45e972f88b0da1123a94cef3616bf3ead9603099b4533243647b6909",1486,FALSE,FALSE,FALSE,FALSE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_artifact_manifest_v1",9,"mv08c-resource-plan.csv","b92ab9ee4405fa56de0781215be806d8042b0aa3aebecc15426b45fae988dc47",843,FALSE,FALSE,FALSE,FALSE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_artifact_manifest_v1",10,"mv08c-resource-summary.csv","8d208918352d0226082837553ec69fe4df04b03353a0589cf652e86d3257cb79",717,FALSE,FALSE,FALSE,FALSE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_artifact_manifest_v1",11,"mv08c-execution-plan.csv","8664e340cf2d582caa2514e3d395acf2c09eafcee88ea1bb93527cb7362becf5",1703,FALSE,FALSE,FALSE,FALSE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_artifact_manifest_v1",12,"mv08c-stop-resume.csv","18334ed33dd9f1bdbf47aef636e9b20e6352be4a3d324c7dec1642d74550ae6d",1246,FALSE,FALSE,FALSE,FALSE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_artifact_manifest_v1",13,"mv08c-landscape-contract.csv","4afb9768a19425981e1da613e6a4ad55729360c2115215e7bb956ffdfa853815",982,FALSE,FALSE,FALSE,FALSE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
"mv08c_hca_artifact_manifest_v1",14,"mv08c-decision.csv","037d64244df92bf24dcbe5ea8046814dc3c3c9b1dd3e90243e14e1b365ee7a87",735,FALSE,FALSE,FALSE,FALSE,FALSE,"6c6f600c9a3844ad08f36e0ba8b0e97fcab4c0b3"
