"contract_id","dataset_scope","contrast_id","seed","homology_dimension","metric","value","replication_units","interpretation"
"mv09_external_singleton_v1","external8","common475_net_migration_effect",20260805,"H0","left_median_distance",0.599548570168499,1,"single_external_cohort_no_variability_or_generalization"
"mv09_external_singleton_v1","external8","common475_net_migration_effect",20260805,"H0","mean_neighbor_jaccard",1,1,"single_external_cohort_no_variability_or_generalization"
"mv09_external_singleton_v1","external8","common475_net_migration_effect",20260805,"H0","median_abs_median_scaled_change",0.130724842719692,1,"single_external_cohort_no_variability_or_generalization"
"mv09_external_singleton_v1","external8","common475_net_migration_effect",20260805,"H0","median_neighbor_jaccard",1,1,"single_external_cohort_no_variability_or_generalization"
"mv09_external_singleton_v1","external8","common475_net_migration_effect",20260805,"H0","nonnegative_scale",0.820311359248076,1,"single_external_cohort_no_variability_or_generalization"
"mv09_external_singleton_v1","external8","common475_net_migration_effect",20260805,"H0","p10_neighbor_jaccard",1,1,"single_external_cohort_no_variability_or_generalization"
"mv09_external_singleton_v1","external8","common475_net_migration_effect",20260805,"H0","p95_abs_median_scaled_change",0.364395316297645,1,"single_external_cohort_no_variability_or_generalization"
"mv09_external_singleton_v1","external8","common475_net_migration_effect",20260805,"H0","pearson",0.930524586430905,1,"single_external_cohort_no_variability_or_generalization"
"mv09_external_singleton_v1","external8","common475_net_migration_effect",20260805,"H0","relative_stress",0.179829866060721,1,"single_external_cohort_no_variability_or_generalization"
"mv09_external_singleton_v1","external8","common475_net_migration_effect",20260805,"H0","right_median_distance",0.526961787259848,1,"single_external_cohort_no_variability_or_generalization"
"mv09_external_singleton_v1","external8","common475_net_migration_effect",20260805,"H0","spearman",0.93431855500821,1,"single_external_cohort_no_variability_or_generalization"
"mv09_external_singleton_v1","external8","common475_net_migration_effect",20260805,"H1","left_median_distance",0.0168592738344671,1,"single_external_cohort_no_variability_or_generalization"
"mv09_external_singleton_v1","external8","common475_net_migration_effect",20260805,"H1","mean_neighbor_jaccard",1,1,"single_external_cohort_no_variability_or_generalization"
"mv09_external_singleton_v1","external8","common475_net_migration_effect",20260805,"H1","median_abs_median_scaled_change",0.143718639056266,1,"single_external_cohort_no_variability_or_generalization"
"mv09_external_singleton_v1","external8","common475_net_migration_effect",20260805,"H1","median_neighbor_jaccard",1,1,"single_external_cohort_no_variability_or_generalization"
"mv09_external_singleton_v1","external8","common475_net_migration_effect",20260805,"H1","nonnegative_scale",0.960198717344075,1,"single_external_cohort_no_variability_or_generalization"
"mv09_external_singleton_v1","external8","common475_net_migration_effect",20260805,"H1","p10_neighbor_jaccard",1,1,"single_external_cohort_no_variability_or_generalization"
