"contract_id","comparison_order","comparison_id","contrast_family","dataset_scope","panel_id","seed","homology_dimension","left_stack_order","right_stack_order","left_view","right_view","units","unordered_pairs","neighbor_k","pair_axis_sha256","left_payload_set_sha256","right_payload_set_sha256"
"mv15_comparison_queue_v1",1,"mv15:01:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260805_vs_20260806","H0",5,7,"cell_topology_v2","cell_topology_v2",124,7626,"10","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","9bffce8107cbdb3e5eec312c92c230d6445b60f7526feb6a9a55af06a7d40d71","b68ee83f98200f403ccab1dd3467068555f415ae4d5b00ca9bdb169ad5d3fbbc"
"mv15_comparison_queue_v1",2,"mv15:02:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260805_vs_20260807","H0",5,9,"cell_topology_v2","cell_topology_v2",124,7626,"10","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","9bffce8107cbdb3e5eec312c92c230d6445b60f7526feb6a9a55af06a7d40d71","553c26f2184a0c38dbd9d577fdfe3ce79f3275fe5d1a2a66ac1e06754e8f1f1c"
"mv15_comparison_queue_v1",3,"mv15:03:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260805_vs_20260808","H0",5,11,"cell_topology_v2","cell_topology_v2",124,7626,"10","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","9bffce8107cbdb3e5eec312c92c230d6445b60f7526feb6a9a55af06a7d40d71","9cfbddbc684aee7118398af1407aa54d502328af71e936d8dc3892d74f2242dc"
"mv15_comparison_queue_v1",4,"mv15:04:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260805_vs_20260809","H0",5,13,"cell_topology_v2","cell_topology_v2",124,7626,"10","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","9bffce8107cbdb3e5eec312c92c230d6445b60f7526feb6a9a55af06a7d40d71","9e08b8a82e1e8ed8e6f38defe538260801bbce14778107a9b872b65196a17c7a"
"mv15_comparison_queue_v1",5,"mv15:05:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260806_vs_20260807","H0",7,9,"cell_topology_v2","cell_topology_v2",124,7626,"10","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","b68ee83f98200f403ccab1dd3467068555f415ae4d5b00ca9bdb169ad5d3fbbc","553c26f2184a0c38dbd9d577fdfe3ce79f3275fe5d1a2a66ac1e06754e8f1f1c"
"mv15_comparison_queue_v1",6,"mv15:06:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260806_vs_20260808","H0",7,11,"cell_topology_v2","cell_topology_v2",124,7626,"10","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","b68ee83f98200f403ccab1dd3467068555f415ae4d5b00ca9bdb169ad5d3fbbc","9cfbddbc684aee7118398af1407aa54d502328af71e936d8dc3892d74f2242dc"
"mv15_comparison_queue_v1",7,"mv15:07:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260806_vs_20260809","H0",7,13,"cell_topology_v2","cell_topology_v2",124,7626,"10","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","b68ee83f98200f403ccab1dd3467068555f415ae4d5b00ca9bdb169ad5d3fbbc","9e08b8a82e1e8ed8e6f38defe538260801bbce14778107a9b872b65196a17c7a"
"mv15_comparison_queue_v1",8,"mv15:08:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260807_vs_20260808","H0",9,11,"cell_topology_v2","cell_topology_v2",124,7626,"10","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","553c26f2184a0c38dbd9d577fdfe3ce79f3275fe5d1a2a66ac1e06754e8f1f1c","9cfbddbc684aee7118398af1407aa54d502328af71e936d8dc3892d74f2242dc"
"mv15_comparison_queue_v1",9,"mv15:09:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260807_vs_20260809","H0",9,13,"cell_topology_v2","cell_topology_v2",124,7626,"10","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","553c26f2184a0c38dbd9d577fdfe3ce79f3275fe5d1a2a66ac1e06754e8f1f1c","9e08b8a82e1e8ed8e6f38defe538260801bbce14778107a9b872b65196a17c7a"
"mv15_comparison_queue_v1",10,"mv15:10:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260808_vs_20260809","H0",11,13,"cell_topology_v2","cell_topology_v2",124,7626,"10","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","9cfbddbc684aee7118398af1407aa54d502328af71e936d8dc3892d74f2242dc","9e08b8a82e1e8ed8e6f38defe538260801bbce14778107a9b872b65196a17c7a"
