"contract_id","source_id","artifact_locator","sha256","bytes","accepted_head","private_source"
"mv08f_recovery_source_freeze_v1","reconciliation","docs/audits/mv07d-prefreeze-evidence/mv07d-sample-reconciliation.csv","ff448cab8dc056d5a7c89fce7cde75f0844cb8c8d6a990195308e5322693afe0",32276,"65d0dcf1d6e28aa27fdfecb3155c4194355081c0",FALSE
"mv08f_recovery_source_freeze_v1","accepted_cache_manifest","docs/audits/mv07fp-prefreeze-evidence-v4/mv07fp-cache-manifest.csv","73a080e3a6b4ca38edc80dd973e296823e2adfa10ba627a808c0d2c9279d2f3d",292032,"65d0dcf1d6e28aa27fdfecb3155c4194355081c0",FALSE
"mv08f_recovery_source_freeze_v1","source_metrics","docs/audits/mv07h-full-ph-evidence/mv07h-source-metrics.csv","0c2862e9601d95191ad065aacb2a0551bb20729743f5f986c40ed50ebaf7bfd4",2806,"65d0dcf1d6e28aa27fdfecb3155c4194355081c0",FALSE
"mv08f_recovery_source_freeze_v1","ph_metrics","docs/audits/mv07h-full-ph-evidence/mv07h-ph-metrics.csv","171263978a27f99d3ad158905703c4424259f1147f22803d2199c54e991d2bcf",578397,"65d0dcf1d6e28aa27fdfecb3155c4194355081c0",FALSE
"mv08f_recovery_source_freeze_v1","landscape_inventory","docs/audits/mv07h-landscape-complete-validation/mv07h-landscape-complete-group-inventory.csv","ab6136b568e540d8fbf273b54df2cb164924b9e75ab25f5f6e8465a54d6fa3d3",8266,"65d0dcf1d6e28aa27fdfecb3155c4194355081c0",FALSE
"mv08f_recovery_source_freeze_v1","runtime_helper","R/mv05_resource_safe_execution.R","43f23ed58cd0fbc9c82d17f66e6feb2f78e1e4debc387ede3a567597a109947d",56421,"65d0dcf1d6e28aa27fdfecb3155c4194355081c0",FALSE
"mv08f_recovery_source_freeze_v1","raw_queue","scripts/run_mv05d0_raw_shard_queue.R","285c8a35a726c7c2c835e3ffbd3f1f44b706273de8afb17e89c6fb1fd6edf8a5",7069,"65d0dcf1d6e28aa27fdfecb3155c4194355081c0",FALSE
"mv08f_recovery_source_freeze_v1","raw_entry","scripts/run_mv05d0_raw_shard_entry.R","0c83c31e6dc7a8fce1f61854fadec9cf3b93c5f47122ab2ecb85f13dc9216090",4875,"65d0dcf1d6e28aa27fdfecb3155c4194355081c0",FALSE
"mv08f_recovery_source_freeze_v1","selection_builder","scripts/build_mv05d0_selection_summary_from_shards.R","3ce8ef6aca92e057463818b733c78780f1f7e62c489497c5aa16ca2ed96065f8",2428,"65d0dcf1d6e28aa27fdfecb3155c4194355081c0",FALSE
"mv08f_recovery_source_freeze_v1","sct_queue","scripts/run_mv05d0_sct_cache_queue.R","565cfcf49ab84ab36fdbe7718840fd18a0d5cc5cbf59e59a3c3fcac9ad38296c",8665,"65d0dcf1d6e28aa27fdfecb3155c4194355081c0",FALSE
"mv08f_recovery_source_freeze_v1","sct_entry","scripts/run_mv05d0_sct_cache_entry.R","1931e09598b58036582b0f3413e1b590a05786a3029f909833717004697e0936",5301,"65d0dcf1d6e28aa27fdfecb3155c4194355081c0",FALSE
"mv08f_recovery_source_freeze_v1","builder","scripts/build_mv08f_cache_recovery_prefreeze.R","c64c9ddd4e9f71a7130a34d537450f13f3ded285adcb8532eb953a693e9d96b8",12760,"65d0dcf1d6e28aa27fdfecb3155c4194355081c0",FALSE
"mv08f_recovery_source_freeze_v1","validator","scripts/validate_mv08f_cache_recovery_prefreeze.R","8e85da6cba4d494a222c6c95a384a15c61abd1a36ef1aabc52d8b78492894911",6122,"65d0dcf1d6e28aa27fdfecb3155c4194355081c0",FALSE
"mv08f_recovery_source_freeze_v1","specification","docs/specifications/MV08F_REFERENCE_CACHE_RECOVERY_PREFREEZE_V1.md","56dbfc54f4dc55dc13d12d77c32f4a4ebc409067379f26339d9393212195547e",3041,"65d0dcf1d6e28aa27fdfecb3155c4194355081c0",FALSE
"mv08f_recovery_source_freeze_v1","tests","tests/testthat/test-mv08f-cache-recovery-prefreeze.R","b9ac3279f9c5b30e63d56534f945bfbbfa1315512b0efcfd76bc4079b1f35ead",1724,"65d0dcf1d6e28aa27fdfecb3155c4194355081c0",FALSE
