"contract_id","group_order","group_id","dataset_scope","representation_id","panel_id","seed","homology_dimension","units","unordered_pairs","integration","level_policy","grid_policy","level_cap","elapsed_cap_seconds","rss_cap_bytes","workers","retries","authorization_state","outcome_label_state","biological_outcomes_computed","essential_h0_policy","dimension_policy","stress_order","engine_policy","rust_binary_state"
"mv08r_landscape_queue_v1",1,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260805:H0","internal124","sct_data_all_qc_fit_selected384","exact500",20260805,"H0",124,7626,"exact_streamed_squared_L2","all_consecutive_active_levels","none","none",3600,12884901888,1,0,"closed_pending_full_ph_and_rust_rebind","closed",FALSE,"exclude_infinite_interval","H0_H1_separate","defer_label_blind_maximum_interval_burden","accepted_rust_kernel_after_rebuild_rebind;R_exact_or_error_controlled_oracle","absent_rebuild_required_before_execution"
"mv08r_landscape_queue_v1",2,"mv08n_landscape:internal124:sct_pearson_residual_all_qc_fit_selected384:exact500:20260805:H0","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H0",124,7626,"exact_streamed_squared_L2","all_consecutive_active_levels","none","none",3600,12884901888,1,0,"closed_pending_full_ph_and_rust_rebind","closed",FALSE,"exclude_infinite_interval","H0_H1_separate","defer_label_blind_maximum_interval_burden","accepted_rust_kernel_after_rebuild_rebind;R_exact_or_error_controlled_oracle","absent_rebuild_required_before_execution"
"mv08r_landscape_queue_v1",3,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260806:H0","internal124","sct_data_all_qc_fit_selected384","exact500",20260806,"H0",124,7626,"exact_streamed_squared_L2","all_consecutive_active_levels","none","none",3600,12884901888,1,0,"closed_pending_full_ph_and_rust_rebind","closed",FALSE,"exclude_infinite_interval","H0_H1_separate","defer_label_blind_maximum_interval_burden","accepted_rust_kernel_after_rebuild_rebind;R_exact_or_error_controlled_oracle","absent_rebuild_required_before_execution"
"mv08r_landscape_queue_v1",4,"mv08n_landscape:internal124:sct_pearson_residual_all_qc_fit_selected384:exact500:20260806:H0","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H0",124,7626,"exact_streamed_squared_L2","all_consecutive_active_levels","none","none",3600,12884901888,1,0,"closed_pending_full_ph_and_rust_rebind","closed",FALSE,"exclude_infinite_interval","H0_H1_separate","defer_label_blind_maximum_interval_burden","accepted_rust_kernel_after_rebuild_rebind;R_exact_or_error_controlled_oracle","absent_rebuild_required_before_execution"
"mv08r_landscape_queue_v1",5,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260807:H0","internal124","sct_data_all_qc_fit_selected384","exact500",20260807,"H0",124,7626,"exact_streamed_squared_L2","all_consecutive_active_levels","none","none",3600,12884901888,1,0,"closed_pending_full_ph_and_rust_rebind","closed",FALSE,"exclude_infinite_interval","H0_H1_separate","defer_label_blind_maximum_interval_burden","accepted_rust_kernel_after_rebuild_rebind;R_exact_or_error_controlled_oracle","absent_rebuild_required_before_execution"
"mv08r_landscape_queue_v1",6,"mv08n_landscape:internal124:sct_pearson_residual_all_qc_fit_selected384:exact500:20260807:H0","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H0",124,7626,"exact_streamed_squared_L2","all_consecutive_active_levels","none","none",3600,12884901888,1,0,"closed_pending_full_ph_and_rust_rebind","closed",FALSE,"exclude_infinite_interval","H0_H1_separate","defer_label_blind_maximum_interval_burden","accepted_rust_kernel_after_rebuild_rebind;R_exact_or_error_controlled_oracle","absent_rebuild_required_before_execution"
"mv08r_landscape_queue_v1",7,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260808:H0","internal124","sct_data_all_qc_fit_selected384","exact500",20260808,"H0",124,7626,"exact_streamed_squared_L2","all_consecutive_active_levels","none","none",3600,12884901888,1,0,"closed_pending_full_ph_and_rust_rebind","closed",FALSE,"exclude_infinite_interval","H0_H1_separate","defer_label_blind_maximum_interval_burden","accepted_rust_kernel_after_rebuild_rebind;R_exact_or_error_controlled_oracle","absent_rebuild_required_before_execution"
"mv08r_landscape_queue_v1",8,"mv08n_landscape:internal124:sct_pearson_residual_all_qc_fit_selected384:exact500:20260808:H0","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260808,"H0",124,7626,"exact_streamed_squared_L2","all_consecutive_active_levels","none","none",3600,12884901888,1,0,"closed_pending_full_ph_and_rust_rebind","closed",FALSE,"exclude_infinite_interval","H0_H1_separate","defer_label_blind_maximum_interval_burden","accepted_rust_kernel_after_rebuild_rebind;R_exact_or_error_controlled_oracle","absent_rebuild_required_before_execution"
"mv08r_landscape_queue_v1",9,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260809:H0","internal124","sct_data_all_qc_fit_selected384","exact500",20260809,"H0",124,7626,"exact_streamed_squared_L2","all_consecutive_active_levels","none","none",3600,12884901888,1,0,"closed_pending_full_ph_and_rust_rebind","closed",FALSE,"exclude_infinite_interval","H0_H1_separate","defer_label_blind_maximum_interval_burden","accepted_rust_kernel_after_rebuild_rebind;R_exact_or_error_controlled_oracle","absent_rebuild_required_before_execution"
"mv08r_landscape_queue_v1",10,"mv08n_landscape:internal124:sct_pearson_residual_all_qc_fit_selected384:exact500:20260809:H0","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260809,"H0",124,7626,"exact_streamed_squared_L2","all_consecutive_active_levels","none","none",3600,12884901888,1,0,"closed_pending_full_ph_and_rust_rebind","closed",FALSE,"exclude_infinite_interval","H0_H1_separate","defer_label_blind_maximum_interval_burden","accepted_rust_kernel_after_rebuild_rebind;R_exact_or_error_controlled_oracle","absent_rebuild_required_before_execution"
"mv08r_landscape_queue_v1",11,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260805:H1","internal124","sct_data_all_qc_fit_selected384","exact500",20260805,"H1",124,7626,"exact_streamed_squared_L2","all_consecutive_active_levels","none","none",3600,12884901888,1,0,"closed_pending_full_ph_and_rust_rebind","closed",FALSE,"exclude_infinite_interval","H0_H1_separate","defer_label_blind_maximum_interval_burden","accepted_rust_kernel_after_rebuild_rebind;R_exact_or_error_controlled_oracle","absent_rebuild_required_before_execution"
"mv08r_landscape_queue_v1",12,"mv08n_landscape:internal124:sct_pearson_residual_all_qc_fit_selected384:exact500:20260805:H1","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H1",124,7626,"exact_streamed_squared_L2","all_consecutive_active_levels","none","none",3600,12884901888,1,0,"closed_pending_full_ph_and_rust_rebind","closed",FALSE,"exclude_infinite_interval","H0_H1_separate","defer_label_blind_maximum_interval_burden","accepted_rust_kernel_after_rebuild_rebind;R_exact_or_error_controlled_oracle","absent_rebuild_required_before_execution"
"mv08r_landscape_queue_v1",13,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260806:H1","internal124","sct_data_all_qc_fit_selected384","exact500",20260806,"H1",124,7626,"exact_streamed_squared_L2","all_consecutive_active_levels","none","none",3600,12884901888,1,0,"closed_pending_full_ph_and_rust_rebind","closed",FALSE,"exclude_infinite_interval","H0_H1_separate","defer_label_blind_maximum_interval_burden","accepted_rust_kernel_after_rebuild_rebind;R_exact_or_error_controlled_oracle","absent_rebuild_required_before_execution"
"mv08r_landscape_queue_v1",14,"mv08n_landscape:internal124:sct_pearson_residual_all_qc_fit_selected384:exact500:20260806:H1","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H1",124,7626,"exact_streamed_squared_L2","all_consecutive_active_levels","none","none",3600,12884901888,1,0,"closed_pending_full_ph_and_rust_rebind","closed",FALSE,"exclude_infinite_interval","H0_H1_separate","defer_label_blind_maximum_interval_burden","accepted_rust_kernel_after_rebuild_rebind;R_exact_or_error_controlled_oracle","absent_rebuild_required_before_execution"
"mv08r_landscape_queue_v1",15,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260807:H1","internal124","sct_data_all_qc_fit_selected384","exact500",20260807,"H1",124,7626,"exact_streamed_squared_L2","all_consecutive_active_levels","none","none",3600,12884901888,1,0,"closed_pending_full_ph_and_rust_rebind","closed",FALSE,"exclude_infinite_interval","H0_H1_separate","defer_label_blind_maximum_interval_burden","accepted_rust_kernel_after_rebuild_rebind;R_exact_or_error_controlled_oracle","absent_rebuild_required_before_execution"
