"contract_id","sample_id","genes","cells","historical_source_sha256","individual_source_file","individual_source_size_bytes","individual_source_sha256","counts_sha256","private_raw_cache_file","private_raw_cache_size_bytes","private_raw_cache_sha256","disposition","recovered_monolithic_comparison","outcome_label_state","biological_outcomes_computed","exit_status","elapsed_seconds","peak_process_tree_rss_bytes","elapsed_cap_seconds","rss_cap_bytes","storage_cap_bytes","cache_bytes_after_completion","maximum_heavy_workers"
"mv05d0_individual_raw_shard_resource_v1","SRA550660_SRS2089635",11360,1138,"9d1917e10f65e2d40261d74973eae633df1a7bf8223f90f99fea905d8836024e","SRA550660_SRS2089635.rds",35278861,"523c580d1e51026a1613f96e5997d20f8b6aef319a4c1b3fc866e4f95de90655","7b9ff333d9319b3a12435d9fdfa855c33cb0b9e4b565c7556e4ffb0689fc57c9","SRA550660_SRS2089635__raw.rds",1660295,"22cac676c45b3526d280baa3f385659bf31c40b846b2e7df773cee0adab69050","built_atomic","not_available","closed",FALSE,0,12.5660746097565,490119168,1800,8589934592,42949672960,3006045,2
"mv05d0_individual_raw_shard_resource_v1","SRA550660_SRS2089636",10786,930,"9d1917e10f65e2d40261d74973eae633df1a7bf8223f90f99fea905d8836024e","SRA550660_SRS2089636.rds",29112152,"d8991a019eabefe5847109c97e8da905aad2fabde0f3d4044792fb10da18dd11","366542993ad6c12a826f5fc93226ac95e092e50f5d0acdd8f1901cabb1d1bc3d","SRA550660_SRS2089636__raw.rds",1345750,"d232cebca1ba613404a027137ad822631302fdb65efeb12215119b8a1aaf786a","built_atomic","not_available","closed",FALSE,0,10.6297674179077,422461440,1800,8589934592,42949672960,1345750,2
"mv05d0_individual_raw_shard_resource_v1","SRA550660_SRS2089637",17683,9071,"9d1917e10f65e2d40261d74973eae633df1a7bf8223f90f99fea905d8836024e","SRA550660_SRS2089637.rds",273289520,"e87fb71c5cd6756fb41eafd0cefa9a652187e9b78e673675814e0ad1108667f4","576f3146ee9ec39fc46b3d7c85f3d7a20472ba513fbb72c09df64ae29f3898ac","SRA550660_SRS2089637__raw.rds",14285509,"3ed50d40299834dee6b4b4cd088244accb98ab231d48043dcff63aa81e64f607","built_atomic","not_available","closed",FALSE,0,52.7983458042145,1054957568,1800,8589934592,42949672960,19054210,2
"mv05d0_individual_raw_shard_resource_v1","SRA550660_SRS2089638",11725,1210,"9d1917e10f65e2d40261d74973eae633df1a7bf8223f90f99fea905d8836024e","SRA550660_SRS2089638.rds",37386044,"944856eb62203991e55923ce3e67757c7ec8cdfda523ea8b7697370143720919","ef7e4f6321aa5d4e77f68a6b36ab9bc160d806d916039f362142625ca169d012","SRA550660_SRS2089638__raw.rds",1762656,"456a2f503a43fd48595a32bf0a4489ac119c6c4d0062cf802cb64248a5cd2426","built_atomic","not_available","closed",FALSE,0,12.3300893306732,494604288,1800,8589934592,42949672960,4768701,2
"mv05d0_individual_raw_shard_resource_v1","SRA550660_SRS2089639",16977,8839,"9d1917e10f65e2d40261d74973eae633df1a7bf8223f90f99fea905d8836024e","SRA550660_SRS2089639.rds",264832047,"c1f7ed7013d7e3f885b38d47217dbc758ca8760ad8bbffe2f6f87d6331c14541","3fbad0533d862d2a6ab8a661d944fec6b50c3e21fda93e6c5a4d24ec223ada11","SRA550660_SRS2089639__raw.rds",13640080,"78ac76cf54b3fbf5303fd3b3fb2f8166d9d048d923a270a1ecf54f9ee2621a92","built_atomic","not_available","closed",FALSE,0,52.2129807472229,1028886528,1800,8589934592,42949672960,32694290,2
"mv05d0_individual_raw_shard_resource_v1","SRA621638_SRS2610283",15859,1177,"9d1917e10f65e2d40261d74973eae633df1a7bf8223f90f99fea905d8836024e","SRA621638_SRS2610283.rds",43473731,"e23da57ea0c8b8401bc642b862e7f872ceb44925c927c9803c95c67b4779f986","38a6203281b81ff80bd93aaaf5d5f0543f43087dc1fe594f0e54da42af9b8429","SRA621638_SRS2610283__raw.rds",3490181,"3499d2d980727ea696f6b01303aef00a7512fc60e11d379dae3c43e8b5fce5d6","built_atomic","not_available","closed",FALSE,0,15.069938659668,534114304,1800,8589934592,42949672960,36184471,2
"mv05d0_individual_raw_shard_resource_v1","SRA621638_SRS2610285",14363,832,"9d1917e10f65e2d40261d74973eae633df1a7bf8223f90f99fea905d8836024e","SRA621638_SRS2610285.rds",32093778,"5dbdc42c130ae08d87995c76a081dd8b7e8721e97b28f530e5226fb95ad3ae34","f5018a5c6e356aa9f9f3dc4207c8aac08624bd847184c8a475d7043d9ec45f6e","SRA621638_SRS2610285__raw.rds",2609627,"958c26a2a79f1a02a8f813cb6ff9f7e139f3fab0990c19474d17e8cd97ff4810","built_atomic","not_available","closed",FALSE,0,12.5428595542908,505704448,1800,8589934592,42949672960,38794098,2
"mv05d0_individual_raw_shard_resource_v1","SRA628554_SRS2664364",16309,3410,"9d1917e10f65e2d40261d74973eae633df1a7bf8223f90f99fea905d8836024e","SRA628554_SRS2664364.rds",105298491,"a23ff6310775288732bfc1cddb909ebbfb128705d29290355d3232aa80895d33","3b3f6e57e2b3d5fe7c4c72204d7664673e6ec8f21a4828f76be237fdbfc7db0a","SRA628554_SRS2664364__raw.rds",5729833,"aff05dd0ba2f583cb4b315998bf811000e9522724b1bee642c450a7181939a97","built_atomic","not_available","closed",FALSE,0,24.5809071063995,669609984,1800,8589934592,42949672960,44523931,2
"mv05d0_individual_raw_shard_resource_v1","SRA628554_SRS2664365",17353,3141,"9d1917e10f65e2d40261d74973eae633df1a7bf8223f90f99fea905d8836024e","SRA628554_SRS2664365.rds",101084371,"7461d3f9f44fa068c6ffe579a55e178376293a0071a1e622315d3830ae622fb5","286e29e1c1294ca0814b2f241e9f09bbf69fcc663a67bc7ebcb12ffb18b0b089","SRA628554_SRS2664365__raw.rds",6331194,"f478209802fc4847ebe8ac7e1c8720c93acade128cf8c667e25e1994dd06e678","built_atomic","not_available","closed",FALSE,0,24.5886964797974,676093952,1800,8589934592,42949672960,50855125,2
"mv05d0_individual_raw_shard_resource_v1","SRA645804_SRS2823404",34840,4205,"9d1917e10f65e2d40261d74973eae633df1a7bf8223f90f99fea905d8836024e","SRA645804_SRS2823404.rds",242373285,"1efd419c49521da183f4ee23e4a2ece2f74147145c91d21a2396a531678da990","98a9d02d4e86352c6f1d0b7cee13e2a18de48290d8c1fc70d6d2cb423a5c2e15","SRA645804_SRS2823404__raw.rds",35176183,"0d5afcfb9fe2fb8c03f0d63c02d0083a476e129bb7ed69661643517277326fec","built_atomic","not_available","closed",FALSE,0,66.85915350914,1431732224,1800,8589934592,42949672960,112761218,2
