"contract_id","artifact_order","filename","sha256","bytes","public_content","contains_sample_level_labels","contains_confidential_review_text"
"mv07j_artifact_manifest_v1",1,"mv07j-source-manifest.csv","b61e2d5505a37f166c7426e2efee39a9a67c516a10c66e3e35f8823b054413b4",5573,TRUE,FALSE,FALSE
"mv07j_artifact_manifest_v1",2,"mv07j-landscape-observation-contract.csv","d6461c1dcd743b9ad6df04ddcb694d9495bf3043d5aae76486edb4bbe7853a48",1261,TRUE,FALSE,FALSE
"mv07j_artifact_manifest_v1",3,"mv07j-h1-contribution-distribution.csv","5c8f0a9f7a6460c2b817c5812d22745131fcdc3b606fd8c5231d9247cd8d66f0",858,TRUE,FALSE,FALSE
"mv07j_artifact_manifest_v1",4,"mv07j-h0-composite-concordance.csv","1ae4c4db775f4dde37c4800af09852cad972859c818c09233893d0ea1baf81ad",2280,TRUE,FALSE,FALSE
"mv07j_artifact_manifest_v1",5,"mv07j-algorithm-sensitivity.csv","37659cd4fba74d9ed5de64b4ae16d482fc14887a6d5b303bb73f8b03be5199fb",3006,TRUE,FALSE,FALSE
"mv07j_artifact_manifest_v1",6,"mv07j-complete-stability-curve.csv","f8fa6b98d960040406a6a82fc1a17cea02100ccd0cb47d0ce7bb7a6452c41199",6170,TRUE,FALSE,FALSE
"mv07j_artifact_manifest_v1",7,"mv07j-complete-outcome-summary.csv","ad4c584d937055df0dd3c0e4932665112786d74969ecb7f83bc9f1487619bedb",51663,TRUE,FALSE,FALSE
"mv07j_artifact_manifest_v1",8,"mv07j-outcome-range-synopsis.csv","75b4f236b05f9f6c6ff3661b85c381a1eec90b9a5a2831834b2cba998ff81a25",4134,TRUE,FALSE,FALSE
"mv07j_artifact_manifest_v1",9,"mv07j-claim-map.csv","c9d850d77ad5eb40b50d473d9c71678f3e550e2506f27b05080b3c20ddc073d9",6553,TRUE,FALSE,FALSE
"mv07j_artifact_manifest_v1",10,"mv07j-figure-map.csv","cc1e1aa46aaad41e534af0ee1ea4540f9b489d2c647223cd47a0091da1c261aa",2796,TRUE,FALSE,FALSE
"mv07j_artifact_manifest_v1",11,"mv07j-literature-registry.csv","c5e62f4eb9ca1f60874e6066a1499ba737b55871e41d1db8a935576aa23eb5ae",3705,TRUE,FALSE,FALSE
"mv07j_artifact_manifest_v1",12,"mv07j-legacy-method-correction.csv","0370f9bc5b2e8a2d0acf39b40e58d141a667f8984f18c68ce68a48f6673c0786",1581,TRUE,FALSE,FALSE
"mv07j_artifact_manifest_v1",13,"mv07j-scientific-requirement-map.csv","ed1a0bbf0fbf0a383370380607ca82e2a19b1fa7f6d55fc75565a50bce1e72c1",2062,TRUE,FALSE,FALSE
"mv07j_artifact_manifest_v1",14,"mv07j-external-data-gate.csv","6aeac027f3d79ca220efe23881223ff26ad24ec01ce884a318000c5b58145086",1013,TRUE,FALSE,FALSE
"mv07j_artifact_manifest_v1",15,"mv07j-credit-checklist.csv","78ffba713cad12ed45928641b79f184f1aac0c4cb3c0f7dd584e6b12591b418e",613,TRUE,FALSE,FALSE
"mv07j_artifact_manifest_v1",16,"mv07j-acceptance-criteria.csv","d397db6f9c16c8c24bb69caa27333b94235e420cc2e50492c15deb36f7ee2687",1437,TRUE,FALSE,FALSE
"mv07j_artifact_manifest_v1",17,"mv07j-decision.csv","6595a5a37598602851c55197f88140ea8a5655dae366a221387161e1729025c7",436,TRUE,FALSE,FALSE
