"contract_id","source_order","source_id","locator","sha256","bytes","access_class","accepted_head","new_ph","new_data"
"mv07j_source_manifest_v1",1,"label_decision","docs/audits/mv07i-label-closed-validation/mv07i-label-closed-decision.csv","bc16135051cadfec8552d7e10d3857d0bedc74e22907533fd2da67001cc0534c",328,"public_repository","f2deaf99375091b2030d00ef4f2cbd4be6861785",FALSE,FALSE
"mv07j_source_manifest_v1",2,"label_validation","docs/audits/mv07i-label-closed-validation/mv07i-label-closed-validation.csv","747ec1798e1b16efc3fa9aa94fec07676db639c88ba7c0008d1741bd64beab16",1831,"public_repository","f2deaf99375091b2030d00ef4f2cbd4be6861785",FALSE,FALSE
"mv07j_source_manifest_v1",3,"label_manifest","docs/audits/mv07i-label-closed-validation/mv07i-label-closed-artifact-manifest.csv","b9c6f838946051c1698069bfcf172200480c2e1135d8ccbb8356a1726b7dc3ad",1916,"public_repository","f2deaf99375091b2030d00ef4f2cbd4be6861785",FALSE,FALSE
"mv07j_source_manifest_v1",4,"outcome_decision","docs/audits/mv07i-outcome-validation/mv07i-outcome-decision.csv","ac560b3c575301cefc9192ea6d6d9898636a0f3643839df6e75163f9b73faeb7",275,"public_repository","f2deaf99375091b2030d00ef4f2cbd4be6861785",FALSE,FALSE
"mv07j_source_manifest_v1",5,"outcome_validation","docs/audits/mv07i-outcome-validation/mv07i-outcome-validation.csv","167db3cf736e63e1fcb6794eba8ea740367f7ae6b7c114ef3de059b36a49843b",1988,"public_repository","f2deaf99375091b2030d00ef4f2cbd4be6861785",FALSE,FALSE
"mv07j_source_manifest_v1",6,"outcome_manifest","docs/audits/mv07i-outcome-validation/mv07i-outcome-artifact-manifest.csv","1cdbc4ae9b4ad9f9634b7c944fe154de562cd21aaa43cd5fa17fd0af7ff0346e",1455,"public_repository","f2deaf99375091b2030d00ef4f2cbd4be6861785",FALSE,FALSE
"mv07j_source_manifest_v1",7,"outcome_seed","docs/audits/mv07i-outcome-validation/mv07i-outcome-seed-metrics.csv","933af6974642666227c56518725efee92ff6befa49d070bc759f3ce8bd4ead05",197026,"public_repository","f2deaf99375091b2030d00ef4f2cbd4be6861785",FALSE,FALSE
"mv07j_source_manifest_v1",8,"outcome_units","docs/audits/mv07i-outcome-validation/mv07i-outcome-unit-summaries.csv","4dccd420f79490413bcf9e12750c03558e3b33e202a90b4eefb3ffdc2188c777",46821,"public_repository","f2deaf99375091b2030d00ef4f2cbd4be6861785",FALSE,FALSE
"mv07j_source_manifest_v1",9,"outcome_structural","docs/audits/mv07i-outcome-validation/mv07i-outcome-structural-status.csv","6a15b08ecb273fad9c4292c30063acf9b53caf663ada51b12cb76e79d112f295",365,"public_repository","f2deaf99375091b2030d00ef4f2cbd4be6861785",FALSE,FALSE
"mv07j_source_manifest_v1",10,"mv07a_claims","docs/audits/mv07a-synthesis-evidence/mv07a-claim-boundaries.csv","ab8d287c74aafa268a65a63200df945a37ba6e1baee2d38022e877a1261bc1d7",1366,"public_repository","f2deaf99375091b2030d00ef4f2cbd4be6861785",FALSE,FALSE
"mv07j_source_manifest_v1",11,"mv07a_robustness","docs/audits/mv07a-synthesis-evidence/mv07a-robustness-coverage.csv","623c64a249cf68ff465c16d5f344b2031cd617b80b1eb84c7530c5d86c38832a",2805,"public_repository","f2deaf99375091b2030d00ef4f2cbd4be6861785",FALSE,FALSE
"mv07j_source_manifest_v1",12,"mv07b_audit","docs/audits/MV07B_NO_NEW_PH_CONFOUNDING_DIAGNOSTICS_2026-08-15.md","57a2ac078366f4b6aa7a93782f11af0203cef6c22d99e4cb7b9a28911eb75cfd",4336,"public_repository","f2deaf99375091b2030d00ef4f2cbd4be6861785",FALSE,FALSE
"mv07j_source_manifest_v1",13,"mv07c_claims","docs/audits/mv07c-synthesis-evidence/mv07c-claim-register.csv","f667b26da1852da8b12345ef2cf1b339a8cc6cd6b0e512fa9a5dcac3ad29aeb6",2678,"public_repository","f2deaf99375091b2030d00ef4f2cbd4be6861785",FALSE,FALSE
"mv07j_source_manifest_v1",14,"mv07c_options","docs/audits/mv07c-synthesis-evidence/mv07c-option-register.csv","296d62225ed6b8c066afd0b7f6b5fe0c87833513bec002edb56924f9e4307b65",1433,"public_repository","f2deaf99375091b2030d00ef4f2cbd4be6861785",FALSE,FALSE
"mv07j_source_manifest_v1",15,"mv07c_gates","docs/audits/mv07c-synthesis-evidence/mv07c-gate-status.csv","bebb9da93cea0eea9f6f762c31fc13244c878fda33c2cfca0c62ae6459f920d1",1427,"public_repository","f2deaf99375091b2030d00ef4f2cbd4be6861785",FALSE,FALSE
"mv07j_source_manifest_v1",16,"landscape_spec","docs/specifications/PERSISTENCE_LANDSCAPE_SPECIFICATION_V1.md","941b2bfd246d1766d544d97d23d571513c9d3c79ab76471b991b61efdeb0fddb",11589,"public_repository","f2deaf99375091b2030d00ef4f2cbd4be6861785",FALSE,FALSE
