"contract_id","view_id","algorithm_id","seed","samples","adjusted_rand_index","exact_partition","composite_role"
"mv07j_h0_composite_concordance_v1","cell","pam_stability_k_v1",20260805,124,1,TRUE,"secondary_descriptive"
"mv07j_h0_composite_concordance_v1","cell","pam_stability_k_v1",20260806,124,1,TRUE,"secondary_descriptive"
"mv07j_h0_composite_concordance_v1","cell","pam_stability_k_v1",20260807,124,1,TRUE,"secondary_descriptive"
"mv07j_h0_composite_concordance_v1","cell","pam_stability_k_v1",20260808,124,1,TRUE,"secondary_descriptive"
"mv07j_h0_composite_concordance_v1","cell","pam_stability_k_v1",20260809,124,1,TRUE,"secondary_descriptive"
"mv07j_h0_composite_concordance_v1","cell","hclust_average_v1",20260805,124,1,TRUE,"secondary_descriptive"
"mv07j_h0_composite_concordance_v1","cell","hclust_average_v1",20260806,124,1,TRUE,"secondary_descriptive"
"mv07j_h0_composite_concordance_v1","cell","hclust_average_v1",20260807,124,1,TRUE,"secondary_descriptive"
"mv07j_h0_composite_concordance_v1","cell","hclust_average_v1",20260808,124,1,TRUE,"secondary_descriptive"
"mv07j_h0_composite_concordance_v1","cell","hclust_average_v1",20260809,124,0.138460500784607,FALSE,"secondary_descriptive"
"mv07j_h0_composite_concordance_v1","gene","pam_stability_k_v1",20260805,124,1,TRUE,"secondary_descriptive"
"mv07j_h0_composite_concordance_v1","gene","pam_stability_k_v1",20260806,124,1,TRUE,"secondary_descriptive"
"mv07j_h0_composite_concordance_v1","gene","pam_stability_k_v1",20260807,124,1,TRUE,"secondary_descriptive"
"mv07j_h0_composite_concordance_v1","gene","pam_stability_k_v1",20260808,124,1,TRUE,"secondary_descriptive"
"mv07j_h0_composite_concordance_v1","gene","pam_stability_k_v1",20260809,124,1,TRUE,"secondary_descriptive"
"mv07j_h0_composite_concordance_v1","gene","hclust_average_v1",20260805,124,1,TRUE,"secondary_descriptive"
"mv07j_h0_composite_concordance_v1","gene","hclust_average_v1",20260806,124,1,TRUE,"secondary_descriptive"
"mv07j_h0_composite_concordance_v1","gene","hclust_average_v1",20260807,124,1,TRUE,"secondary_descriptive"
"mv07j_h0_composite_concordance_v1","gene","hclust_average_v1",20260808,124,1,TRUE,"secondary_descriptive"
"mv07j_h0_composite_concordance_v1","gene","hclust_average_v1",20260809,124,1,TRUE,"secondary_descriptive"
