"contract_id","population_id","label_axis","algorithm_id","metric_id","representations","minimum_seed_mean","maximum_seed_mean","minimum_seed_jackknife_se","maximum_seed_jackknife_se","ranking_authorized"
"mv07j_outcome_range_synopsis_v1","full124_descriptive","canonical_approach","hclust_average_v1","adjusted_rand_index",6,-0.0578946058973475,0.11801143334337,0,0.0421453358591645,FALSE
"mv07j_outcome_range_synopsis_v1","full124_descriptive","canonical_approach","hclust_average_v1","normalized_mutual_information_max",6,0.00629695709359334,0.0347478191812922,0,0.0122380445795839,FALSE
"mv07j_outcome_range_synopsis_v1","full124_descriptive","canonical_approach","pam_stability_k_v1","adjusted_rand_index",6,-0.0557206434005706,0.0474913826631562,0.000630120767007876,0.0137013381328781,FALSE
"mv07j_outcome_range_synopsis_v1","full124_descriptive","canonical_approach","pam_stability_k_v1","normalized_mutual_information_max",6,0.0241747128774106,0.0653822544372676,0.000365924661116797,0.00531704077455513,FALSE
"mv07j_outcome_range_synopsis_v1","full124_descriptive","study","hclust_average_v1","adjusted_rand_index",6,-0.00756237325574272,0.0602195175557168,0,0.0168292715589852,FALSE
"mv07j_outcome_range_synopsis_v1","full124_descriptive","study","hclust_average_v1","normalized_mutual_information_max",6,0.0135954748648535,0.140413256058742,0,0.0276621290019517,FALSE
"mv07j_outcome_range_synopsis_v1","full124_descriptive","study","pam_stability_k_v1","adjusted_rand_index",6,0.0551633525873119,0.0867890220008016,0.0013331939176669,0.00774975455192878,FALSE
"mv07j_outcome_range_synopsis_v1","full124_descriptive","study","pam_stability_k_v1","normalized_mutual_information_max",6,0.140310677610376,0.148367554170638,0.000983898365419984,0.00505817768535009,FALSE
"mv07j_outcome_range_synopsis_v1","full124_descriptive","tissue","hclust_average_v1","adjusted_rand_index",6,-0.00612642460731492,0.0457144452218839,0,0.0254122680079632,FALSE
"mv07j_outcome_range_synopsis_v1","full124_descriptive","tissue","hclust_average_v1","normalized_mutual_information_max",6,0.0145795730990713,0.109262218878589,0,0.0294821395445771,FALSE
"mv07j_outcome_range_synopsis_v1","full124_descriptive","tissue","pam_stability_k_v1","adjusted_rand_index",6,0.0475559790339262,0.0927253816495164,0.00127198318278682,0.00688374796719103,FALSE
"mv07j_outcome_range_synopsis_v1","full124_descriptive","tissue","pam_stability_k_v1","normalized_mutual_information_max",6,0.109579454928881,0.151356621237667,0.00119505309149419,0.00804803377040289,FALSE
"mv07j_outcome_range_synopsis_v1","primary90_context_restriction","study","hclust_average_v1","adjusted_rand_index",6,-0.0159966202516614,0.10371277331586,0,0.0184162973893604,FALSE
"mv07j_outcome_range_synopsis_v1","primary90_context_restriction","study","hclust_average_v1","normalized_mutual_information_max",6,0.0158725800200136,0.166496635217342,0,0.0271674238222213,FALSE
"mv07j_outcome_range_synopsis_v1","primary90_context_restriction","study","pam_stability_k_v1","adjusted_rand_index",6,0.0506470425640316,0.10438052851454,0.00110019494314704,0.00993648622588085,FALSE
"mv07j_outcome_range_synopsis_v1","primary90_context_restriction","study","pam_stability_k_v1","normalized_mutual_information_max",6,0.136201905757285,0.161034756670422,0.00135110520233874,0.00495055633503217,FALSE
"mv07j_outcome_range_synopsis_v1","primary90_context_restriction","tissue","hclust_average_v1","adjusted_rand_index",6,-0.0076978466336534,0.111724362969828,0,0.0273816508632492,FALSE
"mv07j_outcome_range_synopsis_v1","primary90_context_restriction","tissue","hclust_average_v1","normalized_mutual_information_max",6,0.0190858761028186,0.126052909262091,0,0.0284603986208263,FALSE
"mv07j_outcome_range_synopsis_v1","primary90_context_restriction","tissue","pam_stability_k_v1","adjusted_rand_index",6,0.083826627964728,0.110095411125427,0.00169823776757764,0.00743475099955417,FALSE
"mv07j_outcome_range_synopsis_v1","primary90_context_restriction","tissue","pam_stability_k_v1","normalized_mutual_information_max",6,0.118010356014377,0.14391560260286,0.000660463668952111,0.00701884620675067,FALSE
