"fixture","seed","null_family","invariant_error","deterministic","pair_distance_spearman","neighbor_jaccard","passed_invariant"
"correlated_gaussian",17001,"coordinate_permutation",0,TRUE,0.0275439113815196,0.0314159798534799,TRUE
"correlated_gaussian",17001,"covariance_gaussian",1.16573417585641e-15,TRUE,0.025972411228523,0.0228422619047619,TRUE
"correlated_gaussian",17001,"radial_density_cloud",4.44089209850063e-16,TRUE,0.025624592597895,0.0266540750915751,TRUE
"correlated_gaussian",17001,"within_row_axis_shuffle",0,TRUE,0.84521748589101,0.257665077977578,TRUE
"circle_in_3d",17001,"coordinate_permutation",0,TRUE,-0.0111484375123778,0.0253147893772894,TRUE
"circle_in_3d",17001,"covariance_gaussian",7.7715611723761e-16,TRUE,-0.00280280471957944,0.0276957417582418,TRUE
"circle_in_3d",17001,"radial_density_cloud",2.22044604925031e-16,TRUE,-0.00359427496766096,0.0288862179487179,TRUE
"circle_in_3d",17001,"within_row_axis_shuffle",0,TRUE,0.403497979748315,0.15826100982351,TRUE
"independent_gaussian",17001,"coordinate_permutation",0,TRUE,0.0377545395188182,0.0334077380952381,TRUE
"independent_gaussian",17001,"covariance_gaussian",9.99200722162641e-16,TRUE,-0.030605253491647,0.0289606227106227,TRUE
"independent_gaussian",17001,"radial_density_cloud",4.44089209850063e-16,TRUE,0.0270621640971122,0.0309523809523809,TRUE
"independent_gaussian",17001,"within_row_axis_shuffle",0,TRUE,0.64138606905374,0.204247315184815,TRUE
"correlated_gaussian",17002,"coordinate_permutation",0,TRUE,0.0808964484797907,0.0379063644688645,TRUE
"correlated_gaussian",17002,"covariance_gaussian",2.22044604925031e-16,TRUE,-0.00631844659157039,0.0380380036630037,TRUE
"correlated_gaussian",17002,"radial_density_cloud",4.44089209850063e-16,TRUE,0.00960897022191788,0.039915293040293,TRUE
"correlated_gaussian",17002,"within_row_axis_shuffle",0,TRUE,0.853326940767384,0.253543505106005,TRUE
"circle_in_3d",17002,"coordinate_permutation",0,TRUE,-0.00626209318922491,0.0294642857142857,TRUE
"circle_in_3d",17002,"covariance_gaussian",2.22044604925031e-16,TRUE,0.0123922241314228,0.0368074633699634,TRUE
"circle_in_3d",17002,"radial_density_cloud",2.22044604925031e-16,TRUE,-0.00832100108552411,0.0347641941391941,TRUE
"circle_in_3d",17002,"within_row_axis_shuffle",0,TRUE,0.406782958501362,0.151982912920413,TRUE
"independent_gaussian",17002,"coordinate_permutation",0,TRUE,0.0418043983840006,0.0346325549450549,TRUE
"independent_gaussian",17002,"covariance_gaussian",8.88178419700125e-16,TRUE,-0.0129744486731719,0.0391369047619048,TRUE
"independent_gaussian",17002,"radial_density_cloud",4.44089209850063e-16,TRUE,0.00242614805635056,0.0342433608058608,TRUE
"independent_gaussian",17002,"within_row_axis_shuffle",0,TRUE,0.620352953357743,0.207705662393162,TRUE
"correlated_gaussian",17003,"coordinate_permutation",0,TRUE,-0.000666228226076271,0.032606456043956,TRUE
"correlated_gaussian",17003,"covariance_gaussian",4.44089209850063e-16,TRUE,0.00703813615483808,0.0241071428571429,TRUE
"correlated_gaussian",17003,"radial_density_cloud",4.44089209850063e-16,TRUE,-0.0243507293325769,0.0381124084249084,TRUE
"correlated_gaussian",17003,"within_row_axis_shuffle",0,TRUE,0.840622933182296,0.286773122710623,TRUE
"circle_in_3d",17003,"coordinate_permutation",0,TRUE,0.00130660041129878,0.047985347985348,TRUE
"circle_in_3d",17003,"covariance_gaussian",2.22044604925031e-16,TRUE,-0.00750359081444755,0.0535828754578755,TRUE
"circle_in_3d",17003,"radial_density_cloud",2.22044604925031e-16,TRUE,-0.00021851239144847,0.0342261904761905,TRUE
"circle_in_3d",17003,"within_row_axis_shuffle",0,TRUE,0.437377999514337,0.1692495004995,TRUE
"independent_gaussian",17003,"coordinate_permutation",0,TRUE,-0.0777636294105765,0.0286458333333333,TRUE
"independent_gaussian",17003,"covariance_gaussian",1.55431223447522e-15,TRUE,-0.0150437135474845,0.0290178571428571,TRUE
"independent_gaussian",17003,"radial_density_cloud",4.44089209850063e-16,TRUE,-0.0179824709396127,0.0423534798534799,TRUE
"independent_gaussian",17003,"within_row_axis_shuffle",0,TRUE,0.640492490377355,0.243106372793873,TRUE
