"contract_id","job_id","seed","sample_id","view_id","point_count","finite_h0_intervals","finite_h1_intervals","h0_mst_maximum_absolute_error","h0_mst_tolerance","h0_mst_passed","diagram_sha256","ph_cache_key","elapsed_seconds","peak_process_tree_rss_bytes","output_bytes","output_sha256","outcome_label_state","biological_outcomes_computed"
"mv07g_ph_metric_v1","cell_ph__20260805__SRA701877_SRS3279688",20260805,"SRA701877_SRS3279688","cell_topology_v1",384,383,341,0,1.11958563108499e-06,TRUE,"8eaac40987fb9611f5665db3dc1a82094bf9da91d6e0f1dc74d3f0e72ba96693","mv07g_ph_record_v1:7b188c10135994583905bba1149a2859a3610e465a799e5b81921523bc55c3d4",1.59941005706787,114163712,28821,"5243d3a1db0f46e727f3b199fdc0873fbb5b2414ddabccdbe51800b7852312e4","closed",FALSE
"mv07g_ph_metric_v1","cell_ph__20260805__SRA701877_SRS3279695",20260805,"SRA701877_SRS3279695","cell_topology_v1",384,383,331,0,1.55654438943925e-06,TRUE,"053ebfed53eec4e1ad2381382fc8baa6efe5c59df67f1e619ecaae90d8f8a3f5","mv07g_ph_record_v1:c2f515b09a8289f47fd266b7f97faf7e6c379370d0541c6780135827112578c1",1.57253575325012,114016256,28471,"f0635e87a193ef8aee8de9608ca8a69d6cadefcd1e81bac66867925ef5584ed9","closed",FALSE
"mv07g_ph_metric_v1","cell_ph__20260805__SRA742961_SRS3565197",20260805,"SRA742961_SRS3565197","cell_topology_v1",384,383,362,0,9.15628951529048e-07,TRUE,"36e147e2bca2ded7476116cb944165c201db57c49e615572be7ef3830568ca30","mv07g_ph_record_v1:77c932f08b734ed2a2f243689e22eaa7e3f568337db28ab172911b6cb400f474",1.59548950195312,114122752,29556,"2e0df7514a975d74bc133e8c373659073e848e7fa2c59b63d61335bb2ecab2e0","closed",FALSE
"mv07g_ph_metric_v1","cell_ph__20260805__SRA742961_SRS3565205",20260805,"SRA742961_SRS3565205","cell_topology_v1",384,383,425,0,1.15715764475362e-06,TRUE,"61bd9fb1da250253f7d3d246ee32be3df56bca6c7d2212f84e0d5de41a75df02","mv07g_ph_record_v1:46baf3524e72b6f0507d3a643b73ffcadba0699f9fbf535c10da41c29261e5d5",1.58597660064697,114188288,31761,"b0f28a3091c16114526d6ddd2267562c7a4fc6f613a8d410a0cb063077adeb54","closed",FALSE
"mv07g_ph_metric_v1","cell_ph__20260805__SRA850958_SRS4386101",20260805,"SRA850958_SRS4386101","cell_topology_v1",384,383,442,0,4.22606293933432e-07,TRUE,"cbca98b6c2a828434ad9e69a2bff1da40db2e6757bdd672ab2b514f49ae35dd2","mv07g_ph_record_v1:a2bfae5fef50d8cc57c3c4d9a8776a5b9a2a81da39334b74e976c943af65794b",1.58383750915527,106610688,32356,"d3ef20272798dde6e13f38e3d1317564bb4e5173cb22a2983203cfddcc504781","closed",FALSE
"mv07g_ph_metric_v1","cell_ph__20260805__SRA850958_SRS4386113",20260805,"SRA850958_SRS4386113","cell_topology_v1",384,383,358,0,7.98703096594812e-07,TRUE,"7dcaf7e5b43ea189c97cd610b7b088a3294144cc6967092d83bcc81649df9d02","mv07g_ph_record_v1:a9b067e7ee247112d2fc613fbbc19c92b23873d5807b883de2cb8460116e6d2d",1.60764169692993,114343936,29416,"fa2e2d110ea144ce7668ac6fe90091bfab3a9db522a34870067a1f27054000ed","closed",FALSE
"mv07g_ph_metric_v1","cell_ph__20260806__SRA701877_SRS3279688",20260806,"SRA701877_SRS3279688","cell_topology_v1",384,383,372,0,1.09851421750919e-06,TRUE,"b8dc7a73a85af4b75b6a0563ae46c8ac29ea4e526d1d6cada15b4631e2a1b276","mv07g_ph_record_v1:c09f7fdfb8f92e80cbcb042c4136660e7df0fca3e8c7f52a2352013e5496dbf4",1.57814288139343,114204672,29906,"b9ac77a232afab6a451864f5deba96ece55e003ebfcba6e8293752dd52fb09d2","closed",FALSE
"mv07g_ph_metric_v1","cell_ph__20260806__SRA701877_SRS3279695",20260806,"SRA701877_SRS3279695","cell_topology_v1",384,383,319,0,1.35756860931845e-06,TRUE,"1e0d3f0f7eceab7117e6afd4e126541af76761db889723b558b0c8636a49f23d","mv07g_ph_record_v1:a2e6aed69fd0ee5453fd2578ef071f8e4af4ae958e2d6ba7a7d4d6af2474d895",1.60129046440125,98742272,28051,"96388e59bfd9e93e36c440fd582a26914074c22c14ff3e58901459a1558817dd","closed",FALSE
"mv07g_ph_metric_v1","cell_ph__20260806__SRA742961_SRS3565197",20260806,"SRA742961_SRS3565197","cell_topology_v1",384,383,393,0,9.50156448608533e-07,TRUE,"7fb05feb630df17fc8ae06c0f437f91f26ce19bb0cbcb3f3f9c753f8ef7b83af","mv07g_ph_record_v1:92a01c0a318d007b86ead79405ee13f83c953d6d993827d10cce6ea20d648009",1.58479523658752,114114560,30641,"5dce689856139d87ba43edcf845c7b9999abd470db70d0dbc3872494f3108b0e","closed",FALSE
"mv07g_ph_metric_v1","cell_ph__20260806__SRA742961_SRS3565205",20260806,"SRA742961_SRS3565205","cell_topology_v1",384,383,408,0,1.0196272624248e-06,TRUE,"39a9e746a7878c167af94d64646c9c1a3b5060c6fa9a3a68538a47a62b8231e1","mv07g_ph_record_v1:11830028167d5e48687a8da36cd57c0c9cec3cbae5f48c575fe3ef93b4eab303",1.57475090026855,98697216,31166,"2897078c5468b68d33998652a37eac82afb6120259dff68b7527ad97236b2f06","closed",FALSE
