"contract_id","file","bytes","sha256","contains_expression","contains_cell_barcode","contains_absolute_private_path","contains_donor_attribute","contains_outcome_label"
"mv08h_prefreeze_artifact_manifest_v1","MV08H_EXACT500_HCA_RAW_READ_PREFREEZE_2026-08-17.md","1976","f001a64a555c4840c148a8f492f3115e82c1cab167ac867ae4f6f4336f18c097","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_prefreeze_artifact_manifest_v1","mv08h-decision.csv","550","b8b8ab48b7eda6865a334297c906d0e89c8e0c7f89989362c751a12790a58daf","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_prefreeze_artifact_manifest_v1","mv08h-fastq-manifest.csv","31875","b315e097ef9b2f8cf1cad31cda08c4a440919641f9fff1674cf09e86928b2136","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_prefreeze_artifact_manifest_v1","mv08h-gate-status.csv","1516","b1a24bca5f8579828e996a626ae6960b8cecee36d1156c3ad48a68183609d0ba","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_prefreeze_artifact_manifest_v1","mv08h-independent-validation.csv","1712","64568ebcade158f43b3d638d0fe05a4ece286ad5da07582b68a9cee80bef9437","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_prefreeze_artifact_manifest_v1","mv08h-processing-contract.csv","1583","8414b090dd171942012d259a3f4fe4415a22a808519e8f0a6b68781f6cdf9724","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_prefreeze_artifact_manifest_v1","mv08h-reference-contract.csv","1463","cd27c197ca7087fbd5b2ce330667d144bda0436edf1f75ca5ca7ffee28269a95","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_prefreeze_artifact_manifest_v1","mv08h-repeat-validation.csv","2002","68bf1c5eb9223f1023285b16bec9f52a82a78391920ced04c29430a5d4b37059","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_prefreeze_artifact_manifest_v1","mv08h-resource-caps.csv","1217","eb5c9819665e2b2fc08a40aec868b632a51feee9e091d4020a403e45e7bece10","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_prefreeze_artifact_manifest_v1","mv08h-source-manifest.csv","1132","59108a21ad471ce1de99fbfd066269a8e49f9dfb696d1820888670e98b1a761e","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_prefreeze_artifact_manifest_v1","mv08h-unit-manifest.csv","1614","765788d28087a16ce0e6e73fb4a532285809b96f187a08ed09621c7ebe996ef2","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_prefreeze_artifact_manifest_v1","mv08h-validation-decision.csv","372","6ed526a91709b348430070a2710d2a7fab7b988a26c30e2bb4e7ab0e63cc1033","FALSE","FALSE","FALSE","FALSE","FALSE"
