"execution_head","catalog_order","stack_id","representation_id","panel_id","seed","homology_dimension","payload_set_sha256","pair_axis_sha256","contract_id","method_id","k","mean_silhouette","median_silhouette","minimum_silhouette","negative_silhouette_fraction","minimum_cluster_size","maximum_cluster_size","singleton_clusters","outcome_label_state","biological_outcomes_computed","selected_k"
"06c0dd6c129d8567651081156272cfe972e52c7d",21,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H0","b0faefce7b9d470a648def63419dcced211585a9913a8e4eebef600468770070","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",2,0.561231112577047,0.644059811102363,0.00882342465487683,0,31,93,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",25,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H0","c6aa31284b9db2cbbf23bbe0a28f34e65a53bd3d28b5b24837e85a252c4ba0af","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",2,0.558751823315482,0.644899170593525,-0.00432224774199407,0.00806451612903226,33,91,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",27,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H0","ef273225bdcc2309360aba2e47544859d245f98d681977ec5479c1f6c1500b28","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",2,0.540356278469557,0.624004343032382,-0.0567506302058629,0.00806451612903226,34,90,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",29,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260808,"H0","9f668f805e9b1f4df2e1dfea3804fb31679ff123f5f18aca345be571dce8b075","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",2,0.551003214064379,0.63389703344125,-0.0523320878339418,0.0161290322580645,32,92,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",31,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260809,"H0","1cfdf785c2307f9d6fa15f84917073af8d83082ac6b73b8de055e8afe5a159b4","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",2,0.569247759499144,0.642132615342225,-0.053619214922848,0.00806451612903226,31,93,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",23,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H1","6e22dee12143adfa9b991238e1193da1f44e0aa9361572211bbbdd44220d1296","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",3,0.302949496977908,0.33301581820882,-0.186170113039386,0.0403225806451613,32,53,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",26,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H1","467634383e4eb482e1960f24f0d7d8bbd387351166484d21b7d472f25a6ed469","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",3,0.311614302812271,0.360396078934845,-0.0730143774685791,0.0483870967741935,28,55,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",28,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H1","7d57146b972dcd0725e4b2a55236908beefc3f4659258095d93ca0d8d6b9e3db","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",3,0.321400988765598,0.338767511993961,-0.066411658938183,0.0161290322580645,27,63,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",30,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260808,"H1","fc1651904477bf3864fea8845ce879dd9c8fff424aa6f9208514cd2bf2874c55","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",3,0.32224087878549,0.35044788046863,-0.140830716103807,0.0161290322580645,31,62,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",32,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260809,"H1","f0e5f26e8056291af5a07172ead9f6a4fb69cbe0ef8cf4555d925088d24c16f2","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",3,0.328574804569775,0.352706450157461,-0.081703253218522,0.00806451612903226,27,65,0,"closed",FALSE,3
