contract_id,pair_id,component_id,view_id,homology_dimension,selection_stratum,persim_squared_distance,rust_squared_distance,r_squared_distance,absolute_error_vs_rust,absolute_error_vs_r,acceptance_tolerance,active_levels,event_segments,critical_points,exact,all_active_levels,level_cap_applied,passed,outcome_label_state,biological_outcomes_computed
mv06g_stage1_persim_oracle_v1,mv06g_training_pair_v1:0028500aa0a8ffaadfbc97589db2cf21da553a7351488b092125043ab92a14c3,cell_H0,cell_topology_v1,H0,minimum_depth,3370.8733674571508,3370.87336745715,3370.87336745716,9.0949470177292824e-13,9.0949470177292824e-12,3.3718733674571599e-07,383,1532,1915,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06g_stage1_persim_oracle_v1,mv06g_training_pair_v1:7aa29fd87027596019eb4e813a7b875d8920f887b3bc89638dd569734bdecdcb,cell_H0,cell_topology_v1,H0,median_depth,464.98225086906541,464.982250869066,464.982250869066,5.6843418860808015e-13,5.6843418860808015e-13,4.65982250869066e-08,383,1532,1915,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06g_stage1_persim_oracle_v1,mv06g_training_pair_v1:ffe88819bc1338f80d44c66ed19650ef2785c17892884ba6afd7332aeaeb5fd7,cell_H0,cell_topology_v1,H0,maximum_depth,4379.3509090329526,4379.35090903296,4379.35090903296,7.2759576141834259e-12,7.2759576141834259e-12,4.38035090903296e-07,383,1532,1915,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06g_stage1_persim_oracle_v1,mv06g_training_pair_v1:642b4c713f25653a271f2f022c06830b5fda6104dafc9c86bb1df9e9f29c2cce,cell_H1,cell_topology_v1,H1,minimum_depth,2.9173828456068498,2.91738284560685,2.91738284560685,0,0,3.9173828456068499e-10,26,3800,3826,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06g_stage1_persim_oracle_v1,mv06g_training_pair_v1:9d26d9af42725ff71ff662cc0a691a8aaa612cbd6a4fe775b3ae52ee04733aa1,cell_H1,cell_topology_v1,H1,median_depth,7.5336886995280032,7.53368869952804,7.53368869952804,3.6415315207705135e-14,3.6415315207705135e-14,8.5336886995280402e-10,77,24856,24933,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06g_stage1_persim_oracle_v1,mv06g_training_pair_v1:ecbb0f21a8d923a4dd389e4055dd43abe0276d2100c2e3a321636873e6c7bde9,cell_H1,cell_topology_v1,H1,maximum_depth,1.2913173826904689,1.29131738269052,1.29131738269052,5.1070259132757201e-14,5.1070259132757201e-14,2.2913173826905199e-10,112,66126,66238,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06g_stage1_persim_oracle_v1,mv06g_training_pair_v1:0004bcd3da3fb482aed997d12b3ca99c7156f3587e688b3b2d4c219168d9bb5f,gene_H0,gene_topology_v1,H0,minimum_depth,0.028090392272249264,0.0280903922722496,0.0280903922722496,3.3653635433950058e-16,3.3653635433950058e-16,1.02809039227225e-10,499,1996,2495,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06g_stage1_persim_oracle_v1,mv06g_training_pair_v1:7ecdde037275d7c667af7e31c50a6c87a26c96b1bd0fe03d2fd9e6b3e7a514fb,gene_H0,gene_topology_v1,H0,median_depth,2.0083648871186126,2.00836488711862,2.00836488711861,7.5495165674510645e-15,2.6645352591003757e-15,3.0083648871186125e-10,499,1996,2495,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06g_stage1_persim_oracle_v1,mv06g_training_pair_v1:fffc950deb3b78f6d3a01fd012b766a4133c101588e13061b4df1f7ba22ff48e,gene_H0,gene_topology_v1,H0,maximum_depth,0.15127533969426316,0.151275339694265,0.151275339694265,1.8318679906315083e-15,1.8318679906315083e-15,1.15127533969427e-10,499,1996,2495,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06g_stage1_persim_oracle_v1,mv06g_training_pair_v1:bd63ece46ce4170c0b4e8178e59ec0c64a2ff414997c7c64c24648e1c48fb962,gene_H1,gene_topology_v1,H1,minimum_depth,0.00021989343200649257,0.000219893432006502,0.000219893432006502,9.4325589006238886e-18,9.4325589006238886e-18,1.00021989343201e-10,19,2420,2439,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06g_stage1_persim_oracle_v1,mv06g_training_pair_v1:eea870aa17ee91374d716eb9480ce4377ec9967f7636899dbe5946af854c14e9,gene_H1,gene_topology_v1,H1,median_depth,0.0015308444059506079,0.00153084440595067,0.00153084440510803,6.2016364266170854e-17,8.425779605275574e-13,1.0015308444059506e-10,572,511989,512561,TRUE,TRUE,FALSE,TRUE,closed,FALSE
mv06g_stage1_persim_oracle_v1,mv06g_training_pair_v1:c1ab349177dc3186fa415a49abc6d724f4dc7e367cae1af68a798e8c7e6bc948,gene_H1,gene_topology_v1,H1,maximum_depth,0.00040459921812565925,0.00040459921812568,0.00040459921806507,2.076247160309741e-17,6.0589228946528184e-14,1.0004045992181257e-10,1856,4476700,4478556,TRUE,TRUE,FALSE,TRUE,closed,FALSE
