"contract_id","component_order","relative_path","entry_type","bytes","sha256_or_target"
"mv08h_cellranger8_reference_component_v1","1","fasta/genome.fa","regular_file","3151425857","78777b0886e8dfa5e14e4957fbbaa53736fcbaa5668d59e09b6b7945fca93d8c"
"mv08h_cellranger8_reference_component_v1","2","fasta/genome.fa.fai","regular_file","6406","57f6ed6f8b07437708fff09814489cfda4b976652afabe2c9b1d54463bcba0ad"
"mv08h_cellranger8_reference_component_v1","3","genes/genes.gtf.gz","regular_file","43876824","20d6073868523235f7a72c34fe6f7ed7a4670cdc145978ce5f2f16fba770a20a"
"mv08h_cellranger8_reference_component_v1","4","reference.json","regular_file","466","b2c8a1d4e01aa738997b3826be5233b57108110a6d450359a7a73f0fcc9f801f"
"mv08h_cellranger8_reference_component_v1","5","star/Genome","regular_file","3205401368","4f08b747dd2e651e1027de0d226ddbb3a32cde7bed1d0987cd857599c0f9abd7"
"mv08h_cellranger8_reference_component_v1","6","star/SA","regular_file","12701737405","b4a6d4cbb8044054e616677e2dc9ea4414d40ce8a1281ba269e5aa2f1620396a"
"mv08h_cellranger8_reference_component_v1","7","star/SAindex","regular_file","1565873619","8fa29933ed87b0b444b808b5f8a9aca9892106a7286184ac87a9485aa96dbb47"
"mv08h_cellranger8_reference_component_v1","8","star/chrLength.txt","regular_file","1200","b297c2398f93cd3d4c8aa1d4e10d6148c9550a1c2175139c29f9aab505422a17"
"mv08h_cellranger8_reference_component_v1","9","star/chrName.txt","regular_file","1923","bee61239ec4d9bf9f50d8280593b087d6878c43c47ddbef43e7a3969fc78846c"
"mv08h_cellranger8_reference_component_v1","10","star/chrNameLength.txt","regular_file","3123","26a124ac4de12e274957140f47cddc96c3b6cd4d228b16c8564439303d6d9e29"
"mv08h_cellranger8_reference_component_v1","11","star/chrStart.txt","regular_file","2129","09e1d0f13d91fd4540be6e87c62f05c57bb54e465ea67bc1e24d347f623ea121"
"mv08h_cellranger8_reference_component_v1","12","star/exonGeTrInfo.tab","regular_file","41161448","fc01b16ac106e50347bd59eb95e7ffcadb1c5de1b0bbfcaf40e9be61fa064930"
"mv08h_cellranger8_reference_component_v1","13","star/exonInfo.tab","regular_file","17045121","e57ddca56f33f9124ec77367e43ac44beaeef85df248e758cbfac7e4b195b05c"
"mv08h_cellranger8_reference_component_v1","14","star/geneInfo.tab","regular_file","1234778","735882ab6be00a1b91bc84f10a35baf3ab6b1f6f9dd3cce9f7c1ee646589a69e"
"mv08h_cellranger8_reference_component_v1","15","star/genomeParameters.txt","regular_file","1789","a8e72403ec2764c8e7b6488f58fce6f9970168b514f3d00c51c1d4b9e1e815c7"
"mv08h_cellranger8_reference_component_v1","16","star/sjdbInfo.txt","regular_file","9731745","14600f4ba6092081cf3a7895924d93fa9586a351539879adeac11a6789b1579c"
"mv08h_cellranger8_reference_component_v1","17","star/sjdbList.fromGTF.out.tab","regular_file","9542635","07031c631f8ad8f290773f7fee277fd7c7415bb68f6b875b79d9382664a70bd7"
"mv08h_cellranger8_reference_component_v1","18","star/sjdbList.out.tab","regular_file","7627908","e7f60c8236b7c0263ae9b59193ac9dbebc4bd5b9f0124f13bb149760b274b750"
"mv08h_cellranger8_reference_component_v1","19","star/transcriptInfo.tab","regular_file","11195774","ff8f6517277fda6f2e1c27316db2c7b5ed77793963b4e93354152684ca7c9ba2"
