"contract_id","run_role","unit_id","dataset_scope","seed","representation_id","panel_id","fit_cells","selected_cells","selected_cell_sha256","panel_genes","panel_sha256","values_finite","zero_variance_gene_count","minimum_gene_sd","correlation_chord_valid","matrix_sha256","distance_sha256","sct_seconds","sct_warning_count","sct_warning_sha256","residual_seconds","total_elapsed_seconds","persistence_computed","landscapes_computed","clustering_computed","fusion_computed","outcome_label_state","biological_outcomes_computed"
"mv08o_residual_source_sentinel_v1","primary","SRA728025_SRS3454423","internal124",20260805,"sct_data_all_qc_fit_selected384","exact500",421,384,"9eab1d1510faed224e8ce99f7ca739fffaa85944dca418eea0324a216fd77978",500,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",TRUE,0,0.193715560598616,TRUE,"30ae18208942fb9d5505fb5e577fde17016614a75bc2c02af97c81b716c84bba","e649eceb050630386f3211503bd6716af01661c171ea44e6d4af9ad739ba0d20",99.133,2202,"1f0ebe7383f6998116af92c3ccb0b6f66400c79cd62cc552284ecbfe1d89ea16",0.659000000000006,100.026,FALSE,FALSE,FALSE,FALSE,"closed",FALSE
"mv08o_residual_source_sentinel_v1","primary","SRA728025_SRS3454423","internal124",20260805,"sct_pearson_residual_all_qc_fit_selected384","exact500",421,384,"9eab1d1510faed224e8ce99f7ca739fffaa85944dca418eea0324a216fd77978",500,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",TRUE,0,0.631209334363294,TRUE,"7aedf3a90aa12b364b941092daf7f98e957d695ba9225bb390dfedc1ad5fff70","a8c45652be48b65401f70bb7d7d2b560b6e09d85ff82c2c7c2f8766a48ce5c02",99.133,2202,"1f0ebe7383f6998116af92c3ccb0b6f66400c79cd62cc552284ecbfe1d89ea16",0.659000000000006,100.179,FALSE,FALSE,FALSE,FALSE,"closed",FALSE
"mv08o_residual_source_sentinel_v1","primary","SRA728025_SRS3454423","internal124",20260806,"sct_data_all_qc_fit_selected384","exact500",421,384,"1e433ed6cd7234f1a0d4ffffa06ae697cfd584b260fd22dae4e3eb3410985f53",500,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",TRUE,0,0.201595061058977,TRUE,"a9d2e5dfa945977b14b4f2e87d2620ee5a820f36ee1dadbf092449c87eafc7e7","a5f87b4bfc4493085d44f339efa2e3946939a50f7b2f781c1e3b826f30bfbccd",99.133,2202,"1f0ebe7383f6998116af92c3ccb0b6f66400c79cd62cc552284ecbfe1d89ea16",0.659000000000006,100.326,FALSE,FALSE,FALSE,FALSE,"closed",FALSE
"mv08o_residual_source_sentinel_v1","primary","SRA728025_SRS3454423","internal124",20260806,"sct_pearson_residual_all_qc_fit_selected384","exact500",421,384,"1e433ed6cd7234f1a0d4ffffa06ae697cfd584b260fd22dae4e3eb3410985f53",500,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",TRUE,0,0.628899613572888,TRUE,"3ab28aa910ed6a4dbf20d44a77f58d7070e6e9bf49948f1bc28fd203152416bb","7291e6063af77dc39d651e179dfcb17c72cb749af3182fbf08ae3026111287fd",99.133,2202,"1f0ebe7383f6998116af92c3ccb0b6f66400c79cd62cc552284ecbfe1d89ea16",0.659000000000006,100.479,FALSE,FALSE,FALSE,FALSE,"closed",FALSE
"mv08o_residual_source_sentinel_v1","primary","SRA728025_SRS3454423","internal124",20260807,"sct_data_all_qc_fit_selected384","exact500",421,384,"94753158b312a7ff8adde59375e5966b0ef1af07b456187ecf43a9a863fdf332",500,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",TRUE,0,0.193715560598616,TRUE,"17d2d3490febcb1364e7f2443c69dd7520ef3d9dfeaee28922db3700a3582c9d","6f76e5dcfaea7435ef405fffa59e7ce85391d02483df2f2f54cc3ccf9ad6b25c",99.133,2202,"1f0ebe7383f6998116af92c3ccb0b6f66400c79cd62cc552284ecbfe1d89ea16",0.659000000000006,100.631,FALSE,FALSE,FALSE,FALSE,"closed",FALSE
"mv08o_residual_source_sentinel_v1","primary","SRA728025_SRS3454423","internal124",20260807,"sct_pearson_residual_all_qc_fit_selected384","exact500",421,384,"94753158b312a7ff8adde59375e5966b0ef1af07b456187ecf43a9a863fdf332",500,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",TRUE,0,0.621725823488993,TRUE,"b15a611587b2f87dedec2969a57b983f075847861bd29137bb7d47c23b593524","acac54febb830a016f0d983dabc604b4a70f7d5cd0b35739e09aa02b650c5a19",99.133,2202,"1f0ebe7383f6998116af92c3ccb0b6f66400c79cd62cc552284ecbfe1d89ea16",0.659000000000006,100.764,FALSE,FALSE,FALSE,FALSE,"closed",FALSE
"mv08o_residual_source_sentinel_v1","primary","SRA728025_SRS3454423","internal124",20260808,"sct_data_all_qc_fit_selected384","exact500",421,384,"c71c515060ca225cccc793be06fc2501047e5d374f171c7ce027789439792acb",500,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",TRUE,0,0.196393827301324,TRUE,"626bb92d59204f5477abe32cd3de7501f2d14123d50ddcc2d1683b3f8c86f452","8c94537212253be67cab8a429424facd12131da88240fa67568c45b6e193e720",99.133,2202,"1f0ebe7383f6998116af92c3ccb0b6f66400c79cd62cc552284ecbfe1d89ea16",0.659000000000006,100.892,FALSE,FALSE,FALSE,FALSE,"closed",FALSE
"mv08o_residual_source_sentinel_v1","primary","SRA728025_SRS3454423","internal124",20260808,"sct_pearson_residual_all_qc_fit_selected384","exact500",421,384,"c71c515060ca225cccc793be06fc2501047e5d374f171c7ce027789439792acb",500,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",TRUE,0,0.627213643677584,TRUE,"b4ddc7e5bd07ea46ba40fb1545ee43eb48b045b69c1c54d0e420db7723d357f3","837dd7a4060f3c75edab853f7a5d7f35bb605c9edd412e06215b56869707fbf1",99.133,2202,"1f0ebe7383f6998116af92c3ccb0b6f66400c79cd62cc552284ecbfe1d89ea16",0.659000000000006,101.023,FALSE,FALSE,FALSE,FALSE,"closed",FALSE
"mv08o_residual_source_sentinel_v1","primary","SRA728025_SRS3454423","internal124",20260809,"sct_data_all_qc_fit_selected384","exact500",421,384,"a50c9efa44c6041f0f6776e048356c3bea0e2ff207f91a6b0b960cc2d1e59cf7",500,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",TRUE,0,0.190982637583704,TRUE,"96087c5edf651fd2664f3942b1a101c2f97441ac97a96b2959b85419e425e72f","fe575ad89a5b6ba9b0475ece25006af229365e60415d12aa6705af71e4c582cc",99.133,2202,"1f0ebe7383f6998116af92c3ccb0b6f66400c79cd62cc552284ecbfe1d89ea16",0.659000000000006,101.151,FALSE,FALSE,FALSE,FALSE,"closed",FALSE
"mv08o_residual_source_sentinel_v1","primary","SRA728025_SRS3454423","internal124",20260809,"sct_pearson_residual_all_qc_fit_selected384","exact500",421,384,"a50c9efa44c6041f0f6776e048356c3bea0e2ff207f91a6b0b960cc2d1e59cf7",500,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",TRUE,0,0.629966113996149,TRUE,"6a9d3f0b7c69d965a91f4ce3243a3733eb93d0eef7f40053b0a78403a5a9c7e2","124fb2db88424beed68ac36f4caaaa0cc1c39f165253dfdad5fe85b77d1e5b4b",99.133,2202,"1f0ebe7383f6998116af92c3ccb0b6f66400c79cd62cc552284ecbfe1d89ea16",0.659000000000006,101.296,FALSE,FALSE,FALSE,FALSE,"closed",FALSE
"mv08o_residual_source_sentinel_v1","primary","SRA728025_SRS3454422","internal124",20260805,"sct_data_all_qc_fit_selected384","exact500",484,384,"80798785260f370521ed0a043a30920fe41c65cdb786900386e3763caaa78b29",500,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",TRUE,0,0.113519822707235,TRUE,"495d26cd94fc8a8b902bd4176ebfe1aea7a2bd5975cb830cc130cba4fdb77fdd","3599684c091d463f0e275aa212b88437671491f3fe18740cbfaded1286a6e585",104.174,1978,"1f0ebe7383f6998116af92c3ccb0b6f66400c79cd62cc552284ecbfe1d89ea16",0.305000000000007,104.716,FALSE,FALSE,FALSE,FALSE,"closed",FALSE
"mv08o_residual_source_sentinel_v1","primary","SRA728025_SRS3454422","internal124",20260805,"sct_pearson_residual_all_qc_fit_selected384","exact500",484,384,"80798785260f370521ed0a043a30920fe41c65cdb786900386e3763caaa78b29",500,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",TRUE,0,0.590835027948944,TRUE,"78b0ea3688949f5be13587930385639405195e0c1ba01139a560e86c3a7c6dfa","4de541128cea17e3a1e6008d2d910655947611edf6cab219e98b2c900fb0d55a",104.174,1978,"1f0ebe7383f6998116af92c3ccb0b6f66400c79cd62cc552284ecbfe1d89ea16",0.305000000000007,104.844,FALSE,FALSE,FALSE,FALSE,"closed",FALSE
