"contract_id","role","bytes","sha256"
"mv08zq_input_binding_v1","mv08zp_manifest",824,"f8943cd9ce9bc6788da863ca5aaf934778298eb09ca1a3a750cc79521ac10a84"
"mv08zq_input_binding_v1","mv08zr_manifest",536,"b164dcb454887669de90c81081fa86911f57b2f3c575f64362beb3d6ff6a508a"
"mv08zq_input_binding_v1","mv08zs_manifest",436,"8b1feb12b4d8b94f990dc04b8b69d91538e20dd467f83d9626dd77f36701c98d"
"mv08zq_input_binding_v1","preserved_failed_oracle_manifest",394,"2e483649dcdd56027418154a1d4f9fd0d651f3f5e033153a8b59f02ede020488"
"mv08zq_input_binding_v1","private_diagnostic_manifest",210,"6999f903b9333acb072b2ecf584654de1b16e1eb0348671a396427cba81b8cd4"
"mv08zq_input_binding_v1","fresh_oracle_a_manifest",484,"4f761b447c670b55189c8e63cfdda5f943a459832d24a3e4419401c3d7b0b0a7"
"mv08zq_input_binding_v1","fresh_oracle_b_manifest",484,"8f9f3d4fe4b08fd0f689a287f726fb3bf7fef2109730261e3c5ecf8369b4b73c"
"mv08zq_input_binding_v1","rust_acceptance_manifest",392,"2e0e1117ca4d2784dd9161b498e77bdb565bb0e2a27a21a9947a2aeca93b5fbd"
"mv08zq_input_binding_v1","engine_v2_candidate",441512,"dd21610230f800aa8a1c2f69667c85af56a51dbadf1392862a5603f95f7d2476"
"mv08zq_input_binding_v1","corrected_rust_source",21188,"3e29dcb193a0ace2a775dd8eef19b6c83663868c4cd709e44136c3da9a04d89e"
"mv08zq_input_binding_v1","engine_aware_oracle_harness",17804,"e04d3f20143babee8b09c97d2e2f3c77514ce2d6aedac395bd420f59ce8b77d0"
