"contract_id","sample_id","selection_boundary","seed","selected_cells","sentinel_basis","outcome_label_state","biological_outcomes_computed"
"mv07g_sentinel_axis_v1","SRA701877_SRS3279688","minimum_post_qc_cells",20260805,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA701877_SRS3279695","maximum_post_qc_cells",20260805,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA742961_SRS3565197","maximum_post_qc_cells",20260805,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA742961_SRS3565205","minimum_post_qc_cells",20260805,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA850958_SRS4386101","maximum_post_qc_cells",20260805,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA850958_SRS4386113","minimum_post_qc_cells",20260805,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA701877_SRS3279688","minimum_post_qc_cells",20260806,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA701877_SRS3279695","maximum_post_qc_cells",20260806,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA742961_SRS3565197","maximum_post_qc_cells",20260806,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA742961_SRS3565205","minimum_post_qc_cells",20260806,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA850958_SRS4386101","maximum_post_qc_cells",20260806,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA850958_SRS4386113","minimum_post_qc_cells",20260806,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA701877_SRS3279688","minimum_post_qc_cells",20260807,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA701877_SRS3279695","maximum_post_qc_cells",20260807,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA742961_SRS3565197","maximum_post_qc_cells",20260807,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA742961_SRS3565205","minimum_post_qc_cells",20260807,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA850958_SRS4386101","maximum_post_qc_cells",20260807,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA850958_SRS4386113","minimum_post_qc_cells",20260807,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA701877_SRS3279688","minimum_post_qc_cells",20260808,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA701877_SRS3279695","maximum_post_qc_cells",20260808,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA742961_SRS3565197","maximum_post_qc_cells",20260808,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA742961_SRS3565205","minimum_post_qc_cells",20260808,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA850958_SRS4386101","maximum_post_qc_cells",20260808,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA850958_SRS4386113","minimum_post_qc_cells",20260808,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA701877_SRS3279688","minimum_post_qc_cells",20260809,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA701877_SRS3279695","maximum_post_qc_cells",20260809,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA742961_SRS3565197","maximum_post_qc_cells",20260809,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA742961_SRS3565205","minimum_post_qc_cells",20260809,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA850958_SRS4386101","maximum_post_qc_cells",20260809,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
"mv07g_sentinel_axis_v1","SRA850958_SRS4386113","minimum_post_qc_cells",20260809,384,"frozen_mv07d_tissue_depth_extremes_identity_only","closed",FALSE
