"contract_id","homology_dimension","method_id","method_role","k","seeds","samples_per_seed","mean_adjusted_rand","median_adjusted_rand","minimum_adjusted_rand","maximum_adjusted_rand","exact_agreement_seeds","label_state","outcome_state","comparison_semantics"
"mv11g_cross_view_summary_v1","H0","pam_dissimilarity_v1","primary",2,5,124,0.0570439299229114,0.0456243311652744,0.0198111970549176,0.0987417290400899,0,"closed","closed","symmetric_agreement_not_view_ranking"
"mv11g_cross_view_summary_v1","H0","pam_dissimilarity_v1","primary",3,5,124,0.0610747699919286,0.0638577386580041,0.0397356940651626,0.0822426681394213,0,"closed","closed","symmetric_agreement_not_view_ranking"
"mv11g_cross_view_summary_v1","H0","hclust_average_v1","sensitivity",2,5,124,0.0122285809173786,-0.0116631153975552,-0.032442763284175,0.11975914381678,0,"closed","closed","symmetric_agreement_not_view_ranking"
"mv11g_cross_view_summary_v1","H0","hclust_average_v1","sensitivity",3,5,124,0.00824656940457679,-0.0161896154784914,-0.0410441301394102,0.130218892247006,0,"closed","closed","symmetric_agreement_not_view_ranking"
"mv11g_cross_view_summary_v1","H0","hclust_complete_v1","sensitivity",2,5,124,0.0279355067171804,0.0295529143696414,0.0115726973087719,0.0499929261917817,0,"closed","closed","symmetric_agreement_not_view_ranking"
"mv11g_cross_view_summary_v1","H0","hclust_complete_v1","sensitivity",3,5,124,0.0323173255925307,0.0218181782931754,0.0204138908292775,0.0506572558378664,0,"closed","closed","symmetric_agreement_not_view_ranking"
"mv11g_cross_view_summary_v1","H0","hclust_single_diagnostic_v1","diagnostic_chaining",2,5,124,-0.0126806112191636,-0.0131560725661263,-0.0131560725661263,-0.0107787658313126,0,"closed","closed","symmetric_agreement_not_view_ranking"
"mv11g_cross_view_summary_v1","H0","hclust_single_diagnostic_v1","diagnostic_chaining",3,5,124,0.0319351811477205,-0.0230579106482823,-0.0354404362571324,0.264290073940582,0,"closed","closed","symmetric_agreement_not_view_ranking"
"mv11g_cross_view_summary_v1","H0","diana_dissimilarity_v1","sensitivity",2,5,124,0.0619654207420785,0.0692476969653149,0.0366392338529296,0.0886615600012599,0,"closed","closed","symmetric_agreement_not_view_ranking"
"mv11g_cross_view_summary_v1","H0","diana_dissimilarity_v1","sensitivity",3,5,124,0.0864773195795656,0.0982930677647367,0.0489252338676872,0.114082995232429,0,"closed","closed","symmetric_agreement_not_view_ranking"
"mv11g_cross_view_summary_v1","H1","pam_dissimilarity_v1","primary",2,5,124,0.320625030208407,0.313171289509298,0.155923924513728,0.411555620843725,0,"closed","closed","symmetric_agreement_not_view_ranking"
"mv11g_cross_view_summary_v1","H1","pam_dissimilarity_v1","primary",3,5,124,0.197420258172684,0.205776840326292,0.169974008535898,0.219435653449549,0,"closed","closed","symmetric_agreement_not_view_ranking"
"mv11g_cross_view_summary_v1","H1","hclust_average_v1","sensitivity",2,5,124,-0.0273067729302201,-0.0239468015743791,-0.0495097946648217,-0.0134115674769479,0,"closed","closed","symmetric_agreement_not_view_ranking"
"mv11g_cross_view_summary_v1","H1","hclust_average_v1","sensitivity",3,5,124,-0.000735176716871129,-0.0125541112790045,-0.0309672868621351,0.0442584688765604,0,"closed","closed","symmetric_agreement_not_view_ranking"
"mv11g_cross_view_summary_v1","H1","hclust_complete_v1","sensitivity",2,5,124,-0.0151642064109206,-0.00874800920191114,-0.0427190155288602,-0.00321634226984554,0,"closed","closed","symmetric_agreement_not_view_ranking"
"mv11g_cross_view_summary_v1","H1","hclust_complete_v1","sensitivity",3,5,124,-0.00896492788428421,-0.0259905302377854,-0.0762273086444609,0.124704816777045,0,"closed","closed","symmetric_agreement_not_view_ranking"
"mv11g_cross_view_summary_v1","H1","hclust_single_diagnostic_v1","diagnostic_chaining",2,5,124,-0.00813008130080934,-0.00813008130080934,-0.00813008130080934,-0.00813008130080934,0,"closed","closed","symmetric_agreement_not_view_ranking"
"mv11g_cross_view_summary_v1","H1","hclust_single_diagnostic_v1","diagnostic_chaining",3,5,124,0.0842457674131442,-0.0163248716367714,-0.0195255543806065,0.489729006356642,0,"closed","closed","symmetric_agreement_not_view_ranking"
"mv11g_cross_view_summary_v1","H1","diana_dissimilarity_v1","sensitivity",2,5,124,-0.00841989028806221,-0.00564923556984719,-0.0158608930410998,-0.00284617925846869,0,"closed","closed","symmetric_agreement_not_view_ranking"
"mv11g_cross_view_summary_v1","H1","diana_dissimilarity_v1","sensitivity",3,5,124,0.0440899900714054,0.0207279744948325,-0.049159649629286,0.143716585440806,0,"closed","closed","symmetric_agreement_not_view_ranking"
