"contract_id","group_order","dataset_scope","representation_id","panel_id","seed","view_kind","homology_dimension","units","chunks","pairs","minimum_squared_distance","maximum_squared_distance","minimum_active_levels","maximum_active_levels","aggregate_child_seconds","peak_process_tree_rss_bytes","exact","all_active_levels","grid_used","level_cap_used"
"mv08zu_group_summary_v1",1,"internal124","sct_data_all_qc_fit_selected384","exact500",20260805,"gene_topology_v1","H0",124,31,7626,0.00665306214689658,25.9688196816702,499,499,184.44807934761,107626496,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",2,"internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"gene_topology_v1","H0",124,31,7626,0.0105657347239135,26.3035433999687,499,499,179.699215650558,106835968,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",3,"internal124","sct_data_all_qc_fit_selected384","exact500",20260806,"gene_topology_v1","H0",124,31,7626,0.00815105526205221,25.9731077311244,499,499,181.783093214035,107446272,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",4,"internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"gene_topology_v1","H0",124,31,7626,0.00822298493006937,26.8277394316759,499,499,177.614768028259,106598400,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",5,"internal124","sct_data_all_qc_fit_selected384","exact500",20260807,"gene_topology_v1","H0",124,31,7626,0.00851430253320894,27.46684762872,499,499,176.274435997009,107614208,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",6,"internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"gene_topology_v1","H0",124,31,7626,0.00642373934500231,28.0787646806573,499,499,175.598266124725,106385408,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",7,"internal124","sct_data_all_qc_fit_selected384","exact500",20260808,"gene_topology_v1","H0",124,31,7626,0.00742627944017714,26.3662377252851,499,499,179.066420316696,107036672,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",8,"internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260808,"gene_topology_v1","H0",124,31,7626,0.0109442103288991,27.4976637492671,499,499,176.916749238968,107188224,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",9,"internal124","sct_data_all_qc_fit_selected384","exact500",20260809,"gene_topology_v1","H0",124,31,7626,0.00556240547683609,25.706557925306,499,499,173.053291797638,107700224,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",10,"internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260809,"gene_topology_v1","H0",124,31,7626,0.00649437726336802,26.9177237992326,499,499,173.370968341827,106688512,TRUE,TRUE,FALSE,FALSE
"mv08zu_group_summary_v1",11,"internal124","sct_data_all_qc_fit_selected384","exact500",20260805,"gene_topology_v1","H1",124,31,7626,4.22563463017936e-05,0.00470958726726703,17,1923,4372.43923830986,4294967296,TRUE,TRUE,FALSE,FALSE
