"contract_id","production_order","group_order","chunk_order","pair_count","distances_bytes","distances_sha256","status_bytes","status_sha256","independently_reconstructed"
"mv08zu_private_chunk_rehash_v1",1,1,1,250,238816,"62c7ef8cb113fe0a22063db6507e9bc722ab87e00107bd60263570b070ced646",875,"a31b59d0d8696cb3699b5eb9a1ff64fe67bac6d6146c5f0fea19160d126df249",TRUE
"mv08zu_private_chunk_rehash_v1",2,1,2,250,239111,"495eb607d235ae6ab13eb6441525f4f8bf5d581ec935a2169834d78886e9d304",877,"e2bbc2c4fbbb0d010bb26885b4934fbbb695f3a0eec24f3a32637afcf66fa10a",TRUE
"mv08zu_private_chunk_rehash_v1",3,1,3,250,239213,"d9fc0c2c28585922d064beccb7a5791e4f07d50604e994f56d76b8aa2b12025a",876,"f869c611869e1dc8efd112dd401ae1e3895cc62f4c8144e0f9326f9f112d6251",TRUE
"mv08zu_private_chunk_rehash_v1",4,1,4,250,239133,"cfdad3925d105c09383d7ff615efaec5308ab898206774a88ef911e550db83c8",878,"fcd6af9d474989f408805f9794d285c7185627226d66019765b92b25c4c411d6",TRUE
"mv08zu_private_chunk_rehash_v1",5,1,5,250,239375,"00fbd8cf39f8097302adc6d996c4cb4ec053b1a7db762ba211f33379f9d1fd05",879,"c6a6176da2a58e3fa0feec805b7b29f8630a5c2032c02e9474bddbdd595bc068",TRUE
"mv08zu_private_chunk_rehash_v1",6,1,6,250,239224,"8b001bf223aa82e2fb5ad30ba4e7bcc4444a438a767f02dada4d82482f6cda28",879,"d73e2cab1779da7ef70d1c8229cd13e41459d5f68d646e2cf106062be0fbf1df",TRUE
"mv08zu_private_chunk_rehash_v1",7,1,7,250,239264,"59b8b7713b1b9369b5915af248266025b91d6960e96e6e29a16577c884ad049e",879,"f39662cec314068e50bb962e417dc6721c30347e9483261d2e1df09b3cc4d3c7",TRUE
"mv08zu_private_chunk_rehash_v1",8,1,8,250,239350,"743402a74a9b85b4142d03bac7298283fb0b26d54bd58447560c3d3612c26f4d",879,"8bcd80edc73745c5315c397bd22ee3096ef1d0693616e32a4b7f0738dba244f1",TRUE
"mv08zu_private_chunk_rehash_v1",9,1,9,250,239313,"5ce98b5cf16ac1a479180c3b434b9f95069c749cdcd523cda9ed8ab5addbbb87",879,"333aba6481541c9d8fde7d7ea4409c83898db4f79ad42061fa1b22736147e852",TRUE
"mv08zu_private_chunk_rehash_v1",10,1,10,250,239658,"3e71342260cea0fffcd332ac068095cc16a182a7b8078830948db2c8285b69e9",880,"827728623e69128e13131771c4d113e59e57a654ea2a53c0a602644275182ede",TRUE
"mv08zu_private_chunk_rehash_v1",11,1,11,250,239454,"dba188442edd715cc451a55b4ed489e36e8f7ce09bf1aee906d0135e51c37e73",880,"a8ee89b8649ca0932572671cee3859da6a04fc69339b45db241149b2eefc00d8",TRUE
"mv08zu_private_chunk_rehash_v1",12,1,12,250,239645,"020bce67d917835685f3cbb1ce5ddc64a58e013a1eb41cb2080b269732e730a0",880,"457ea78da89beddc383a39eb553ceabbe36ad1b4c865306282a22c3b577a72bb",TRUE
"mv08zu_private_chunk_rehash_v1",13,1,13,250,239702,"92ae9dada8f64367f7a10ce2553c86757d0ae5e19edd5980f1d11ffa0917f387",880,"f28b57db544069aa032a2c946ff1b5f35a4f5c19ab1a5615ddff9055a3633d1a",TRUE
"mv08zu_private_chunk_rehash_v1",14,1,14,250,239662,"ce8fc0daf8313f781a2f42da4416e889711969bdd279f5ebd8b80c3377592a04",880,"0797d1f0017e2ad71d7fe271e691b1111214d11150e65e89e7d26006d64ef726",TRUE
"mv08zu_private_chunk_rehash_v1",15,1,15,250,239596,"46d066a89d205c1db0651840fb6820cf518f71e3d98cf9d1b76f93e41eb7ca5f",880,"23f44b3be378fe00f274bbda24ed6648b2839495c3b91fe072ec7d6528b11aeb",TRUE
"mv08zu_private_chunk_rehash_v1",16,1,16,250,239636,"7c2281eecd2cb3bb8f4c5323944d1ef318d31c9dbed6aa5349731109a8bb8fe8",880,"28887397d9b73799285649894b03a7f111e8c573542f115e10b80935a3b888d2",TRUE
