"contract_id","file","bytes","sha256","contains_expression","contains_cell_barcode","contains_local_absolute_path"
"mv08d_hca_public_artifact_manifest_v1","mv08d-decision.csv",710,"e420cc59a7b46aa2e2b58095990740ea2f2f7f7371cb9961c6ab2c446ea0f6e3",FALSE,FALSE,FALSE
"mv08d_hca_public_artifact_manifest_v1","mv08d-file-verification.csv",2821,"028ea67efeb7a8e0325922ff52eed6754f0ea4d1ca28d46c6df1aa37ef04dacd",FALSE,FALSE,FALSE
"mv08d_hca_public_artifact_manifest_v1","mv08d-h5-structure.csv",2864,"b8360c115af5c1df95fd9f795e543813dbc76ee3209a31f0b8a5517105da8a79",FALSE,FALSE,FALSE
"mv08d_hca_public_artifact_manifest_v1","mv08d-missing-panel-summary.csv",5950,"5b004ef57bdff5de015edfa3dc317127105fd63ae0566e0da2254b7cb3b3e057",FALSE,FALSE,FALSE
"mv08d_hca_public_artifact_manifest_v1","mv08d-panel-mapping.csv",1012556,"2575e9a106eb01723e4851ef5a72f6b1bc99b71d528a03a8c7c08c40fa9ce40a",FALSE,FALSE,FALSE
"mv08d_hca_public_artifact_manifest_v1","mv08d-qc-depth.csv",2956,"b03ce24208395d2dee2b06711f8e2635852c5371b2c2c92720d1697f104754a8",FALSE,FALSE,FALSE
"mv08d_hca_public_artifact_manifest_v1","mv08d-qc-summary.csv",457,"cb1ec934156feaac99017bc6bb5d55b629226839d990001232b2be876777f454",FALSE,FALSE,FALSE
"mv08d_hca_public_artifact_manifest_v1","mv08d-recovery-options.csv",1346,"21c151336b7df5f62f5b2537755e6ed22fe69f7e606d734cd303a2dcfba57a0e",FALSE,FALSE,FALSE
"mv08d_hca_public_artifact_manifest_v1","mv08d-reference-transform-validation.csv",2686,"5fc20f3c9213f436b69d691ee4ce496d7e6c0cec6a113ce3d6247fcc9203f00b",FALSE,FALSE,FALSE
"mv08d_hca_public_artifact_manifest_v1","mv08d-repeat-validation.csv",1581,"e63d99babffb4aa15b7c190b9bb8b6da97e77d63489d81724af47afc8bcb597e",FALSE,FALSE,FALSE
"mv08d_hca_public_artifact_manifest_v1","mv08d-software.csv",295,"72188975929b92071081cbfe91970b432e4991ee935fa98f7ffd5e28c5eb3fae",FALSE,FALSE,FALSE
"mv08d_hca_public_artifact_manifest_v1","mv08d-structural-qc-gate.csv",424,"0e33d028866837d416783259506f1feb072d8019bd06efa67b00264592abbe5f",FALSE,FALSE,FALSE
