"contract_id","group_order","group_id","homology_dimension","pair_ordinal","R_squared_distance","Rust_squared_distance","stored_squared_distance","tolerance","passed"
"mv14_exact_R_oracle_v1",1,"external8__common475__20260805__H0","H0",1,2074.37677023274,2074.37677023274,2074.37677023274,2.07437677023274e-06,TRUE
"mv14_exact_R_oracle_v1",2,"external8__common475__20260805__H1","H1",1,18.3862328244387,18.3862328244387,18.3862328244387,1.83862328244387e-08,TRUE
"mv14_exact_R_oracle_v1",3,"external8__exact500__20260805__H0","H0",1,2018.29642370548,2018.29642370548,2018.29642370548,2.01829642370548e-06,TRUE
"mv14_exact_R_oracle_v1",4,"external8__exact500__20260805__H1","H1",1,17.5439215239109,17.5439215239109,17.5439215239109,1.75439215239109e-08,TRUE
"mv14_exact_R_oracle_v1",5,"internal124__exact500__20260805__H0","H0",1,82.2372879670051,82.2372879670051,82.2372879670051,8.22372879670051e-08,TRUE
"mv14_exact_R_oracle_v1",6,"internal124__exact500__20260805__H1","H1",1,0.403954277902991,0.403954277902992,0.403954277902992,1e-09,TRUE
"mv14_exact_R_oracle_v1",7,"internal124__exact500__20260806__H0","H0",1,95.4694531810445,95.4694531810445,95.4694531810445,9.54694531810445e-08,TRUE
"mv14_exact_R_oracle_v1",8,"internal124__exact500__20260806__H1","H1",1,0.409362299580136,0.409362299580137,0.409362299580137,1e-09,TRUE
"mv14_exact_R_oracle_v1",9,"internal124__exact500__20260807__H0","H0",1,76.2235963561528,76.2235963561528,76.2235963561528,7.62235963561528e-08,TRUE
"mv14_exact_R_oracle_v1",10,"internal124__exact500__20260807__H1","H1",1,0.410617769416687,0.410617769416687,0.410617769416687,1e-09,TRUE
"mv14_exact_R_oracle_v1",11,"internal124__exact500__20260808__H0","H0",1,41.2633864137637,41.2633864137637,41.2633864137637,4.12633864137637e-08,TRUE
"mv14_exact_R_oracle_v1",12,"internal124__exact500__20260808__H1","H1",1,0.65183784504911,0.651837845049109,0.651837845049109,1e-09,TRUE
"mv14_exact_R_oracle_v1",13,"internal124__exact500__20260809__H0","H0",1,72.607846910033,72.607846910033,72.607846910033,7.26078469100331e-08,TRUE
"mv14_exact_R_oracle_v1",14,"internal124__exact500__20260809__H1","H1",1,0.853031742328067,0.853031742328069,0.853031742328069,1e-09,TRUE
