"homology","level","filtration","value","level_label"
"H0",1,0,0,"λ1"
"H0",1,0.0207692497737296,0.0207692497737296,"λ1"
"H0",1,0.0415384995474592,0.0415384995474592,"λ1"
"H0",1,0.0623077493211888,0.0623077493211888,"λ1"
"H0",1,0.0830769990949183,0.0830769990949183,"λ1"
"H0",1,0.103846248868648,0.103846248868648,"λ1"
"H0",1,0.124615498642378,0.124615498642378,"λ1"
"H0",1,0.145384748416107,0.145384748416107,"λ1"
"H0",1,0.166153998189837,0.166153998189837,"λ1"
"H0",1,0.186923247963566,0.186923247963566,"λ1"
"H0",1,0.207692497737296,0.207692497737296,"λ1"
"H0",1,0.228461747511025,0.228461747511025,"λ1"
"H0",1,0.249230997284755,0.249230997284755,"λ1"
"H0",1,0.270000247058485,0.270000247058485,"λ1"
"H0",1,0.290769496832214,0.290769496832214,"λ1"
"H0",1,0.311538746605944,0.311538746605944,"λ1"
"H0",1,0.332307996379673,0.332307996379673,"λ1"
"H0",1,0.353077246153403,0.353077246153403,"λ1"
"H0",1,0.373846495927132,0.373846495927132,"λ1"
"H0",1,0.394615745700862,0.394615745700862,"λ1"
"H0",1,0.415384995474592,0.415384995474592,"λ1"
"H0",1,0.436154245248321,0.436154245248321,"λ1"
"H0",1,0.456923495022051,0.456923495022051,"λ1"
"H0",1,0.47769274479578,0.47769274479578,"λ1"
"H0",1,0.49846199456951,0.49846199456951,"λ1"
"H0",1,0.51923124434324,0.51923124434324,"λ1"
"H0",1,0.540000494116969,0.540000494116969,"λ1"
"H0",1,0.560769743890699,0.560769743890699,"λ1"
"H0",1,0.581538993664428,0.581538993664428,"λ1"
"H0",1,0.602308243438158,0.602308243438158,"λ1"
"H0",1,0.623077493211888,0.623077493211888,"λ1"
"H0",1,0.643846742985617,0.643846742985617,"λ1"
"H0",1,0.664615992759347,0.664615992759347,"λ1"
"H0",1,0.685385242533076,0.685385242533076,"λ1"
"H0",1,0.706154492306806,0.706154492306806,"λ1"
"H0",1,0.726923742080535,0.726923742080535,"λ1"
"H0",1,0.747692991854265,0.747692991854265,"λ1"
"H0",1,0.768462241627995,0.768462241627995,"λ1"
"H0",1,0.789231491401724,0.789231491401724,"λ1"
"H0",1,0.810000741175454,0.810000741175454,"λ1"
"H0",1,0.830769990949183,0.830769990949183,"λ1"
"H0",1,0.851539240722913,0.851539240722913,"λ1"
"H0",1,0.872308490496642,0.872308490496642,"λ1"
"H0",1,0.893077740270372,0.893077740270372,"λ1"
"H0",1,0.913846990044102,0.913846990044102,"λ1"
"H0",1,0.934616239817831,0.934616239817831,"λ1"
"H0",1,0.955385489591561,0.955385489591561,"λ1"
"H0",1,0.97615473936529,0.97615473936529,"λ1"
"H0",1,0.99692398913902,0.99692398913902,"λ1"
"H0",1,1.01769323891275,1.01769323891275,"λ1"
"H0",1,1.03846248868648,1.03846248868648,"λ1"
"H0",1,1.05923173846021,1.05923173846021,"λ1"
