"contract_id","view_id","algorithm_id","seed","samples","adjusted_rand_index","exact_partition","composite_role","algorithm","view","seed_label"
"mv07j_h0_composite_concordance_v1","cell","pam_stability_k_v1",20260805,124,1,TRUE,"secondary_descriptive","PAM","Cell view","0805"
"mv07j_h0_composite_concordance_v1","cell","pam_stability_k_v1",20260806,124,1,TRUE,"secondary_descriptive","PAM","Cell view","0806"
"mv07j_h0_composite_concordance_v1","cell","pam_stability_k_v1",20260807,124,1,TRUE,"secondary_descriptive","PAM","Cell view","0807"
"mv07j_h0_composite_concordance_v1","cell","pam_stability_k_v1",20260808,124,1,TRUE,"secondary_descriptive","PAM","Cell view","0808"
"mv07j_h0_composite_concordance_v1","cell","pam_stability_k_v1",20260809,124,1,TRUE,"secondary_descriptive","PAM","Cell view","0809"
"mv07j_h0_composite_concordance_v1","cell","hclust_average_v1",20260805,124,1,TRUE,"secondary_descriptive","Average linkage","Cell view","0805"
"mv07j_h0_composite_concordance_v1","cell","hclust_average_v1",20260806,124,1,TRUE,"secondary_descriptive","Average linkage","Cell view","0806"
"mv07j_h0_composite_concordance_v1","cell","hclust_average_v1",20260807,124,1,TRUE,"secondary_descriptive","Average linkage","Cell view","0807"
"mv07j_h0_composite_concordance_v1","cell","hclust_average_v1",20260808,124,1,TRUE,"secondary_descriptive","Average linkage","Cell view","0808"
"mv07j_h0_composite_concordance_v1","cell","hclust_average_v1",20260809,124,0.138460500784607,FALSE,"secondary_descriptive","Average linkage","Cell view","0809"
"mv07j_h0_composite_concordance_v1","gene","pam_stability_k_v1",20260805,124,1,TRUE,"secondary_descriptive","PAM","Gene view","0805"
"mv07j_h0_composite_concordance_v1","gene","pam_stability_k_v1",20260806,124,1,TRUE,"secondary_descriptive","PAM","Gene view","0806"
"mv07j_h0_composite_concordance_v1","gene","pam_stability_k_v1",20260807,124,1,TRUE,"secondary_descriptive","PAM","Gene view","0807"
"mv07j_h0_composite_concordance_v1","gene","pam_stability_k_v1",20260808,124,1,TRUE,"secondary_descriptive","PAM","Gene view","0808"
"mv07j_h0_composite_concordance_v1","gene","pam_stability_k_v1",20260809,124,1,TRUE,"secondary_descriptive","PAM","Gene view","0809"
"mv07j_h0_composite_concordance_v1","gene","hclust_average_v1",20260805,124,1,TRUE,"secondary_descriptive","Average linkage","Gene view","0805"
"mv07j_h0_composite_concordance_v1","gene","hclust_average_v1",20260806,124,1,TRUE,"secondary_descriptive","Average linkage","Gene view","0806"
"mv07j_h0_composite_concordance_v1","gene","hclust_average_v1",20260807,124,1,TRUE,"secondary_descriptive","Average linkage","Gene view","0807"
"mv07j_h0_composite_concordance_v1","gene","hclust_average_v1",20260808,124,1,TRUE,"secondary_descriptive","Average linkage","Gene view","0808"
"mv07j_h0_composite_concordance_v1","gene","hclust_average_v1",20260809,124,1,TRUE,"secondary_descriptive","Average linkage","Gene view","0809"
