"contract_id","representation_id","k","mean_stability","jackknife_se","pair_count","selected_k","one_se_threshold","representation"
"mv07j_complete_stability_curve_v1","cell_H0",2,0.79387095496588,0.0505568919889771,10,2,0.743314062976903,"Cell H0"
"mv07j_complete_stability_curve_v1","cell_H0",3,0.643938479940857,0.0632541054581959,10,2,0.743314062976903,"Cell H0"
"mv07j_complete_stability_curve_v1","cell_H0",4,0.553491854134728,0.0614102878773676,10,2,0.743314062976903,"Cell H0"
"mv07j_complete_stability_curve_v1","cell_H0",5,0.631973020898815,0.0285874538388092,10,2,0.743314062976903,"Cell H0"
"mv07j_complete_stability_curve_v1","cell_H0",6,0.597128065225426,0.0668509616177444,10,2,0.743314062976903,"Cell H0"
"mv07j_complete_stability_curve_v1","cell_H0",7,0.547590392591321,0.0192246766533289,10,2,0.743314062976903,"Cell H0"
"mv07j_complete_stability_curve_v1","cell_H0",8,0.579639268238314,0.0217666806176881,10,2,0.743314062976903,"Cell H0"
"mv07j_complete_stability_curve_v1","cell_H0",9,0.561845771624248,0.0282081740482113,10,2,0.743314062976903,"Cell H0"
"mv07j_complete_stability_curve_v1","cell_H0",10,0.54115480843603,0.0198842820369344,10,2,0.743314062976903,"Cell H0"
"mv07j_complete_stability_curve_v1","cell_H1",2,0.61373488850616,0.0594531679894943,10,2,0.554281720516666,"Cell H1"
"mv07j_complete_stability_curve_v1","cell_H1",3,0.474049716220141,0.0896721474085414,10,2,0.554281720516666,"Cell H1"
"mv07j_complete_stability_curve_v1","cell_H1",4,0.427215375072802,0.0655444582658334,10,2,0.554281720516666,"Cell H1"
"mv07j_complete_stability_curve_v1","cell_H1",5,0.403522024764575,0.0369144943588031,10,2,0.554281720516666,"Cell H1"
"mv07j_complete_stability_curve_v1","cell_H1",6,0.388970067610357,0.0302923501636682,10,2,0.554281720516666,"Cell H1"
"mv07j_complete_stability_curve_v1","cell_H1",7,0.364478120873035,0.0383669615088093,10,2,0.554281720516666,"Cell H1"
"mv07j_complete_stability_curve_v1","cell_H1",8,0.358438901951583,0.0393169667750225,10,2,0.554281720516666,"Cell H1"
"mv07j_complete_stability_curve_v1","cell_H1",9,0.367584044686117,0.018379455009938,10,2,0.554281720516666,"Cell H1"
"mv07j_complete_stability_curve_v1","cell_H1",10,0.348760567928481,0.0271408857334527,10,2,0.554281720516666,"Cell H1"
"mv07j_complete_stability_curve_v1","cell_H0_H1_secondary",2,0.79387095496588,0.0505568919889771,10,2,0.743314062976903,"Cell H0+H1 (secondary)"
"mv07j_complete_stability_curve_v1","cell_H0_H1_secondary",3,0.671339320664325,0.0487132869317465,10,2,0.743314062976903,"Cell H0+H1 (secondary)"
"mv07j_complete_stability_curve_v1","cell_H0_H1_secondary",4,0.549020771090716,0.0595617849941132,10,2,0.743314062976903,"Cell H0+H1 (secondary)"
"mv07j_complete_stability_curve_v1","cell_H0_H1_secondary",5,0.583353021040989,0.0471933370371256,10,2,0.743314062976903,"Cell H0+H1 (secondary)"
"mv07j_complete_stability_curve_v1","cell_H0_H1_secondary",6,0.66697125474206,0.0319418539146413,10,2,0.743314062976903,"Cell H0+H1 (secondary)"
"mv07j_complete_stability_curve_v1","cell_H0_H1_secondary",7,0.548698384163361,0.0238668531803344,10,2,0.743314062976903,"Cell H0+H1 (secondary)"
"mv07j_complete_stability_curve_v1","cell_H0_H1_secondary",8,0.587842767975291,0.0327208965442532,10,2,0.743314062976903,"Cell H0+H1 (secondary)"
"mv07j_complete_stability_curve_v1","cell_H0_H1_secondary",9,0.573155230682377,0.0359649040642524,10,2,0.743314062976903,"Cell H0+H1 (secondary)"
"mv07j_complete_stability_curve_v1","cell_H0_H1_secondary",10,0.547512258074135,0.0308731369635504,10,2,0.743314062976903,"Cell H0+H1 (secondary)"
"mv07j_complete_stability_curve_v1","gene_H0",2,0.910267726666893,0.0151185884560846,10,2,0.895149138210808,"Gene H0"
"mv07j_complete_stability_curve_v1","gene_H0",3,0.80206611715616,0.0280911216943488,10,2,0.895149138210808,"Gene H0"
"mv07j_complete_stability_curve_v1","gene_H0",4,0.764268125390714,0.0391929820160076,10,2,0.895149138210808,"Gene H0"
"mv07j_complete_stability_curve_v1","gene_H0",5,0.75054717335714,0.0397027058495512,10,2,0.895149138210808,"Gene H0"
