"contract_id","representation_id","seed","samples","pam_k","average_k","adjusted_rand_index","exact_partition","favorable_algorithm_selected","representation","view","seed_label"
"mv07j_algorithm_sensitivity_v1","cell_H0",20260805,124,2,2,-0.00408729852703006,FALSE,FALSE,"Cell H0","Cell view","20260805"
"mv07j_algorithm_sensitivity_v1","cell_H0",20260806,124,2,2,-0.00284617925846869,FALSE,FALSE,"Cell H0","Cell view","20260806"
"mv07j_algorithm_sensitivity_v1","cell_H0",20260807,124,2,2,0.391362452646879,FALSE,FALSE,"Cell H0","Cell view","20260807"
"mv07j_algorithm_sensitivity_v1","cell_H0",20260808,124,2,2,0.00316237650904363,FALSE,FALSE,"Cell H0","Cell view","20260808"
"mv07j_algorithm_sensitivity_v1","cell_H0",20260809,124,2,2,0.100149799475918,FALSE,FALSE,"Cell H0","Cell view","20260809"
"mv07j_algorithm_sensitivity_v1","cell_H1",20260805,124,2,2,-0.00321634226984554,FALSE,FALSE,"Cell H1","Cell view","20260805"
"mv07j_algorithm_sensitivity_v1","cell_H1",20260806,124,2,2,-0.0233857885451079,FALSE,FALSE,"Cell H1","Cell view","20260806"
"mv07j_algorithm_sensitivity_v1","cell_H1",20260807,124,2,2,0.00107551275911032,FALSE,FALSE,"Cell H1","Cell view","20260807"
"mv07j_algorithm_sensitivity_v1","cell_H1",20260808,124,2,2,-0.0132969437076222,FALSE,FALSE,"Cell H1","Cell view","20260808"
"mv07j_algorithm_sensitivity_v1","cell_H1",20260809,124,2,2,-0.00564923556984719,FALSE,FALSE,"Cell H1","Cell view","20260809"
"mv07j_algorithm_sensitivity_v1","cell_H0_H1_secondary",20260805,124,2,2,-0.00408729852703006,FALSE,FALSE,"Cell H0+H1 (secondary)","Cell view","20260805"
"mv07j_algorithm_sensitivity_v1","cell_H0_H1_secondary",20260806,124,2,2,-0.00284617925846869,FALSE,FALSE,"Cell H0+H1 (secondary)","Cell view","20260806"
"mv07j_algorithm_sensitivity_v1","cell_H0_H1_secondary",20260807,124,2,2,0.391362452646879,FALSE,FALSE,"Cell H0+H1 (secondary)","Cell view","20260807"
"mv07j_algorithm_sensitivity_v1","cell_H0_H1_secondary",20260808,124,2,2,0.00316237650904363,FALSE,FALSE,"Cell H0+H1 (secondary)","Cell view","20260808"
"mv07j_algorithm_sensitivity_v1","cell_H0_H1_secondary",20260809,124,2,2,0.00158295358902156,FALSE,FALSE,"Cell H0+H1 (secondary)","Cell view","20260809"
"mv07j_algorithm_sensitivity_v1","gene_H0",20260805,124,2,2,0.929065030050678,FALSE,FALSE,"Gene H0","Gene view","20260805"
"mv07j_algorithm_sensitivity_v1","gene_H0",20260806,124,2,2,0.929065030050678,FALSE,FALSE,"Gene H0","Gene view","20260806"
"mv07j_algorithm_sensitivity_v1","gene_H0",20260807,124,2,2,0.830216518307663,FALSE,FALSE,"Gene H0","Gene view","20260807"
"mv07j_algorithm_sensitivity_v1","gene_H0",20260808,124,2,2,0.964002235396869,FALSE,FALSE,"Gene H0","Gene view","20260808"
"mv07j_algorithm_sensitivity_v1","gene_H0",20260809,124,2,2,0.895147258090334,FALSE,FALSE,"Gene H0","Gene view","20260809"
"mv07j_algorithm_sensitivity_v1","gene_H1",20260805,124,2,2,0.0271512875502146,FALSE,FALSE,"Gene H1","Gene view","20260805"
"mv07j_algorithm_sensitivity_v1","gene_H1",20260806,124,2,2,0.0266102043221835,FALSE,FALSE,"Gene H1","Gene view","20260806"
"mv07j_algorithm_sensitivity_v1","gene_H1",20260807,124,2,2,0.049391848350565,FALSE,FALSE,"Gene H1","Gene view","20260807"
"mv07j_algorithm_sensitivity_v1","gene_H1",20260808,124,2,2,0.0159771675517088,FALSE,FALSE,"Gene H1","Gene view","20260808"
"mv07j_algorithm_sensitivity_v1","gene_H1",20260809,124,2,2,0.0760567605743603,FALSE,FALSE,"Gene H1","Gene view","20260809"
"mv07j_algorithm_sensitivity_v1","gene_H0_H1_secondary",20260805,124,2,2,0.929065030050678,FALSE,FALSE,"Gene H0+H1 (secondary)","Gene view","20260805"
"mv07j_algorithm_sensitivity_v1","gene_H0_H1_secondary",20260806,124,2,2,0.929065030050678,FALSE,FALSE,"Gene H0+H1 (secondary)","Gene view","20260806"
"mv07j_algorithm_sensitivity_v1","gene_H0_H1_secondary",20260807,124,2,2,0.830216518307663,FALSE,FALSE,"Gene H0+H1 (secondary)","Gene view","20260807"
"mv07j_algorithm_sensitivity_v1","gene_H0_H1_secondary",20260808,124,2,2,0.964002235396869,FALSE,FALSE,"Gene H0+H1 (secondary)","Gene view","20260808"
"mv07j_algorithm_sensitivity_v1","gene_H0_H1_secondary",20260809,124,2,2,0.895147258090334,FALSE,FALSE,"Gene H0+H1 (secondary)","Gene view","20260809"
