"contract_id","evaluation_unit_id","execution_order","endpoint_id","population_id","label_axis","stack_id","homology_dimension","method_id","method_role","selected_k","metric_id","partition_group_sha256","expected_seeds","expected_samples_per_seed","cluster_metadata_join_executed","association_computed","method_selection_executed"
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:63294ecb69e97b7a6b207ad42c431414ad3387ed195ee561386c455423b42983",1,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","pam_dissimilarity_v1","primary",2,"adjusted_rand_index","c20a4fc53b62b99cd496910f721e7db0c21e0ddd900814e86ef265ab295a5ecb",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:7d71e3d4b37a139c2e53018d44499c4f68d5bc4aa4dc86bd674f1070bcf36a96",2,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","pam_dissimilarity_v1","primary",2,"normalized_mutual_information_max","c20a4fc53b62b99cd496910f721e7db0c21e0ddd900814e86ef265ab295a5ecb",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:cd2ab6b0323c9aaa14027c248ed8cdd637c415d42accd5e30888ce95901fe559",3,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","hclust_average_v1","sensitivity",2,"adjusted_rand_index","2bcaee719adcd572e98475f272e338906c9c248d046b670c6fb6509fb242ee7d",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:7ed7bf41bcda2533a1d4dae936ee196ce3692cded79a7243cdffbf674a3aa123",4,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max","2bcaee719adcd572e98475f272e338906c9c248d046b670c6fb6509fb242ee7d",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:777f6d98b638f5ec22fe16469fdea1433e405ad4f0ee6a976118c56eb12b0504",5,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","hclust_complete_v1","sensitivity",2,"adjusted_rand_index","18d1c9cb0b8744c7ea5ac3bec9f9532eb58182610832a54e5722485c03f9a64c",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:59ed8c8e2cea0022d2db90ea1cb302ddf77b2048133df2ba3c9e45e52f07f293",6,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","hclust_complete_v1","sensitivity",2,"normalized_mutual_information_max","18d1c9cb0b8744c7ea5ac3bec9f9532eb58182610832a54e5722485c03f9a64c",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:84004cc135a6acde125f51b197c57bc83b7d260569542e86d3a7160508dd73ef",7,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","diana_dissimilarity_v1","sensitivity",2,"adjusted_rand_index","974efc3093fa32ded53bdf9926adfd976d045b87a58ef04de1302df3603d4e17",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:35c32cf99f0c5d65d225d0fb10c2ca648df1a99882008d7ab7e1cdc273e6ee3e",8,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","diana_dissimilarity_v1","sensitivity",2,"normalized_mutual_information_max","974efc3093fa32ded53bdf9926adfd976d045b87a58ef04de1302df3603d4e17",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:eec74d92baa77d2a84d7e1d0d6ce4f1ec33f73ae88ae9353eda17170be6fcb66",9,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","hclust_single_diagnostic_v1","diagnostic",2,"adjusted_rand_index","4b4445525bf912433f83868c46273e07ab67ff4729eea0c954ebb1369bee44b2",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:f5b2e3272f049da0d231b9be0f4d61a3cd94b3fad97a3e97b6156a128e8734ce",10,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","hclust_single_diagnostic_v1","diagnostic",2,"normalized_mutual_information_max","4b4445525bf912433f83868c46273e07ab67ff4729eea0c954ebb1369bee44b2",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:d38f4db0b1db8d0f10e328029b6311e271e6936b017934bfd29d8eed13417e19",11,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","pam_dissimilarity_v1","primary",3,"adjusted_rand_index","6a5a59784766507acacbed6b6ea7208febf488b03c0df3c88abde24eee356505",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:63be0367d10959a3fdd452c8a6cdcb00822fe77c132c2dccdef1a9931dcc4feb",12,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","pam_dissimilarity_v1","primary",3,"normalized_mutual_information_max","6a5a59784766507acacbed6b6ea7208febf488b03c0df3c88abde24eee356505",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:7ab37a37b085a587a17713176e54f6cf43fbb5bddf5284dc240b8081a53973a1",13,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","hclust_average_v1","sensitivity",3,"adjusted_rand_index","2173397c591393e62b3ce010a85b6c30da57856066a3c9652390249261961f73",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:b40e2877922db69e1fb582af8cf567b7ff6f4efaf91fa49a42081e184dde4dd8",14,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","hclust_average_v1","sensitivity",3,"normalized_mutual_information_max","2173397c591393e62b3ce010a85b6c30da57856066a3c9652390249261961f73",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:05d633df7286164b9b3f17795236971a02ea112a8c776e8473a259d28db1c33e",15,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","hclust_complete_v1","sensitivity",3,"adjusted_rand_index","dd63d0508a1f8782e6c128b0c2c75c726f60eb98a133ee24a111d5ccbe39e8ed",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:174f3e2d98ca200eb43342e7cefadc7a06f0b94f88ae78f6a3169bee106bfe13",16,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","hclust_complete_v1","sensitivity",3,"normalized_mutual_information_max","dd63d0508a1f8782e6c128b0c2c75c726f60eb98a133ee24a111d5ccbe39e8ed",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:52f1406483be4ad35a39910c065ffec3ec67a7471333f7d43b6ce8890e78b72f",17,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","diana_dissimilarity_v1","sensitivity",3,"adjusted_rand_index","c10a69489ba965599c1b99974c2b4e7ea5abb1d9ad29fa972508e6f6b2db9d03",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:a7797d55bbac1f99d5252c9dfad8ac10cea154f7517f3349eabb91bfa497f308",18,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","diana_dissimilarity_v1","sensitivity",3,"normalized_mutual_information_max","c10a69489ba965599c1b99974c2b4e7ea5abb1d9ad29fa972508e6f6b2db9d03",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:53fc29b90a7b102122b3b2d4d291c74787fc10ccc91281a9d93574474c71c1ee",19,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","hclust_single_diagnostic_v1","diagnostic",3,"adjusted_rand_index","8b8515e278af298f2ddc5843e902bfa8cdd58a1d9c2b424d2df0e45437b05463",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:e973609c994c1426edacb745b93d2550a227b2e8c8f9da0ed5288093cf00dc02",20,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","hclust_single_diagnostic_v1","diagnostic",3,"normalized_mutual_information_max","8b8515e278af298f2ddc5843e902bfa8cdd58a1d9c2b424d2df0e45437b05463",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:268c101057f2d0df24c3f0a0f703a6abf1541d441b9523fc86b63ab13431ac2b",21,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","pam_dissimilarity_v1","primary",2,"adjusted_rand_index","5afd3d15a274f9dd81b4f2ce7030b8fbcb43a64ca148cc4a0bb752050364313b",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:6ce56073bdca5d2c1740790c87b456318612c43dbd88a03d9f05db65e610ab22",22,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","pam_dissimilarity_v1","primary",2,"normalized_mutual_information_max","5afd3d15a274f9dd81b4f2ce7030b8fbcb43a64ca148cc4a0bb752050364313b",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:ba077d7529e81a29e97fd5d932d976728949568c8e8965db3b50efc6fdb10fed",23,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","hclust_average_v1","sensitivity",2,"adjusted_rand_index","7cd11ce8f91fc11d1a26804bb56a834a256e3dcc3df27cf7bdf50b5aaae871d3",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:fec252add577cd04d0a0c4eaba0e8d4cc191f047202cce0fd05871979a50b926",24,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max","7cd11ce8f91fc11d1a26804bb56a834a256e3dcc3df27cf7bdf50b5aaae871d3",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:41bec84ceb827883183c4e250b02845a0e7744c729c9a1dde7d01b442e525930",25,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","hclust_complete_v1","sensitivity",2,"adjusted_rand_index","9400a37d84ffba0e049c130a59be5f91deb9c816732f823ae16d7a45df09b85d",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:1ca096f269b6ea15bbc0319a5c6adc3383b62180ac1c969dad21cd004f5ca0ba",26,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","hclust_complete_v1","sensitivity",2,"normalized_mutual_information_max","9400a37d84ffba0e049c130a59be5f91deb9c816732f823ae16d7a45df09b85d",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:777d7ecbf048dced4e71257ee91537dcbc4714d294e03cc09cb6423b0dcd76e9",27,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","diana_dissimilarity_v1","sensitivity",2,"adjusted_rand_index","f2ed4d3bf16a83a32d8532d28aeeecfc67e350bea6718ff5d621fa7fb9b87766",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:cf6f21d6dc0632df4046cb6adea7086fcb6b6809050f01e1395e620c2579b4d0",28,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","diana_dissimilarity_v1","sensitivity",2,"normalized_mutual_information_max","f2ed4d3bf16a83a32d8532d28aeeecfc67e350bea6718ff5d621fa7fb9b87766",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:4d4a66ddbffdee9159989362c570647e317f7304ad74ffcad6cd12541f9667eb",29,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","hclust_single_diagnostic_v1","diagnostic",2,"adjusted_rand_index","f196a0dd5873d3ec9ac8cfd30d80ef1862ab067fd4438276559ef9f5d85515b6",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:44594176843f03796d9ec05d5d1ddc8a8ba32a8b7fd97ddd2b844e34e741e2ca",30,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","hclust_single_diagnostic_v1","diagnostic",2,"normalized_mutual_information_max","f196a0dd5873d3ec9ac8cfd30d80ef1862ab067fd4438276559ef9f5d85515b6",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:be5407ca0c148493a4ec0c5e68e58c467cb3e94610b71fad720772def265923d",31,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H1","pam_dissimilarity_v1","primary",3,"adjusted_rand_index","b3db070d93a66087fe4fa4d84a6b8d2ec0a2075ef8c96fec5b7972a5a6943d93",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:fc4f10000944a8e9baf8b88b8e26a6399a17067a0f08e7c2fa4083b6e8d9c395",32,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H1","pam_dissimilarity_v1","primary",3,"normalized_mutual_information_max","b3db070d93a66087fe4fa4d84a6b8d2ec0a2075ef8c96fec5b7972a5a6943d93",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:cad6a2fc326a44f976b5c338afd33a72edc01a10f2a204c5b8a0af563dfa4cfd",33,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H1","hclust_average_v1","sensitivity",3,"adjusted_rand_index","85732f7496900343d8400c01778bd44cc9bcfa3acf7857ed92fc3a783cfd3bcb",5,124,FALSE,FALSE,FALSE
"mv10p_outcome_execution_queue_v1","mv10p_outcome_v1:8a9fe8999c64dbc7c994c9b656c5d26884bdfd493810d87e908be92ec9f51ef2",34,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H1","hclust_average_v1","sensitivity",3,"normalized_mutual_information_max","85732f7496900343d8400c01778bd44cc9bcfa3acf7857ed92fc3a783cfd3bcb",5,124,FALSE,FALSE,FALSE
