"contract_id","seed","sample_id","view_id","mv07g_cache_key","mv07h_cache_key","mv07g_payload_sha256","mv07h_payload_sha256","cache_key_equal","payload_sha256_equal","passed"
"mv07h_mv07g_sentinel_equivalence_v1",20260805,"SRA701877_SRS3279688","cell_topology_v1","cell_topology_v1:b5f323500016ff774f006b0c0350d417d6cf34ee01fc8feef14732ba098d7e0a","cell_topology_v1:b5f323500016ff774f006b0c0350d417d6cf34ee01fc8feef14732ba098d7e0a","6dead96c44862b847bee2e710ad769a9d09b6cb8b660257e25ff3f8a11cf0041","6dead96c44862b847bee2e710ad769a9d09b6cb8b660257e25ff3f8a11cf0041",TRUE,TRUE,TRUE
"mv07h_mv07g_sentinel_equivalence_v1",20260805,"SRA701877_SRS3279688","gene_topology_v1","gene_topology_v1:c792b1cf85af91c901cf9f4361799159b5ce10413dd968c953b1914a158ca3a6","gene_topology_v1:c792b1cf85af91c901cf9f4361799159b5ce10413dd968c953b1914a158ca3a6","bb45c84f4ad58ecdde02a71b258c2e5f663a8b13d2a917d3c46507f8db0ef49e","bb45c84f4ad58ecdde02a71b258c2e5f663a8b13d2a917d3c46507f8db0ef49e",TRUE,TRUE,TRUE
"mv07h_mv07g_sentinel_equivalence_v1",20260805,"SRA701877_SRS3279695","cell_topology_v1","cell_topology_v1:a4c77463bd38276952d876696ca9477a116a549abad71b57a70eae5cc22d5bdb","cell_topology_v1:a4c77463bd38276952d876696ca9477a116a549abad71b57a70eae5cc22d5bdb","d51b8e90bfc9f78870df166214094162183a34612736d59a306285b015631c00","d51b8e90bfc9f78870df166214094162183a34612736d59a306285b015631c00",TRUE,TRUE,TRUE
"mv07h_mv07g_sentinel_equivalence_v1",20260805,"SRA701877_SRS3279695","gene_topology_v1","gene_topology_v1:c1f44d3811ec1196b77e8557f2681e9b44f8b19403ca2da8fa526ce8de1e495b","gene_topology_v1:c1f44d3811ec1196b77e8557f2681e9b44f8b19403ca2da8fa526ce8de1e495b","b68c8c7d89462f68060663591cf0970fbf3056d083067888859538177efc9922","b68c8c7d89462f68060663591cf0970fbf3056d083067888859538177efc9922",TRUE,TRUE,TRUE
"mv07h_mv07g_sentinel_equivalence_v1",20260805,"SRA742961_SRS3565197","cell_topology_v1","cell_topology_v1:f16b424c801503950b58cbe1b18c8cf3aec07f464a653cf71602ad5f270de58a","cell_topology_v1:f16b424c801503950b58cbe1b18c8cf3aec07f464a653cf71602ad5f270de58a","b537a80123e47e9847e63f4464177050c894de1ea9fb1172a94b0e85ed46c6ab","b537a80123e47e9847e63f4464177050c894de1ea9fb1172a94b0e85ed46c6ab",TRUE,TRUE,TRUE
"mv07h_mv07g_sentinel_equivalence_v1",20260805,"SRA742961_SRS3565197","gene_topology_v1","gene_topology_v1:fd2dbf5a9cc43df18aea4949e427f84c27c10a6ae5df11aa90b7d1e77c31a99c","gene_topology_v1:fd2dbf5a9cc43df18aea4949e427f84c27c10a6ae5df11aa90b7d1e77c31a99c","5b4ab2e186b4be5c34888efe261aee75925d4491bd988772d6eb521c3a0dd081","5b4ab2e186b4be5c34888efe261aee75925d4491bd988772d6eb521c3a0dd081",TRUE,TRUE,TRUE
"mv07h_mv07g_sentinel_equivalence_v1",20260805,"SRA742961_SRS3565205","cell_topology_v1","cell_topology_v1:e98c487cf9b1dca8312d6f94f49b7c84a95c1d95996440f17cfe28900f80c970","cell_topology_v1:e98c487cf9b1dca8312d6f94f49b7c84a95c1d95996440f17cfe28900f80c970","782601f48d67b7c161577e7d6df0ea817e83c2fb31ec8aef8b37ee037edcb5b6","782601f48d67b7c161577e7d6df0ea817e83c2fb31ec8aef8b37ee037edcb5b6",TRUE,TRUE,TRUE
"mv07h_mv07g_sentinel_equivalence_v1",20260805,"SRA742961_SRS3565205","gene_topology_v1","gene_topology_v1:88a644ef473a2a7a7f7aaacdcebaa29a919044b4f66b9f4940f9c66cfaa38566","gene_topology_v1:88a644ef473a2a7a7f7aaacdcebaa29a919044b4f66b9f4940f9c66cfaa38566","9fbf574d6ac065128351696cc4fd299ae3a538eeeb11a784d951a0124cffb47d","9fbf574d6ac065128351696cc4fd299ae3a538eeeb11a784d951a0124cffb47d",TRUE,TRUE,TRUE
"mv07h_mv07g_sentinel_equivalence_v1",20260805,"SRA850958_SRS4386101","cell_topology_v1","cell_topology_v1:ec3cd211ad9c623280679ef63c96faa35aed7f414999b35f40635d7b558cd619","cell_topology_v1:ec3cd211ad9c623280679ef63c96faa35aed7f414999b35f40635d7b558cd619","06e6106b8ac7b733c4a6adc1ae7c6c2c1662a01cf3f5abd3e5ff511b4e7847ef","06e6106b8ac7b733c4a6adc1ae7c6c2c1662a01cf3f5abd3e5ff511b4e7847ef",TRUE,TRUE,TRUE
"mv07h_mv07g_sentinel_equivalence_v1",20260805,"SRA850958_SRS4386101","gene_topology_v1","gene_topology_v1:36aa95244f13e2213208407d242997cb3e7a91b4c3b6fe6819f3b8241fb7ef64","gene_topology_v1:36aa95244f13e2213208407d242997cb3e7a91b4c3b6fe6819f3b8241fb7ef64","43af03ea440c60ae93cff148543cca13a957a674e72258ce73bafa1fc81aeb7e","43af03ea440c60ae93cff148543cca13a957a674e72258ce73bafa1fc81aeb7e",TRUE,TRUE,TRUE
