"contract_id","job_id","attempt_scope","stage","seed","sample_id","view_id","ph_engine","disposition","exit_status","elapsed_seconds","peak_process_tree_rss_bytes","elapsed_cap_seconds","rss_cap_bytes","outcome_label_state","biological_outcomes_computed"
"mv07h_ph_engine_attempt_v1","ph__20260805__SRA550660_SRS2089635__cell_topology_v1","primary","cell_ph",20260805,"SRA550660_SRS2089635","cell_topology_v1","ripserr","completed",0,14.0524568557739,580939776,600,4294967296,"closed",FALSE
"mv07h_ph_engine_attempt_v1","ph__20260805__SRA550660_SRS2089635__gene_topology_v1","primary","gene_ph",20260805,"SRA550660_SRS2089635","gene_topology_v1","ripserr","completed",0,14.0868444442749,592261120,1800,8589934592,"closed",FALSE
"mv07h_ph_engine_attempt_v1","ph__20260805__SRA550660_SRS2089636__cell_topology_v1","primary","cell_ph",20260805,"SRA550660_SRS2089636","cell_topology_v1","ripserr","completed",0,12.5475225448608,663961600,600,4294967296,"closed",FALSE
"mv07h_ph_engine_attempt_v1","ph__20260805__SRA550660_SRS2089636__gene_topology_v1","primary","gene_ph",20260805,"SRA550660_SRS2089636","gene_topology_v1","ripserr","completed",0,13.057213306427,579899392,1800,8589934592,"closed",FALSE
"mv07h_ph_engine_attempt_v1","ph__20260805__SRA550660_SRS2089637__cell_topology_v1","primary","cell_ph",20260805,"SRA550660_SRS2089637","cell_topology_v1","ripserr","completed",0,13.4162859916687,581767168,600,4294967296,"closed",FALSE
"mv07h_ph_engine_attempt_v1","ph__20260805__SRA550660_SRS2089637__gene_topology_v1","primary","gene_ph",20260805,"SRA550660_SRS2089637","gene_topology_v1","ripserr","completed",0,13.3674323558807,592384000,1800,8589934592,"closed",FALSE
"mv07h_ph_engine_attempt_v1","ph__20260805__SRA550660_SRS2089638__cell_topology_v1","primary","cell_ph",20260805,"SRA550660_SRS2089638","cell_topology_v1","ripserr","completed",0,13.1044516563416,672460800,600,4294967296,"closed",FALSE
"mv07h_ph_engine_attempt_v1","ph__20260805__SRA550660_SRS2089638__gene_topology_v1","primary","gene_ph",20260805,"SRA550660_SRS2089638","gene_topology_v1","ripserr","completed",0,13.6079950332642,709152768,1800,8589934592,"closed",FALSE
"mv07h_ph_engine_attempt_v1","ph__20260805__SRA550660_SRS2089639__cell_topology_v1","primary","cell_ph",20260805,"SRA550660_SRS2089639","cell_topology_v1","ripserr","completed",0,12.5858302116394,676503552,600,4294967296,"closed",FALSE
"mv07h_ph_engine_attempt_v1","ph__20260805__SRA550660_SRS2089639__gene_topology_v1","primary","gene_ph",20260805,"SRA550660_SRS2089639","gene_topology_v1","ripserr","completed",0,13.0932319164276,626974720,1800,8589934592,"closed",FALSE
"mv07h_ph_engine_attempt_v1","ph__20260805__SRA621638_SRS2610283__cell_topology_v1","primary","cell_ph",20260805,"SRA621638_SRS2610283","cell_topology_v1","ripserr","completed",0,12.8261525630951,609112064,600,4294967296,"closed",FALSE
