"contract_id","gate","required_state"
"mv08x_acceptance_v1","toolchain_identity","rustc_1.97.1_host_x86_64_unknown_linux_gnu"
"mv08x_acceptance_v1","installer_hash","official_rustup_1.29.0_sha256_exact"
"mv08x_acceptance_v1","source_lock_hashes","all_prefrozen_implementation_hashes_exact"
"mv08x_acceptance_v1","format_unit_clippy","all_pass"
"mv08x_acceptance_v1","two_clean_builds","byte_identical_candidate_library"
"mv08x_acceptance_v1","native_c_abi","success_and_error_paths_pass"
"mv08x_acceptance_v1","dependency_inventory","recorded_and_no_unexpected_project_dependency"
"mv08x_acceptance_v1","analytical_fixtures","all_pass"
"mv08x_acceptance_v1","failure_fallback","missing_and_corrupt_library_use_canonical_R"
"mv08x_acceptance_v1","all_28_groups","28_of_28"
"mv08x_acceptance_v1","r_oracle_equivalence","exact_or_within_R_error_certificate"
"mv08x_acceptance_v1","reverse_invariant","bit_identical_and_counts_swap"
"mv08x_acceptance_v1","self_zero_invariant","exact_zero"
"mv08x_acceptance_v1","two_run_scientific_identity","byte_identical_normalized_results"
"mv08x_acceptance_v1","resource_caps","all_pass"
"mv08x_acceptance_v1","aggregate_only_publication","no_unit_accession_donor_or_private_path"
"mv08x_acceptance_v1","downstream_firewalls","all_zero_and_closed"
