"contract_id","role","bytes","sha256","rows","public_locator"
"mv08z_input_manifest_v1","mv08r_manifest",1804,"bc40dba54bc240569bf7ac16be1b5c26be482425806d35cb467f400d02acc5f7",17,FALSE
"mv08z_input_manifest_v1","mv08r_ph_queue",889157,"da83712e36476ab0e90dfbd8628b8960d0400c0eaa46e25488913c04f6134f44",1280,FALSE
"mv08z_input_manifest_v1","mv08r_landscape_queue",16283,"d508b212f24d93276c17e906d22d9abdf3da55e3046aec8abfb71e06bce7e6af",28,FALSE
"mv08z_input_manifest_v1","mv08r_landscape_contract",1170,"62551be537abb63218a3233c851a709725c8303983574adf9c2975adc98dc69a",10,FALSE
"mv08z_input_manifest_v1","mv08w_manifest",742,"13c5ac9a095966eb1f01aac2e6c82e25437fa89f4bc304e061f41d7c28a03bd0",7,FALSE
"mv08z_input_manifest_v1","mv08w_inventory",322322,"101cdf2a376afb2ac6cc8283ac1e58227161aec511825a5255c479204d1306d6",1280,FALSE
"mv08z_input_manifest_v1","mv08w_validation",1614,"19a71369227d4d8c46e9762bb14e44a7727b2f0681f724a0780ebf95a42b0105",20,FALSE
"mv08z_input_manifest_v1","mv08w_decision",488,"62207b13b976c2fb95f2a47b4e3b6efa1d850b5e617b4d67162303069ea3b7b2",1,FALSE
"mv08z_input_manifest_v1","mv08x_manifest",927,"93785be3a40ca37670491e2d8a2f764daf4674d2644fce7f956a8f143e51a76e",9,FALSE
"mv08z_input_manifest_v1","mv08xa_manifest",621,"ed48171deeb5e450e6cc5e02ffa66031b0f8f608f06198f679136c62e4cb72c7",6,FALSE
"mv08z_input_manifest_v1","mv08y_manifest",727,"cc882520ad912fc522a03d85a7348d312ba83a6deb48156e15539f336ac7c566",7,FALSE
"mv08z_input_manifest_v1","mv08y_decision",924,"e3e36806411ab31b4df02ba0ac87d92e61efd80e261756eaf3a1870d33253775",1,FALSE
"mv08z_input_manifest_v1","mv08y_oracles",13230,"15dec4d1ffe76bf5e39fc53da6a01b312faf0f6b086fa8aa3e1c31f9c7ef838e",28,FALSE
"mv08z_input_manifest_v1","mv08s_metrics",14876,"0b7693aafb4176b0afd56d9282f681b49001b50ed789023e80cc626cf01867bf",23,FALSE
"mv08z_input_manifest_v1","mv08v_metrics",824396,"e5ba44d7276b7312e5aa08d42fa067b12fe6c56daa47ef59823795a950adc4d4",1257,FALSE
"mv08z_input_manifest_v1","mv08x_private_oracle_selection",32494,"1ebcf025cba72ba73065ec0e29acb8f2582708e2a8e404a7a593e5bf8519a241",28,FALSE
"mv08z_input_manifest_v1","admitted_private_rust_library",442272,"51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d",,FALSE
"mv08z_input_manifest_v1","private_unit_bindings",1474509,"d6c9adb5445b2644d853e6c122bc05b74631c17cc28acafc2c7d9b7c215fcaec",2544,FALSE
"mv08z_input_manifest_v1","private_sentinel_selection",1436,"f2888f96b29c5d251f0d357077fd4cd54c8e7d2e91d4d76fc10fc379288f488a",1,FALSE
