"contract_id","group_order","group_id","dataset_scope","representation_id","panel_id","seed","view_kind","homology_dimension","units","unordered_pairs","chunk_size","chunks","unit_axis_sha256","pair_axis_sha256","maximum_pair_interval_burden","maximum_single_interval_burden","minimum_single_interval_burden","engine_id","integration","level_policy","grid_policy","level_cap","authorization_state","outcome_label_state","biological_outcomes_computed"
"mv08z_landscape_group_queue_v1",1,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260805:H0","internal124","sct_data_all_qc_fit_selected384","exact500",20260805,"gene_topology_v1","H0",124,7626,250,31,"58e99ad4046b4031bdf89acc11ce2f93ec5f55b93bf3a80ec0aeb8bc039aaca7","862524333b3f5ef63156ddee1664197c6925cd96a1fd751949aca3188fabf4bb",998,499,499,"rust_scph_landscape_kernel_v1","exact_streamed_squared_L2","all_consecutive_active_levels","none","none","closed_pending_sentinel_closure","closed",FALSE
"mv08z_landscape_group_queue_v1",2,"mv08n_landscape:internal124:sct_pearson_residual_all_qc_fit_selected384:exact500:20260805:H0","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"gene_topology_v1","H0",124,7626,250,31,"84c6a17c55ab0adb45278c7789e4e1beadc82bcb9b4aa20ad62e17efda71c13e","394f98c49aa86bb9c68241f17482ec45b5e32687e7c837259c4266b23532e7e6",998,499,499,"rust_scph_landscape_kernel_v1","exact_streamed_squared_L2","all_consecutive_active_levels","none","none","closed_pending_sentinel_closure","closed",FALSE
"mv08z_landscape_group_queue_v1",3,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260806:H0","internal124","sct_data_all_qc_fit_selected384","exact500",20260806,"gene_topology_v1","H0",124,7626,250,31,"ce35aa38c8c40ef048c2bbae94dba4218ce86aca01c059c482ed28b0e0056f30","7bae381e4c8b0d1789c5fc21455cb0dff0b661cb2a255a7249fca0f83a5d30f4",998,499,499,"rust_scph_landscape_kernel_v1","exact_streamed_squared_L2","all_consecutive_active_levels","none","none","closed_pending_sentinel_closure","closed",FALSE
"mv08z_landscape_group_queue_v1",4,"mv08n_landscape:internal124:sct_pearson_residual_all_qc_fit_selected384:exact500:20260806:H0","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"gene_topology_v1","H0",124,7626,250,31,"da590240fa5afb910824754796f2d1272d3f4b65c4a69a2e7cfcc70dafe31e91","2afe33a18d28a00a777263415fe2fb873e13a74d31aac66209784d9c715b15e7",998,499,499,"rust_scph_landscape_kernel_v1","exact_streamed_squared_L2","all_consecutive_active_levels","none","none","closed_pending_sentinel_closure","closed",FALSE
"mv08z_landscape_group_queue_v1",5,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260807:H0","internal124","sct_data_all_qc_fit_selected384","exact500",20260807,"gene_topology_v1","H0",124,7626,250,31,"e3d3ffe0f41cdf8b549ba2e0f60b52ced74ece620d0ea3f81eca546b608e6dc7","253de1f40d3afa99fb68ac7a27182e2a10b5e3bea4592cb36a9b75fd343aba01",998,499,499,"rust_scph_landscape_kernel_v1","exact_streamed_squared_L2","all_consecutive_active_levels","none","none","closed_pending_sentinel_closure","closed",FALSE
"mv08z_landscape_group_queue_v1",6,"mv08n_landscape:internal124:sct_pearson_residual_all_qc_fit_selected384:exact500:20260807:H0","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"gene_topology_v1","H0",124,7626,250,31,"345810cf79e345b1225363356ed2d43c09f4843e2e8a492144a0898cd1561150","718a9a459a150664b9fa10647d94009ed82c3b54c3d0133684beea3fe4108232",998,499,499,"rust_scph_landscape_kernel_v1","exact_streamed_squared_L2","all_consecutive_active_levels","none","none","closed_pending_sentinel_closure","closed",FALSE
"mv08z_landscape_group_queue_v1",7,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260808:H0","internal124","sct_data_all_qc_fit_selected384","exact500",20260808,"gene_topology_v1","H0",124,7626,250,31,"abb80c4162a5e4db4fb392bcc3ca3fba6258c0c4e5906fb01d6b19163d27609d","bec61fc7b0fd4df02146d66d3897fca78765f40b6197cb17454c0c3fa9d2949f",998,499,499,"rust_scph_landscape_kernel_v1","exact_streamed_squared_L2","all_consecutive_active_levels","none","none","closed_pending_sentinel_closure","closed",FALSE
"mv08z_landscape_group_queue_v1",8,"mv08n_landscape:internal124:sct_pearson_residual_all_qc_fit_selected384:exact500:20260808:H0","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260808,"gene_topology_v1","H0",124,7626,250,31,"1e35b63d780132ec202ec7946d80d8550d86949e4150cec873c77580df942970","177ae0d07f1804b1c5ea6450612b63ac1540d1120c49b3494eca7b69540d739e",998,499,499,"rust_scph_landscape_kernel_v1","exact_streamed_squared_L2","all_consecutive_active_levels","none","none","closed_pending_sentinel_closure","closed",FALSE
"mv08z_landscape_group_queue_v1",9,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260809:H0","internal124","sct_data_all_qc_fit_selected384","exact500",20260809,"gene_topology_v1","H0",124,7626,250,31,"c185e77792ce15ec8aee1eebebcbad504e515cabf41100a6750d9a617188a50c","fd159164f9a65345a79864ca11f3e3936cc0bda1a6745093138eddc2360e6740",998,499,499,"rust_scph_landscape_kernel_v1","exact_streamed_squared_L2","all_consecutive_active_levels","none","none","closed_pending_sentinel_closure","closed",FALSE
"mv08z_landscape_group_queue_v1",10,"mv08n_landscape:internal124:sct_pearson_residual_all_qc_fit_selected384:exact500:20260809:H0","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260809,"gene_topology_v1","H0",124,7626,250,31,"8a9a032db6dfea382d6cd6edc09f3b746e4c089bce4b06d21910ede1e8fe5924","2c0a1b72c695ed5ef7a4d3947ede4e5810b602e388dc7e7ea2629f0e52760672",998,499,499,"rust_scph_landscape_kernel_v1","exact_streamed_squared_L2","all_consecutive_active_levels","none","none","closed_pending_sentinel_closure","closed",FALSE
