"contract_id","axis_order","sample_id","seed","selected_cells","outcome_label_state","biological_outcomes_computed"
"mv07e_sample_seed_axis_v1",1,"SRA550660_SRS2089635",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",2,"SRA550660_SRS2089636",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",3,"SRA550660_SRS2089637",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",4,"SRA550660_SRS2089638",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",5,"SRA550660_SRS2089639",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",6,"SRA621638_SRS2610283",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",7,"SRA621638_SRS2610285",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",8,"SRA628554_SRS2664364",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",9,"SRA628554_SRS2664365",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",10,"SRA645804_SRS2823404",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",11,"SRA645804_SRS2823405",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",12,"SRA645804_SRS2823406",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",13,"SRA645804_SRS2823407",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",14,"SRA645804_SRS2823408",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",15,"SRA645804_SRS2823409",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",16,"SRA645804_SRS2823410",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",17,"SRA645804_SRS2823411",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",18,"SRA645804_SRS2823412",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",19,"SRA645804_SRS3572594",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",20,"SRA667709_SRS3065426",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",21,"SRA667709_SRS3065427",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",22,"SRA667709_SRS3065428",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",23,"SRA667709_SRS3065429",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",24,"SRA667709_SRS3065430",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",25,"SRA667709_SRS3065431",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",26,"SRA701877_SRS3279684",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",27,"SRA701877_SRS3279685",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",28,"SRA701877_SRS3279686",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",29,"SRA701877_SRS3279687",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",30,"SRA701877_SRS3279688",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",31,"SRA701877_SRS3279689",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",32,"SRA701877_SRS3279690",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",33,"SRA701877_SRS3279691",20260805,384,"closed",FALSE
"mv07e_sample_seed_axis_v1",34,"SRA701877_SRS3279692",20260805,384,"closed",FALSE
