"view_id","homology_dimension","level","finite_positive_intervals","active_level_count","integrated_lambda_squared","integration_method","level_policy","grid_policy","infinite_interval_policy","diagram_sha256","labels_outcomes_opened","fusion_computed"
"cell_topology_v1","H0",1,383,383,70.0036030179309,"exact_critical_breakpoint_v1","all_active_consecutive_levels","none","exclude_before_landscape_construction","9eed31530de5c5197bd53bf383c201cb5872bc0bef837d4348e3d299c6ef31e5",FALSE,FALSE
"cell_topology_v1","H0",2,383,383,55.1998915701842,"exact_critical_breakpoint_v1","all_active_consecutive_levels","none","exclude_before_landscape_construction","9eed31530de5c5197bd53bf383c201cb5872bc0bef837d4348e3d299c6ef31e5",FALSE,FALSE
"cell_topology_v1","H0",3,383,383,49.7791072508662,"exact_critical_breakpoint_v1","all_active_consecutive_levels","none","exclude_before_landscape_construction","9eed31530de5c5197bd53bf383c201cb5872bc0bef837d4348e3d299c6ef31e5",FALSE,FALSE
"cell_topology_v1","H0",4,383,383,46.8229520759954,"exact_critical_breakpoint_v1","all_active_consecutive_levels","none","exclude_before_landscape_construction","9eed31530de5c5197bd53bf383c201cb5872bc0bef837d4348e3d299c6ef31e5",FALSE,FALSE
"cell_topology_v1","H0",5,383,383,45.5474466343693,"exact_critical_breakpoint_v1","all_active_consecutive_levels","none","exclude_before_landscape_construction","9eed31530de5c5197bd53bf383c201cb5872bc0bef837d4348e3d299c6ef31e5",FALSE,FALSE
"cell_topology_v1","H0",6,383,383,36.561842014278,"exact_critical_breakpoint_v1","all_active_consecutive_levels","none","exclude_before_landscape_construction","9eed31530de5c5197bd53bf383c201cb5872bc0bef837d4348e3d299c6ef31e5",FALSE,FALSE
"cell_topology_v1","H0",7,383,383,35.7635357776132,"exact_critical_breakpoint_v1","all_active_consecutive_levels","none","exclude_before_landscape_construction","9eed31530de5c5197bd53bf383c201cb5872bc0bef837d4348e3d299c6ef31e5",FALSE,FALSE
"cell_topology_v1","H0",8,383,383,35.5895444192236,"exact_critical_breakpoint_v1","all_active_consecutive_levels","none","exclude_before_landscape_construction","9eed31530de5c5197bd53bf383c201cb5872bc0bef837d4348e3d299c6ef31e5",FALSE,FALSE
"cell_topology_v1","H0",9,383,383,34.3159940909855,"exact_critical_breakpoint_v1","all_active_consecutive_levels","none","exclude_before_landscape_construction","9eed31530de5c5197bd53bf383c201cb5872bc0bef837d4348e3d299c6ef31e5",FALSE,FALSE
"cell_topology_v1","H0",10,383,383,33.9387585158748,"exact_critical_breakpoint_v1","all_active_consecutive_levels","none","exclude_before_landscape_construction","9eed31530de5c5197bd53bf383c201cb5872bc0bef837d4348e3d299c6ef31e5",FALSE,FALSE
"cell_topology_v1","H0",11,383,383,33.5732364147411,"exact_critical_breakpoint_v1","all_active_consecutive_levels","none","exclude_before_landscape_construction","9eed31530de5c5197bd53bf383c201cb5872bc0bef837d4348e3d299c6ef31e5",FALSE,FALSE
"cell_topology_v1","H0",12,383,383,30.5451545798064,"exact_critical_breakpoint_v1","all_active_consecutive_levels","none","exclude_before_landscape_construction","9eed31530de5c5197bd53bf383c201cb5872bc0bef837d4348e3d299c6ef31e5",FALSE,FALSE
