"contract_id","execution_head","recovery_contract","launch_recovery_contract","attempt_order","attempt_id","stage","disposition","exit_status","elapsed_seconds","peak_process_tree_rss_bytes","elapsed_cap_seconds","rss_cap_bytes","output_file","output_bytes","output_sha256","stdout_bytes","stderr_bytes","stderr_class","workers","retries","outcome_label_state","biological_outcomes_computed"
"mv08s_resource_metric_v1","38e2bdeb7287d405de9214b4936d7573be384d82","mv08sa_baseline_helper_recovery_prefreeze_v1","mv08sb_execution_head_recovery_prefreeze_v1",1,"baseline__HCA_BM_001","baseline","completed",0,52.7490918636322,1709883392,1800,12884901888,"HCA_BM_001.rds",1118675,"0917aff529ff36f607d59b8f76b3867fee91a084c2416c0e3676ce79b8a2d825",67,0,"empty",1,0,"closed",FALSE
"mv08s_resource_metric_v1","38e2bdeb7287d405de9214b4936d7573be384d82","mv08sa_baseline_helper_recovery_prefreeze_v1","mv08sb_execution_head_recovery_prefreeze_v1",2,"baseline_repeat__HCA_BM_001","baseline_repeat","completed",0,44.219425201416,1710018560,1800,12884901888,"HCA_BM_001.rds",1118675,"0917aff529ff36f607d59b8f76b3867fee91a084c2416c0e3676ce79b8a2d825",67,0,"empty",1,0,"closed",FALSE
"mv08s_resource_metric_v1","38e2bdeb7287d405de9214b4936d7573be384d82","mv08sa_baseline_helper_recovery_prefreeze_v1","mv08sb_execution_head_recovery_prefreeze_v1",3,"baseline__HCA_BM_002","baseline","completed",0,43.7701382637024,1661190144,1800,12884901888,"HCA_BM_002.rds",1118675,"e41b4f7cf1ad86afc5ab156aab916599efc79aa00a98e40f9bded1093c47727c",67,0,"empty",1,0,"closed",FALSE
"mv08s_resource_metric_v1","38e2bdeb7287d405de9214b4936d7573be384d82","mv08sa_baseline_helper_recovery_prefreeze_v1","mv08sb_execution_head_recovery_prefreeze_v1",4,"baseline_repeat__HCA_BM_002","baseline_repeat","completed",0,43.8397665023804,1674371072,1800,12884901888,"HCA_BM_002.rds",1118675,"e41b4f7cf1ad86afc5ab156aab916599efc79aa00a98e40f9bded1093c47727c",67,0,"empty",1,0,"closed",FALSE
"mv08s_resource_metric_v1","38e2bdeb7287d405de9214b4936d7573be384d82","mv08sa_baseline_helper_recovery_prefreeze_v1","mv08sb_execution_head_recovery_prefreeze_v1",5,"baseline__HCA_BM_003","baseline","completed",0,43.0649437904358,1590128640,1800,12884901888,"HCA_BM_003.rds",1118675,"cf2c254646009aef9f601352e2358170a4002e659b0b78b6d874f53a416217b2",67,0,"empty",1,0,"closed",FALSE
"mv08s_resource_metric_v1","38e2bdeb7287d405de9214b4936d7573be384d82","mv08sa_baseline_helper_recovery_prefreeze_v1","mv08sb_execution_head_recovery_prefreeze_v1",6,"baseline_repeat__HCA_BM_003","baseline_repeat","completed",0,43.3544065952301,1590231040,1800,12884901888,"HCA_BM_003.rds",1118675,"cf2c254646009aef9f601352e2358170a4002e659b0b78b6d874f53a416217b2",67,0,"empty",1,0,"closed",FALSE
"mv08s_resource_metric_v1","38e2bdeb7287d405de9214b4936d7573be384d82","mv08sa_baseline_helper_recovery_prefreeze_v1","mv08sb_execution_head_recovery_prefreeze_v1",7,"baseline__HCA_BM_004","baseline","completed",0,43.6898093223572,1715138560,1800,12884901888,"HCA_BM_004.rds",1118675,"cfdb537c0cc290b20329ea3aebf0dbfb9c6ab8c5d763a322a2b87ef671461a9b",67,0,"empty",1,0,"closed",FALSE
"mv08s_resource_metric_v1","38e2bdeb7287d405de9214b4936d7573be384d82","mv08sa_baseline_helper_recovery_prefreeze_v1","mv08sb_execution_head_recovery_prefreeze_v1",8,"baseline_repeat__HCA_BM_004","baseline_repeat","completed",0,43.7868962287903,1714847744,1800,12884901888,"HCA_BM_004.rds",1118675,"cfdb537c0cc290b20329ea3aebf0dbfb9c6ab8c5d763a322a2b87ef671461a9b",67,0,"empty",1,0,"closed",FALSE
"mv08s_resource_metric_v1","38e2bdeb7287d405de9214b4936d7573be384d82","mv08sa_baseline_helper_recovery_prefreeze_v1","mv08sb_execution_head_recovery_prefreeze_v1",9,"baseline__HCA_BM_005","baseline","completed",0,44.4650495052338,1646960640,1800,12884901888,"HCA_BM_005.rds",1118675,"f53f8d10c55163432cf375de96c8146afa148ac082e0335e28cad55eac017073",67,0,"empty",1,0,"closed",FALSE
"mv08s_resource_metric_v1","38e2bdeb7287d405de9214b4936d7573be384d82","mv08sa_baseline_helper_recovery_prefreeze_v1","mv08sb_execution_head_recovery_prefreeze_v1",10,"baseline_repeat__HCA_BM_005","baseline_repeat","completed",0,44.726352930069,1647628288,1800,12884901888,"HCA_BM_005.rds",1118675,"f53f8d10c55163432cf375de96c8146afa148ac082e0335e28cad55eac017073",67,0,"empty",1,0,"closed",FALSE
