"contract_id","input_id","bytes","sha256","passed","outcome_label_state","biological_outcomes_computed"
"mv08t_input_rehash_v1","HCA_BM_001:filtered",5823924,"1d1f39d9a761c7323964c6692cfab5ef42bb318339dd5578f92fdf825364d2da",TRUE,"closed",FALSE
"mv08t_input_rehash_v1","HCA_BM_001:raw",12843528,"12a03ea710f430d3ccfb1c26f424069d7faab57a563c761d31c0f38482279bf0",TRUE,"closed",FALSE
"mv08t_input_rehash_v1","HCA_BM_002:filtered",7248979,"7b0a9f90b05d68c14af29cea39926f74f3c52d07c8825bdc4f01303bb6ad0e2f",TRUE,"closed",FALSE
"mv08t_input_rehash_v1","HCA_BM_002:raw",13064522,"767e5539adbf5242a34926848a7b06d07f5e60a4ac9fadf843f3211324775552",TRUE,"closed",FALSE
"mv08t_input_rehash_v1","HCA_BM_003:filtered",5637671,"d49781b497189d4083de50b568b96454a9cddb16dd669d388759a74fac19be27",TRUE,"closed",FALSE
"mv08t_input_rehash_v1","HCA_BM_003:raw",12127957,"ad7285943e109bb782266ff35486034991fa47343df8538dcc884a2154792806",TRUE,"closed",FALSE
"mv08t_input_rehash_v1","HCA_BM_004:filtered",6201528,"bb29cf833fadd3c04aedf93564a2f68d5ccff1f9b7a03b1f10ed6ad648b09390",TRUE,"closed",FALSE
"mv08t_input_rehash_v1","HCA_BM_004:raw",12585597,"5352b45eecd5915838d77234604cfa0973aff9998bc19597d28be0b089d6c849",TRUE,"closed",FALSE
"mv08t_input_rehash_v1","HCA_BM_005:filtered",6875690,"5af7e7e1afd5be249f23a72600d2d1a0380d89769c17a05e22f3c7be8116668b",TRUE,"closed",FALSE
"mv08t_input_rehash_v1","HCA_BM_005:raw",14250141,"4be2d828a4dc2310b6cd786ab5ee3fe57e9c0d75cfccb47c454daae18c139693",TRUE,"closed",FALSE
"mv08t_input_rehash_v1","HCA_BM_006:filtered",6861898,"e65c73d680945543e9c89573a59ec80f464f5c4590e2c6a779977ba183fce8c0",TRUE,"closed",FALSE
"mv08t_input_rehash_v1","HCA_BM_006:raw",13148064,"9f47fd828081a697ba411e285ad15240104a89a4c3d595b1826b810e1c67d8dd",TRUE,"closed",FALSE
"mv08t_input_rehash_v1","HCA_BM_007:filtered",6453289,"edf7efb345a7b25159acf96167ef8210aa64fa256b369def9d396f79986b4ed8",TRUE,"closed",FALSE
"mv08t_input_rehash_v1","HCA_BM_007:raw",12014836,"4657b1b2aeec29fca1329dd3f08bc5b03ca536d016de08352f568fcff4f9787d",TRUE,"closed",FALSE
"mv08t_input_rehash_v1","HCA_BM_008:filtered",6542718,"f23d99a449c1ecac52ede1103007c18a924d31501eaa32d9020186ee4cc4154f",TRUE,"closed",FALSE
"mv08t_input_rehash_v1","HCA_BM_008:raw",13889805,"211f826847550ef9cc95cc793f547fae5c7afa5419426661e9f32713c30cca18",TRUE,"closed",FALSE
"mv08t_input_rehash_v1","SRA628554_SRS2664364:source_cache",15641386,"29916a33c59ac77d5ac5bb5c3f1dd2b507c80392e46d53f6895a72b3ae42d72e",TRUE,"closed",FALSE
"mv08t_input_rehash_v1","HCA_BM_002:source_cache",3151274,"869e731ddcc69aa26a329898451f6241910b6469cf9ff88681271cca3199bc09",TRUE,"closed",FALSE
"mv08t_input_rehash_v1","common475_panel",150683,"2996b101445d23cb1ac02093af0f17df318cbf238b629c9835e43f88f2ecfc74",TRUE,"closed",FALSE
"mv08t_input_rehash_v1","common475_reference",134274283,"624775dcdacff4241047b6597a816ffb03cea561eca9c3ea0d6ef117b3f1eb9f",TRUE,"closed",FALSE
