"contract_id","artifact_type","artifact_id","primary_bytes","primary_sha256","repeat_bytes","repeat_sha256","byte_identical","independently_validated","outcome_label_state","biological_outcomes_computed"
"mv08t_private_artifact_rehash_v1","baseline","HCA_BM_001",1118675,"0917aff529ff36f607d59b8f76b3867fee91a084c2416c0e3676ce79b8a2d825",1118675,"0917aff529ff36f607d59b8f76b3867fee91a084c2416c0e3676ce79b8a2d825",TRUE,TRUE,"closed",FALSE
"mv08t_private_artifact_rehash_v1","baseline","HCA_BM_002",1118675,"e41b4f7cf1ad86afc5ab156aab916599efc79aa00a98e40f9bded1093c47727c",1118675,"e41b4f7cf1ad86afc5ab156aab916599efc79aa00a98e40f9bded1093c47727c",TRUE,TRUE,"closed",FALSE
"mv08t_private_artifact_rehash_v1","baseline","HCA_BM_003",1118675,"cf2c254646009aef9f601352e2358170a4002e659b0b78b6d874f53a416217b2",1118675,"cf2c254646009aef9f601352e2358170a4002e659b0b78b6d874f53a416217b2",TRUE,TRUE,"closed",FALSE
"mv08t_private_artifact_rehash_v1","baseline","HCA_BM_004",1118675,"cfdb537c0cc290b20329ea3aebf0dbfb9c6ab8c5d763a322a2b87ef671461a9b",1118675,"cfdb537c0cc290b20329ea3aebf0dbfb9c6ab8c5d763a322a2b87ef671461a9b",TRUE,TRUE,"closed",FALSE
"mv08t_private_artifact_rehash_v1","baseline","HCA_BM_005",1118675,"f53f8d10c55163432cf375de96c8146afa148ac082e0335e28cad55eac017073",1118675,"f53f8d10c55163432cf375de96c8146afa148ac082e0335e28cad55eac017073",TRUE,TRUE,"closed",FALSE
"mv08t_private_artifact_rehash_v1","baseline","HCA_BM_006",1118675,"858765f7cee291551be71796a178bd8d7d65ac4c66292710cb05d9a0ca1330f2",1118675,"858765f7cee291551be71796a178bd8d7d65ac4c66292710cb05d9a0ca1330f2",TRUE,TRUE,"closed",FALSE
"mv08t_private_artifact_rehash_v1","baseline","HCA_BM_007",1118675,"cd780a381b359ccea70b8a9e709dbe7b9982fdf85c1952353b4bec664cefebc4",1118675,"cd780a381b359ccea70b8a9e709dbe7b9982fdf85c1952353b4bec664cefebc4",TRUE,TRUE,"closed",FALSE
"mv08t_private_artifact_rehash_v1","baseline","HCA_BM_008",1118675,"ca710b55c812b8f323108317193e3a5bd1892f1635c3304d527eafde4a3ec395",1118675,"ca710b55c812b8f323108317193e3a5bd1892f1635c3304d527eafde4a3ec395",TRUE,TRUE,"closed",FALSE
"mv08t_private_artifact_rehash_v1","ph","mv08r_ph:external8:HCA_BM_001:20260805:sct_data_selected384_fit_same_axis:common475:cell_topology_v1",27463,"f77cd256a7b5e0864a3636ef2b51709c00802698194bb4d7dbe9f50c4d66d6e2",27463,"f77cd256a7b5e0864a3636ef2b51709c00802698194bb4d7dbe9f50c4d66d6e2",TRUE,TRUE,"closed",FALSE
"mv08t_private_artifact_rehash_v1","ph","mv08r_ph:external8:HCA_BM_001:20260805:sct_data_selected384_fit_same_axis:common475:gene_topology_v1",41341,"0694e8047a4f392ae1c9c470c7a01f802b31da95282e65e8054fcc5ad1b8e550",41341,"0694e8047a4f392ae1c9c470c7a01f802b31da95282e65e8054fcc5ad1b8e550",TRUE,TRUE,"closed",FALSE
"mv08t_private_artifact_rehash_v1","ph","mv08r_ph:external8:HCA_BM_002:20260805:sct_data_selected384_fit_same_axis:common475:cell_topology_v1",28443,"f6b0400322458c9c80e0486aeb29af1ec5ee114cd302842bb53ca42ff26267c5",28443,"f6b0400322458c9c80e0486aeb29af1ec5ee114cd302842bb53ca42ff26267c5",TRUE,TRUE,"closed",FALSE
"mv08t_private_artifact_rehash_v1","ph","mv08r_ph:external8:HCA_BM_002:20260805:sct_data_selected384_fit_same_axis:common475:gene_topology_v1",58729,"54be350cc223bacd0973b1f1fa0100880777c617a3248d0d9a5c2a5fcfa499b7",58729,"54be350cc223bacd0973b1f1fa0100880777c617a3248d0d9a5c2a5fcfa499b7",TRUE,TRUE,"closed",FALSE
"mv08t_private_artifact_rehash_v1","ph","mv08r_ph:external8:HCA_BM_003:20260805:sct_data_selected384_fit_same_axis:common475:cell_topology_v1",29283,"280ad43943f59a797a4f30cd284b1d4d42727593e08e49a8cb892d2f591ac7f0",29283,"280ad43943f59a797a4f30cd284b1d4d42727593e08e49a8cb892d2f591ac7f0",TRUE,TRUE,"closed",FALSE
"mv08t_private_artifact_rehash_v1","ph","mv08r_ph:external8:HCA_BM_003:20260805:sct_data_selected384_fit_same_axis:common475:gene_topology_v1",43429,"28e2f5972f616226912bd293caf4ab9a536ab53940899b327a478f11e8b29f07",43429,"28e2f5972f616226912bd293caf4ab9a536ab53940899b327a478f11e8b29f07",TRUE,TRUE,"closed",FALSE
"mv08t_private_artifact_rehash_v1","ph","mv08r_ph:external8:HCA_BM_004:20260805:sct_data_selected384_fit_same_axis:common475:cell_topology_v1",27918,"33a08d898ccbc3b67bc79e3417c316f65a782f5def9c89b57b56a8c7cb6e01cb",27918,"33a08d898ccbc3b67bc79e3417c316f65a782f5def9c89b57b56a8c7cb6e01cb",TRUE,TRUE,"closed",FALSE
"mv08t_private_artifact_rehash_v1","ph","mv08r_ph:external8:HCA_BM_004:20260805:sct_data_selected384_fit_same_axis:common475:gene_topology_v1",43861,"cc6555ac6ac3383cc78af4f2ca57f837a8266827c842f59a9713570bb8624ecb",43861,"cc6555ac6ac3383cc78af4f2ca57f837a8266827c842f59a9713570bb8624ecb",TRUE,TRUE,"closed",FALSE
"mv08t_private_artifact_rehash_v1","ph","mv08r_ph:external8:HCA_BM_005:20260805:sct_data_selected384_fit_same_axis:common475:cell_topology_v1",26973,"128f631f2d4a8861a0459ab037929d43bce268b7a1a453bb0a78ca4f64a4570e",26973,"128f631f2d4a8861a0459ab037929d43bce268b7a1a453bb0a78ca4f64a4570e",TRUE,TRUE,"closed",FALSE
"mv08t_private_artifact_rehash_v1","ph","mv08r_ph:external8:HCA_BM_005:20260805:sct_data_selected384_fit_same_axis:common475:gene_topology_v1",37039,"2d2e539746a1195eb3d1b9a0d5a17e884dc9fb638052527847a7f75d9099d3a1",37039,"2d2e539746a1195eb3d1b9a0d5a17e884dc9fb638052527847a7f75d9099d3a1",TRUE,TRUE,"closed",FALSE
"mv08t_private_artifact_rehash_v1","ph","mv08r_ph:external8:HCA_BM_006:20260805:sct_data_selected384_fit_same_axis:common475:cell_topology_v1",28863,"6f370869d848713cb44ae5b1af2b40a1f0ab6b450301d10760ffdfb9492fa85b",28863,"6f370869d848713cb44ae5b1af2b40a1f0ab6b450301d10760ffdfb9492fa85b",TRUE,TRUE,"closed",FALSE
